config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_inner_es_loss,average_inner_es_accuracy,average_inner_es_precision,average_inner_es_recall,average_inner_es_specificity,average_inner_es_f1_score,average_inner_es_mcc,average_inner_es_auroc,average_inner_es_auprc,average_inner_es_true_positives,average_inner_es_false_negatives,average_inner_es_false_positives,average_inner_es_true_negatives,average_val_loss,average_val_accuracy,average_val_precision,average_val_recall,average_val_specificity,average_val_f1_score,average_val_mcc,average_val_auroc,average_val_auprc,average_val_true_positives,average_val_false_negatives,average_val_false_positives,average_val_true_negatives
7,0.0001,0.0,0.0001,689,0.4445222795009613,0.803804898262024,0.78885365,0.8579094,0.7448505,0.82134455,0.60849905,0.86623156,0.8648821,31.6,10.8,6.6,39.8,0.45924696922302244,0.7803603649139405,0.77377194,0.82649726,0.72989845,0.79717845,0.56348884,0.8668972,0.87000954,38.4,14.2,10.0,47.6
7,0.001,0.4,0.0001,689,0.46555540561676023,0.7769662857055664,0.764006,0.8364477,0.7116279,0.7980894,0.55358845,0.8520745,0.843997,30.2,12.2,7.6,38.8,0.47309746146202086,0.7638656854629516,0.75373316,0.8295826,0.6925254,0.78812605,0.52900743,0.83385676,0.8244233,36.4,16.2,9.8,47.8
7,0.001,0.2,0.0001,689,0.4094883441925049,0.8309754967689514,0.8169322,0.8749307,0.78305644,0.8444592,0.66277134,0.888055,0.8798426,33.2,9.2,5.8,40.6,0.4121395170688629,0.8238656878471374,0.8161766,0.86460984,0.77939045,0.8379582,0.64985543,0.891847,0.89244795,41.0,11.6,7.8,49.8
7,0.001,0.0,0.0001,689,0.3889198899269104,0.8444586277008057,0.8231614,0.8962997,0.7875969,0.8579316,0.69026124,0.89571685,0.8841144,33.4,9.0,4.8,41.6,0.40703142881393434,0.823898446559906,0.81788576,0.8612825,0.783164,0.8366442,0.6511428,0.8966228,0.8935996,41.2,11.4,8.0,49.6
7,0.01,0.4,0.0001,689,0.3426723837852478,0.8648620963096618,0.83200836,0.93098986,0.79258025,0.8782878,0.73435986,0.92278975,0.9068681,33.6,8.8,3.2,43.2,0.3641201198101044,0.8439148187637329,0.8292395,0.88535994,0.79840344,0.8560322,0.688414,0.9155909,0.9182553,42.0,10.6,6.6,51.0
7,0.0001,0.4,0.0,689,0.58505220413208,0.6665475010871887,0.6526243,0.86160964,0.45094132,0.73535323,0.32653567,0.7412984,0.7448994,19.2,23.2,6.4,40.0,0.6113749265670776,0.6460769891738891,0.6336482,0.83357525,0.44245285,0.7134445,0.28597015,0.7000127,0.68992364,23.2,29.4,9.6,48.0
7,0.01,0.2,0.0001,689,0.391319739818573,0.8198161363601685,0.79329795,0.8918594,0.74097455,0.8390347,0.6430549,0.8877451,0.8777164,31.4,11.0,5.0,41.4,0.4163956046104431,0.8093693494796753,0.79708683,0.85105866,0.7638606,0.82288396,0.6191038,0.8853285,0.8939044,40.2,12.4,8.6,49.0
7,0.01,0.0,0.0001,689,0.4107425451278687,0.8176455616950988,0.79513687,0.874468,0.7551495,0.83213204,0.6387215,0.8828187,0.8594611,32.0,10.4,5.8,40.6,0.41757245659828185,0.8111875295639038,0.8104762,0.8372051,0.78280115,0.82301533,0.6222023,0.87752306,0.88044035,41.2,11.4,9.4,48.2
7,0.0001,0.2,0.0,689,0.4713540494441986,0.7676710963249207,0.75693166,0.8316374,0.6975637,0.79141307,0.53503054,0.84994125,0.84969616,29.6,12.8,7.8,38.6,0.49119200110435485,0.7622768163681031,0.7566616,0.80901396,0.71088535,0.78083485,0.5250504,0.8402974,0.85274076,37.4,15.2,11.0,46.6
7,0.0001,0.0,0.0,689,0.42917653918266296,0.7948416709899903,0.7857142,0.8405181,0.745072,0.8113629,0.59028935,0.8731901,0.8700493,31.6,10.8,7.4,39.0,0.4509791314601898,0.785814905166626,0.77918386,0.8298851,0.73751813,0.80192983,0.5739923,0.87322235,0.8773834,38.8,13.8,9.8,47.8
