,config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_outer_es_loss,average_outer_es_accuracy,average_outer_es_precision,average_outer_es_recall,average_outer_es_specificity,average_outer_es_f1_score,average_outer_es_mcc,average_outer_es_auroc,average_outer_es_auprc,average_outer_es_true_positives,average_outer_es_false_negatives,average_outer_es_false_positives,average_outer_es_true_negatives,average_test_loss,average_test_accuracy,average_test_precision,average_test_recall,average_test_specificity,average_test_f1_score,average_test_mcc,average_test_auroc,average_test_auprc,average_test_true_positives,average_test_false_negatives,average_test_false_positives,average_test_true_negatives
0,0,0.01,0.2,0.0,689,0.2804304003715515,0.8801637887954712,0.8682841,0.90980035,0.8476052,0.8883966,0.76043487,0.951564,0.95287454,44.6,8.0,5.2,52.4,0.3015988409519196,0.869565212726593,0.832744,0.9388889,0.79393935,0.88250196,0.7441993,0.9417087,0.9361148,52.4,13.6,4.4,67.6
1,1,0.01,0.2,0.0,689,0.2657047927379608,0.8820311188697815,0.87822515,0.89927405,0.8632075,0.88855886,0.7636596,0.95329636,0.95223904,45.4,7.2,5.8,51.8,0.3303746283054352,0.839130413532257,0.8455523,0.8472223,0.8303031,0.84549046,0.67930394,0.93434346,0.9279758,54.8,11.2,11.0,61.0
2,2,0.01,0.4,0.0,689,0.2685618042945862,0.8747911572456359,0.85443336,0.9164549,0.82924527,0.8841912,0.7508477,0.9536208,0.9554957,43.6,9.0,4.8,52.8,0.2710847407579422,0.87826087474823,0.87219507,0.9,0.8545455,0.88508236,0.7576302,0.95391417,0.94554836,56.4,9.6,7.2,64.8
3,3,0.01,0.4,0.0,689,0.265767103433609,0.8965765714645386,0.88394994,0.92353296,0.86690855,0.9031728,0.79344034,0.95644075,0.954819,45.6,7.0,4.4,53.2,0.2984269142150879,0.8521738886833191,0.8643549,0.85,0.8545455,0.85674125,0.7047468,0.94587535,0.94685525,56.4,9.6,10.8,61.2
4,4,0.01,0.2,0.0,689,0.2783322304487228,0.8675348162651062,0.8552049,0.89909256,0.8329463,0.8764798,0.73516023,0.95036477,0.9503335,43.8,8.8,5.8,51.8,0.2470484048128128,0.9101449489593506,0.9413945,0.8833334,0.9393939,0.9108118,0.82317317,0.96813977,0.9700303,62.0,4.0,8.4,63.6
5,5,0.01,0.2,0.0,689,0.2863231986761093,0.8783620119094848,0.8642092,0.9133092,0.8404935,0.88711774,0.7590315,0.94508046,0.94570416,44.2,8.4,5.0,52.6,0.2839070320129394,0.8724637508392334,0.85795957,0.90555555,0.8363636,0.88088685,0.7456397,0.94949496,0.9424089,55.2,10.8,6.8,65.2
6,6,0.01,0.4,0.0,689,0.3049715816974639,0.8547911524772644,0.8457815,0.8852995,0.82126266,0.8647644,0.70964986,0.9407816,0.9439392,43.2,9.4,6.6,51.0,0.2672962933778763,0.891304361820221,0.87627125,0.92222226,0.8575758,0.8985753,0.7830238,0.9566919,0.94744176,56.6,9.4,5.6,66.4
7,7,0.01,0.4,0.0,689,0.3064465045928955,0.8657493948936462,0.84910715,0.90617055,0.8213353,0.8763545,0.73243296,0.94025266,0.94493693,43.2,9.4,5.4,52.2,0.2719207018613815,0.8927536487579346,0.8679274,0.9388889,0.8424243,0.90148497,0.78843784,0.9501263,0.93939555,55.6,10.4,4.4,67.6
8,8,0.01,0.2,0.0,689,0.2540251910686493,0.8820311307907105,0.86503494,0.92008466,0.8401306,0.8910799,0.76582706,0.957722,0.95439184,44.2,8.4,4.6,53.0,0.3319217503070831,0.8362318634986877,0.82555085,0.875,0.7939394,0.8484341,0.6742528,0.93720543,0.94712466,52.4,13.6,9.0,63.0
9,9,0.01,0.2,0.0,689,0.2737646549940109,0.8857329964637757,0.87174606,0.9168785,0.85166913,0.893674,0.771639,0.9489044,0.9481225,44.8,7.8,4.8,52.8,0.2581729292869568,0.8855072498321533,0.87525904,0.9111112,0.8575757,0.89270955,0.7710434,0.96346796,0.9672144,56.6,9.4,6.4,65.6
