config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_inner_es_loss,average_inner_es_accuracy,average_inner_es_precision,average_inner_es_recall,average_inner_es_specificity,average_inner_es_f1_score,average_inner_es_mcc,average_inner_es_auroc,average_inner_es_auprc,average_inner_es_true_positives,average_inner_es_false_negatives,average_inner_es_false_positives,average_inner_es_true_negatives,average_val_loss,average_val_accuracy,average_val_precision,average_val_recall,average_val_specificity,average_val_f1_score,average_val_mcc,average_val_auroc,average_val_auprc,average_val_true_positives,average_val_false_negatives,average_val_false_positives,average_val_true_negatives
3,0.01,0.4,0.001,689,0.18362643867731093,0.9235188961029053,0.91911495,0.93533766,0.9106313,0.9270116,0.8471569,0.9773054,0.97846377,38.6,3.8,3.0,43.4,0.3182468920946121,0.8765438318252563,0.8750191,0.89255893,0.8589985,0.88323957,0.75335604,0.9522688,0.953314,45.2,7.4,6.2,51.4
2,0.01,0.4,0.001,689,0.24704634249210358,0.8873851060867309,0.8616667,0.93543017,0.83477294,0.8967266,0.77726066,0.9683181,0.9736595,35.4,7.0,3.0,43.4,0.3251038998365402,0.8512366890907288,0.8345154,0.90260136,0.7950653,0.8635477,0.7112605,0.94334745,0.9401759,41.8,10.8,5.6,52.0
1,0.01,0.4,0.001,689,0.2476515144109726,0.89642493724823,0.87526065,0.93543017,0.8539313,0.9040682,0.7945546,0.9634563,0.9654325,36.2,6.2,3.0,43.4,0.28069799542427065,0.88742014169693,0.89302903,0.8923775,0.88200283,0.8923276,0.77504474,0.9556745,0.95463115,46.4,6.2,6.2,51.4
0,0.01,0.4,0.001,689,0.22850718796253205,0.9076098203659058,0.9064056,0.91785395,0.8963455,0.9117793,0.8155158,0.9690412,0.97219133,38.0,4.4,3.8,42.6,0.2837540805339813,0.8764946579933166,0.863852,0.90973985,0.84034836,0.8853127,0.75484073,0.9533593,0.9594841,44.2,8.4,5.2,52.4
9,0.01,0.2,0.001,689,0.3096264719963074,0.8760980606079102,0.87104636,0.8963922,0.8541528,0.8832387,0.7523119,0.94615686,0.9495081,36.2,6.2,4.8,41.6,0.2882223963737488,0.878427529335022,0.8677372,0.9096794,0.8436139,0.886895,0.7597232,0.9572176,0.95999813,44.4,8.2,5.2,52.4
8,0.01,0.2,0.001,689,0.26985368728637693,0.8874361634254455,0.8839239,0.90527296,0.8677741,0.8942512,0.7746401,0.95096266,0.9458006,36.8,5.6,4.4,42.0,0.32516019344329833,0.8729566097259521,0.8620492,0.9027828,0.84056604,0.8815163,0.7466242,0.9391896,0.9367238,44.2,8.4,5.6,52.0
7,0.01,0.2,0.001,689,0.2905774086713791,0.8716036796569824,0.8620952,0.90101755,0.8393134,0.8804079,0.74429405,0.9452337,0.94460976,35.6,6.8,4.6,41.8,0.33630408346652985,0.851253068447113,0.8282647,0.9062916,0.79078376,0.8649742,0.7048461,0.94506085,0.9518334,41.6,11.0,5.4,52.2
6,0.01,0.2,0.001,689,0.34208292961120607,0.8470122575759887,0.8374073,0.879186,0.81207097,0.8576218,0.69385123,0.92488384,0.9293442,34.4,8.0,5.6,40.8,0.3367956429719925,0.8601638078689575,0.8548312,0.8892317,0.8288824,0.8694274,0.7244196,0.93798417,0.94306725,43.6,9.0,6.4,51.2
5,0.01,0.2,0.001,689,0.3166841745376587,0.8670326828956604,0.8617684,0.88741904,0.84440744,0.8740848,0.73417044,0.9393476,0.9427956,35.8,6.6,5.2,41.2,0.33448981642723086,0.8548403024673462,0.8381465,0.89957654,0.80645865,0.8661135,0.7140025,0.9422181,0.941047,42.4,10.2,5.8,51.8
4,0.01,0.2,0.001,689,0.32118093967437744,0.851455557346344,0.84298533,0.879371,0.8210409,0.8606796,0.70272034,0.9366024,0.94092053,34.8,7.6,5.6,40.8,0.31065640449523924,0.8656019806861878,0.85418713,0.89933455,0.8286648,0.8754884,0.7322871,0.9420431,0.94424075,43.6,9.0,5.8,51.8
3,0.01,0.2,0.001,689,0.2382562816143036,0.89642493724823,0.8951963,0.90925074,0.88261354,0.9018639,0.79294837,0.96600926,0.96649295,37.4,5.0,4.2,42.2,0.3009552776813507,0.87115478515625,0.8624123,0.89945555,0.8402033,0.8794448,0.7444866,0.95290434,0.95422566,44.2,8.4,5.8,51.8
2,0.01,0.2,0.001,689,0.29356071054935456,0.8851123809814453,0.87293243,0.91378355,0.8535992,0.89266175,0.7706209,0.9498538,0.95376074,36.2,6.2,4.0,42.4,0.3694545567035675,0.8604095101356506,0.86652756,0.87144583,0.8482583,0.8659481,0.72580385,0.9321014,0.92989874,44.6,8.0,7.4,50.2
1,0.01,0.2,0.001,689,0.273101943731308,0.885163426399231,0.86995995,0.91803885,0.8491694,0.893258,0.77066,0.9598333,0.964941,36.0,6.4,3.8,42.6,0.2890149414539337,0.8692874670028686,0.86642855,0.8889292,0.8480406,0.8765532,0.73995125,0.95313597,0.95531416,44.6,8.0,6.4,51.2
0,0.01,0.2,0.001,689,0.26397586464881895,0.9007660865783691,0.9054643,0.9048104,0.89645624,0.90485924,0.8016864,0.9551505,0.95948637,38.0,4.4,4.4,42.0,0.315698105096817,0.8638656854629516,0.8479535,0.90260136,0.82097244,0.8737419,0.72948253,0.9490441,0.9549476,43.2,9.4,5.6,52.0
9,0.01,0.0,0.001,689,0.32299097776412966,0.864734435081482,0.8531624,0.8963922,0.8302325,0.8740656,0.72957945,0.9359186,0.9411295,35.2,7.2,4.8,41.6,0.3239835947751999,0.8548730611801147,0.82634866,0.9167574,0.7870828,0.8684348,0.7143877,0.940759,0.9445221,41.4,11.2,4.8,52.8
8,0.01,0.0,0.001,689,0.2804038554430008,0.8896578192710877,0.87767994,0.91822386,0.85825026,0.89728385,0.77956545,0.94669306,0.93874586,36.4,6.0,3.8,42.6,0.36009617149829865,0.8639639735221862,0.85394907,0.8961283,0.82924527,0.8735353,0.7296872,0.93048173,0.9228651,43.6,9.0,6.0,51.6
7,0.01,0.0,0.001,689,0.3189420014619827,0.8671092987060547,0.8485198,0.90962076,0.82059795,0.87762195,0.73560107,0.9337203,0.9290085,34.8,7.6,4.2,42.2,0.34772478342056273,0.849402129650116,0.8366955,0.885239,0.8100871,0.86003494,0.6990825,0.9290497,0.9323276,42.6,10.0,6.6,51.0
6,0.01,0.0,0.001,689,0.34185545742511747,0.8379724025726318,0.8327071,0.86197966,0.81173867,0.8467783,0.67596257,0.9256585,0.93313295,34.4,8.0,6.4,40.0,0.3439585089683533,0.8511220335960388,0.84447795,0.88584393,0.81400573,0.8615117,0.7086402,0.9334553,0.9313176,42.8,9.8,6.6,51.0
5,0.01,0.0,0.001,689,0.33338547945022584,0.8579928517341614,0.85132694,0.88344127,0.8301218,0.86657506,0.71647036,0.934394,0.93239343,35.2,7.2,5.4,41.0,0.30013003945350647,0.8693693518638611,0.8620099,0.8962493,0.84063864,0.8766731,0.74265635,0.9448597,0.94319504,44.2,8.4,6.0,51.6
4,0.01,0.0,0.001,689,0.3390147089958191,0.8491317629814148,0.82289076,0.90952826,0.78305644,0.8633941,0.70166314,0.927878,0.9292431,33.2,9.2,4.2,42.2,0.3346589744091034,0.8457002520561219,0.82838553,0.89243805,0.7946299,0.85815763,0.6940757,0.9335946,0.9372309,41.8,10.8,6.2,51.4
3,0.01,0.0,0.001,689,0.26868613958358767,0.8670582294464111,0.862343,0.88769656,0.84440756,0.8745082,0.7342059,0.9534464,0.9561082,35.8,6.6,5.2,41.2,0.32761586010456084,0.849402129650116,0.8472501,0.87168777,0.8248186,0.85839176,0.69967186,0.940244,0.94186926,43.4,9.2,7.4,50.2
