config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_outer_es_loss,average_outer_es_accuracy,average_outer_es_precision,average_outer_es_recall,average_outer_es_specificity,average_outer_es_f1_score,average_outer_es_mcc,average_outer_es_auroc,average_outer_es_auprc,average_outer_es_true_positives,average_outer_es_false_negatives,average_outer_es_false_positives,average_outer_es_true_negatives,average_test_loss,average_test_accuracy,average_test_precision,average_test_recall,average_test_specificity,average_test_f1_score,average_test_mcc,average_test_auroc,average_test_auprc,average_test_true_positives,average_test_false_negatives,average_test_false_positives,average_test_true_negatives
0,0.001,0.4,0.001,689,0.2761598497629166,0.8856019735336303,0.86982805,0.9200848,0.84811324,0.8937863,0.7725522,0.95612526,0.9597212,44.6,8.0,4.6,53.0,0.32083130478858946,0.8681159138679504,0.8166467,0.9638888,0.76363635,0.8840578,0.74758476,0.9560606,0.9561744,50.4,15.6,2.6,69.4
1,0.01,0.4,0.0001,689,0.27717454433441163,0.8819819808006286,0.8555721,0.93387777,0.82532656,0.8925868,0.7667743,0.95208025,0.95553523,43.4,9.2,3.8,53.8,0.33533831834793093,0.8753623127937317,0.8549468,0.9166667,0.8303031,0.88457996,0.7520109,0.9371212,0.93010014,54.8,11.2,6.0,66.0
2,0.001,0.0,0.0,689,0.26122788786888124,0.8748730540275573,0.8664258,0.899395,0.8480407,0.8825672,0.74942935,0.9555093,0.9576128,44.6,8.0,5.8,51.8,0.25523230731487273,0.8826087117195129,0.88703424,0.88888896,0.8757576,0.8877562,0.7650982,0.9605219,0.9624475,57.8,8.2,8.0,64.0
3,0.0001,0.0,0.0001,689,0.23435664176940918,0.9038493156433105,0.8856491,0.9375075,0.86683595,0.91045254,0.8092369,0.96505296,0.9655916,45.6,7.0,3.6,54.0,0.32739335894584654,0.8478260636329651,0.8694957,0.8333333,0.8636364,0.85072887,0.6967999,0.9414983,0.94484675,57.0,9.0,12.0,60.0
4,0.01,0.4,0.0,689,0.2593909800052643,0.8820147514343262,0.86093396,0.92335147,0.836357,0.89062774,0.7660511,0.96030414,0.9643089,44.0,8.6,4.4,53.2,0.20892784893512725,0.9130434989929199,0.92271185,0.91111106,0.9151515,0.9162129,0.8272542,0.97457916,0.9736376,60.4,5.6,6.4,65.6
5,0.01,0.4,0.001,689,0.2465107560157776,0.8893038511276246,0.8763293,0.9201452,0.8555878,0.8970305,0.7800867,0.95998526,0.961981,45.0,7.6,4.6,53.0,0.2408541262149811,0.8956521868705749,0.8796307,0.9277779,0.8606061,0.9026741,0.7925603,0.9646044,0.96521413,56.8,9.2,5.2,66.8
6,0.01,0.4,0.001,689,0.24125391542911528,0.8892710924148559,0.8902171,0.89915305,0.87851965,0.8945923,0.778158,0.9650645,0.96937627,46.2,6.4,5.8,51.8,0.2562128007411957,0.8942029118537903,0.8887636,0.9111112,0.8757576,0.8996272,0.78842384,0.96536195,0.9654255,57.8,8.2,6.4,65.6
7,0.001,0.0,0.0,689,0.2647110432386398,0.86758394241333,0.8636278,0.88880825,0.8446299,0.87570363,0.73512894,0.95068693,0.9538,44.4,8.2,6.4,51.2,0.2574074387550354,0.882608699798584,0.8662774,0.9166667,0.8454546,0.89066374,0.7657939,0.95934355,0.9588687,55.8,10.2,6.0,66.0
8,0.01,0.4,0.0001,689,0.26392524540424345,0.9001638054847717,0.8878191,0.9270417,0.870537,0.9065048,0.80142987,0.95801944,0.9575285,45.8,6.8,4.2,53.4,0.28292625546455386,0.8826087117195129,0.87510526,0.90555555,0.8575758,0.88945454,0.7661751,0.9549242,0.95802927,56.6,9.4,6.8,65.2
9,0.01,0.2,0.001,689,0.26220284700393676,0.8965602040290832,0.87939453,0.9306715,0.85943395,0.904003,0.7942697,0.95666516,0.9585358,45.2,7.4,4.0,53.6,0.2487751990556717,0.8797101616859436,0.86966515,0.90555555,0.8515152,0.886768,0.760338,0.9645623,0.967272,56.2,9.8,6.8,65.2
