config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate_normal,config/train_loop_config/dropout_rate_attention,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_inner_es_loss,average_inner_es_accuracy,average_inner_es_precision,average_inner_es_recall,average_inner_es_specificity,average_inner_es_f1_score,average_inner_es_mcc,average_inner_es_auroc,average_inner_es_auprc,average_inner_es_true_positives,average_inner_es_false_negatives,average_inner_es_false_positives,average_inner_es_true_negatives,average_val_loss,average_val_accuracy,average_val_precision,average_val_recall,average_val_specificity,average_val_f1_score,average_val_mcc,average_val_auroc,average_val_auprc,average_val_true_positives,average_val_false_negatives,average_val_false_positives,average_val_true_negatives
5,0.0001,0.0,0.0,0.001,689,0.5406086623668671,0.7050505101680755,0.6885126,0.8342676,0.5765824,0.7476221,0.42501682,0.76568544,0.7594199,12.0,9.4,3.8,19.6,0.5502214312553406,0.7279869914054871,0.73763233,0.7718087,0.6785128,0.7500692,0.45633,0.79240865,0.8037605,17.8,8.4,6.6,22.4
5,0.001,0.4,0.4,0.001,689,0.6378833651542664,0.6605050683021545,0.6182163,0.94752514,0.35809252,0.74446607,0.3796935,0.7159888,0.6909184,7.4,14.0,1.2,22.2,0.6461261987686158,0.6483116984367371,0.6133212,0.90125924,0.36720514,0.7282303,0.3229559,0.73175395,0.71331817,9.6,16.6,2.8,26.2
5,0.001,0.4,0.2,0.001,689,0.6161011695861817,0.6783838510513306,0.6315716,0.947525,0.39436275,0.7545109,0.41214734,0.7414096,0.7273304,8.2,13.2,1.2,22.2,0.630454134941101,0.644675326347351,0.6150018,0.87301445,0.38789743,0.71937287,0.30542842,0.74923605,0.74731463,10.2,16.0,3.6,25.4
5,0.001,0.4,0.0,0.001,689,0.5538339257240296,0.6871717274188995,0.66429734,0.85296315,0.52035034,0.7403399,0.395023,0.75721884,0.7617739,10.8,10.6,3.4,20.0,0.560917854309082,0.735454547405243,0.72551465,0.8125116,0.6468205,0.76390356,0.4694919,0.7890503,0.7971262,17.0,9.2,5.4,23.6
5,0.001,0.2,0.4,0.001,689,0.6344067573547363,0.6829293072223663,0.6356959,0.94622076,0.40340352,0.75733966,0.41432124,0.7222004,0.7032665,8.4,13.0,1.2,22.2,0.6409895658493042,0.6483766317367554,0.61489064,0.8943626,0.37792307,0.72686946,0.32285136,0.73331445,0.71443146,9.8,16.4,3.0,26.0
5,0.001,0.2,0.2,0.001,689,0.6013734221458436,0.6737373769283295,0.6327984,0.9114381,0.42297745,0.74327934,0.38775253,0.7451324,0.73207533,8.8,12.6,2.0,21.4,0.6104803442955017,0.6809090971946716,0.64404064,0.8890144,0.45158976,0.7444348,0.38605553,0.767798,0.76667106,11.8,14.4,3.2,25.8
5,0.001,0.2,0.0,0.001,689,0.5481170356273651,0.6917171776294708,0.67179954,0.8429632,0.5389651,0.74137056,0.39793116,0.7616992,0.76305884,11.2,10.2,3.6,19.8,0.5545897483825684,0.7498051762580872,0.74864537,0.81406003,0.6785128,0.7757238,0.50073576,0.7918231,0.80164444,17.8,8.4,5.4,23.6
5,0.001,0.0,0.4,0.001,689,0.6228801846504212,0.6783838450908661,0.63163537,0.94622076,0.39483893,0.7545808,0.40584475,0.73138654,0.71384156,8.2,13.2,1.2,22.2,0.6347772359848023,0.6519480586051941,0.6197661,0.887911,0.39058977,0.7274858,0.32693282,0.7476638,0.7308976,10.2,16.0,3.2,25.8
5,0.001,0.0,0.2,0.001,689,0.581764817237854,0.6870707094669342,0.6445106,0.92013377,0.44307083,0.7543503,0.41199827,0.7511801,0.75454885,9.2,12.2,1.8,21.6,0.5926233053207397,0.6736363649368287,0.6440294,0.8643114,0.46428204,0.7360476,0.35656893,0.7788138,0.7849169,12.2,14.0,4.0,25.0
5,0.001,0.0,0.0,0.001,689,0.5393031716346741,0.7006060659885407,0.6836648,0.8352709,0.5680178,0.7453767,0.41645464,0.7657473,0.7554377,11.8,9.6,3.8,19.6,0.5484254896640778,0.7461688160896301,0.74977434,0.7996084,0.6851795,0.7699066,0.49189815,0.7955756,0.80775416,18.0,8.2,5.8,23.2
