config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate_normal,config/train_loop_config/dropout_rate_attention,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_inner_es_loss,average_inner_es_accuracy,average_inner_es_precision,average_inner_es_recall,average_inner_es_specificity,average_inner_es_f1_score,average_inner_es_mcc,average_inner_es_auroc,average_inner_es_auprc,average_inner_es_true_positives,average_inner_es_false_negatives,average_inner_es_false_positives,average_inner_es_true_negatives,average_val_loss,average_val_accuracy,average_val_precision,average_val_recall,average_val_specificity,average_val_f1_score,average_val_mcc,average_val_auroc,average_val_auprc,average_val_true_positives,average_val_false_negatives,average_val_false_positives,average_val_true_negatives
3,0.01,0.4,0.0,0.001,689,0.27166124284267423,0.8573737502098083,0.8513935,0.89423865,0.81911695,0.87037885,0.71682554,0.9322759,0.93183196,17.0,3.8,2.6,21.4,0.3032351523637772,0.8988311767578125,0.8848289,0.9310106,0.86781293,0.9057317,0.80006063,0.95428336,0.95185757,22.4,3.6,2.0,27.2
4,0.01,0.4,0.0,0.001,689,0.32124671936035154,0.8528282880783081,0.8528105,0.87515545,0.8292729,0.86311066,0.7053767,0.91743773,0.9157864,17.4,3.6,3.0,20.8,0.31457890570163727,0.883766233921051,0.8416475,0.94863653,0.82075346,0.8908038,0.77636087,0.94954985,0.94470406,22.8,5.0,1.4,26.0
2,0.01,0.4,0.0,0.001,689,0.2856713175773621,0.8705050587654114,0.8238987,0.94567096,0.78863066,0.88045007,0.7476729,0.9526526,0.95155126,17.4,4.6,1.2,21.6,0.3232501298189163,0.898896086215973,0.88704824,0.93685067,0.85374975,0.91085035,0.79592836,0.9416903,0.93756235,21.4,3.6,2.0,28.2
1,0.01,0.4,0.0,0.001,689,0.2939908504486084,0.8881818175315856,0.90385437,0.8902706,0.8776803,0.89520216,0.7744411,0.9439255,0.94547176,18.4,2.4,2.6,21.4,0.3022837460041046,0.8657792210578918,0.825004,0.90314233,0.82214195,0.86216384,0.73113596,0.9199424,0.9007273,23.2,5.0,2.4,24.6
0,0.01,0.4,0.0,0.001,689,0.26855465173721316,0.893030309677124,0.89031905,0.91956073,0.8605217,0.90448695,0.7834425,0.9544836,0.95788467,17.4,2.8,2.0,22.6,0.2911159425973892,0.8874675512313843,0.86727536,0.9398896,0.8256941,0.9011388,0.77630955,0.9489272,0.9533652,21.2,4.4,1.8,27.8
9,0.01,0.2,0.4,0.001,689,0.3108501732349396,0.8344444513320923,0.80239964,0.86955273,0.8014723,0.8339752,0.6705691,0.9193203,0.90415084,18.4,4.6,2.8,19.0,0.33017231822013854,0.8695454478263855,0.8509599,0.9208471,0.8170635,0.8815738,0.74680436,0.9484108,0.95345134,21.2,4.8,2.4,26.8
8,0.01,0.2,0.4,0.001,689,0.2999158173799515,0.875151526927948,0.89021605,0.8882308,0.8587469,0.88862675,0.7475249,0.9284948,0.9319318,17.0,2.8,2.8,22.2,0.3344191908836365,0.8697402715682984,0.85655844,0.92058516,0.8043478,0.88625133,0.73879033,0.9390892,0.948963,20.0,4.8,2.4,28.0
7,0.01,0.2,0.4,0.001,689,0.2783155798912048,0.8885858654975891,0.8700131,0.92176694,0.85471505,0.89423925,0.7783658,0.95616037,0.95195425,18.2,3.2,1.8,21.6,0.2970960050821304,0.85876624584198,0.84834194,0.8813572,0.8389077,0.86356944,0.718509,0.9427458,0.9417899,22.8,4.4,3.4,24.6
6,0.01,0.2,0.4,0.001,689,0.31949629783630373,0.8663636445999146,0.8636364,0.864707,0.86783636,0.8638358,0.7324248,0.9393942,0.9376278,19.4,3.0,3.0,19.4,0.3263539731502533,0.8839610457420349,0.8937815,0.9160283,0.84626925,0.9001964,0.7734986,0.94987404,0.9584867,19.6,3.6,2.8,29.2
5,0.01,0.2,0.4,0.001,689,0.34256195425987246,0.8566666722297669,0.85704386,0.8820468,0.82504624,0.867484,0.7135037,0.92160857,0.91311675,17.8,3.6,2.8,20.6,0.3339308202266693,0.8696103930473328,0.8705619,0.89499444,0.8464359,0.8785664,0.746835,0.9378681,0.94195735,22.2,4.0,3.2,25.8
4,0.01,0.2,0.4,0.001,689,0.3230949938297272,0.8528282880783081,0.8528105,0.87515545,0.8292729,0.86311066,0.7053767,0.916241,0.91488945,17.4,3.6,3.0,20.8,0.320682555437088,0.8838311672210694,0.8361336,0.9560439,0.81361055,0.89114916,0.7779324,0.94663984,0.94111234,22.6,5.2,1.2,26.2
3,0.01,0.2,0.4,0.001,689,0.2673631548881531,0.8707070827484131,0.8669491,0.901931,0.8391671,0.88143194,0.74546254,0.9379303,0.93881655,17.4,3.4,2.4,21.6,0.2944515347480774,0.8951948165893555,0.8838434,0.9239124,0.86781293,0.901543,0.79346025,0.9563896,0.9569459,22.4,3.6,2.2,27.0
2,0.01,0.2,0.4,0.001,689,0.2799061596393585,0.8837373733520508,0.85370433,0.9270563,0.83725226,0.8882701,0.7706452,0.948456,0.9487587,18.4,3.6,1.6,21.2,0.3501841753721237,0.8879220724105835,0.88321626,0.91433984,0.85374975,0.8981223,0.77292943,0.9416658,0.94336855,21.4,3.6,2.6,27.6
1,0.01,0.2,0.4,0.001,689,0.2944480419158936,0.892727279663086,0.9110317,0.8933817,0.88768035,0.8997811,0.7856596,0.94075394,0.9396526,18.6,2.2,2.6,21.4,0.29944347143173217,0.8549350738525391,0.8162719,0.8873038,0.81569034,0.84992063,0.7088219,0.9180293,0.89310724,23.0,5.2,2.8,24.2
0,0.01,0.2,0.4,0.001,689,0.2668341726064682,0.8840404152870178,0.88237035,0.9115607,0.8509979,0.8965101,0.7652629,0.9539898,0.95844233,17.2,3.0,2.2,22.4,0.2935765266418457,0.8801948189735412,0.8650924,0.9265563,0.82536066,0.89346707,0.7618385,0.9494457,0.9542391,21.2,4.4,2.2,27.4
9,0.01,0.2,0.2,0.001,689,0.3122071385383606,0.8388888955116272,0.8091688,0.8703103,0.8101679,0.83791447,0.6792127,0.9167503,0.89590275,18.6,4.4,2.8,19.0,0.3271562039852142,0.8550649285316467,0.83680975,0.9143955,0.7939154,0.8695925,0.7213133,0.9457563,0.9507793,20.6,5.4,2.6,26.6
