config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate_normal,config/train_loop_config/dropout_rate_attention,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_inner_es_loss,average_inner_es_accuracy,average_inner_es_precision,average_inner_es_recall,average_inner_es_specificity,average_inner_es_f1_score,average_inner_es_mcc,average_inner_es_auroc,average_inner_es_auprc,average_inner_es_true_positives,average_inner_es_false_negatives,average_inner_es_false_positives,average_inner_es_true_negatives,average_val_loss,average_val_accuracy,average_val_precision,average_val_recall,average_val_specificity,average_val_f1_score,average_val_mcc,average_val_auroc,average_val_auprc,average_val_true_positives,average_val_false_negatives,average_val_false_positives,average_val_true_negatives
0,0.01,0.2,0.2,0.001,689,0.27131004333496095,0.8885858654975891,0.8829858,0.91956073,0.8509979,0.9007454,0.7745366,0.9539981,0.9579304,17.2,3.0,2.0,22.6,0.2935284525156021,0.8838961005210877,0.8675866,0.9324821,0.82536066,0.8974654,0.76923895,0.94998264,0.95484316,21.2,4.4,2.0,27.6
1,0.01,0.4,0.0,0.0001,689,0.2934906780719757,0.892727279663086,0.9015664,0.9013818,0.88027287,0.89970016,0.78424054,0.94433576,0.94252586,18.4,2.4,2.4,21.6,0.3007869631052017,0.8658441543579102,0.8215605,0.91183794,0.8149991,0.86425483,0.73281,0.92268723,0.90236837,23.0,5.2,2.2,24.8
2,0.01,0.4,0.2,0.001,689,0.28190242648124697,0.8658585906028747,0.82824403,0.9270562,0.7983993,0.87445974,0.7360303,0.95136404,0.95159227,17.6,4.4,1.6,21.2,0.31012207865715025,0.9024675369262696,0.89279115,0.9357684,0.8620831,0.91361153,0.8020364,0.9477495,0.94900167,21.6,3.4,2.0,28.2
3,0.01,0.2,0.2,0.001,689,0.27143460512161255,0.8662626385688782,0.85291183,0.9096233,0.81911695,0.87900335,0.734165,0.9346787,0.93444365,17.0,3.8,2.2,21.8,0.2982818305492401,0.9024675369262696,0.8789121,0.94371223,0.86012065,0.9089897,0.80775416,0.9574708,0.9564646,22.2,3.8,1.6,27.6
4,0.01,0.4,0.0,0.001,689,0.32124671936035154,0.8528282880783081,0.8528105,0.87515545,0.8292729,0.86311066,0.7053767,0.91743773,0.9157864,17.4,3.6,3.0,20.8,0.31457890570163727,0.883766233921051,0.8416475,0.94863653,0.82075346,0.8908038,0.77636087,0.94954985,0.94470406,22.8,5.0,1.4,26.0
5,0.01,0.0,0.0,0.001,689,0.3424571931362152,0.852222228050232,0.8459374,0.8827425,0.8184816,0.8629176,0.7042305,0.9179571,0.90528834,17.6,3.8,2.8,20.6,0.32470412254333497,0.8805194854736328,0.8801695,0.90189105,0.8618205,0.8883855,0.7649814,0.9418497,0.94631463,22.6,3.6,3.0,26.0
6,0.01,0.2,0.4,0.0,689,0.3187065303325653,0.8708080887794495,0.865697,0.87423074,0.866532,0.86932486,0.7414871,0.93816453,0.936193,19.4,3.0,2.8,19.6,0.31905069053173063,0.887597405910492,0.8894183,0.92745686,0.8375735,0.90483123,0.7771625,0.9515499,0.96022546,19.4,3.8,2.4,29.6
7,0.01,0.2,0.2,0.0001,689,0.2864403337240219,0.8792929291725159,0.8627205,0.913767,0.8421837,0.88663167,0.75858897,0.94711035,0.9398977,18.0,3.4,2.0,21.4,0.2983938992023468,0.8586363673210144,0.8423845,0.88734263,0.8317649,0.8635438,0.71815765,0.9429908,0.9407775,22.6,4.6,3.2,24.8
8,0.01,0.4,0.2,0.0,689,0.2962378829717636,0.8796969771385192,0.8996191,0.8879231,0.8692732,0.89262486,0.75780666,0.9349165,0.9412688,17.2,2.6,2.8,22.2,0.3342075765132904,0.8698052048683167,0.85672647,0.9214212,0.8043478,0.8863988,0.74010026,0.9463006,0.95516574,20.0,4.8,2.4,28.0
9,0.01,0.0,0.4,0.001,689,0.3115395545959473,0.8389899015426636,0.8108157,0.8715008,0.8101679,0.83901274,0.6801982,0.9192373,0.8983432,18.6,4.4,2.8,19.0,0.32921794056892395,0.8514285683631897,0.8358901,0.90725267,0.7939154,0.86572075,0.71374476,0.95106477,0.9563141,20.6,5.4,2.8,26.4
