config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate_normal,config/train_loop_config/dropout_rate_attention,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_outer_es_loss,average_outer_es_accuracy,average_outer_es_precision,average_outer_es_recall,average_outer_es_specificity,average_outer_es_f1_score,average_outer_es_mcc,average_outer_es_auroc,average_outer_es_auprc,average_outer_es_true_positives,average_outer_es_false_negatives,average_outer_es_false_positives,average_outer_es_true_negatives,average_test_loss,average_test_accuracy,average_test_precision,average_test_recall,average_test_specificity,average_test_f1_score,average_test_mcc,average_test_auroc,average_test_auprc,average_test_true_positives,average_test_false_negatives,average_test_false_positives,average_test_true_negatives
0,0.01,0.2,0.2,0.001,689,0.28754032254219053,0.8911688327789307,0.88578624,0.9001654,0.88240063,0.89259875,0.78227764,0.95875853,0.95902634,24.2,3.2,2.8,25.0,0.3297374486923218,0.8637681126594543,0.81702936,0.9428571,0.782353,0.87535894,0.7361549,0.94453776,0.941566,26.6,7.4,2.0,33.0
1,0.01,0.4,0.0,0.0001,689,0.2920397788286209,0.8729220747947692,0.8531256,0.91969556,0.8176969,0.8845889,0.74121344,0.94935066,0.9504482,21.0,4.6,2.4,27.2,0.30277207493782043,0.8405796885490417,0.8976,0.81025636,0.88,0.85132504,0.68513006,0.9299145,0.92566985,26.4,3.6,7.4,31.6
2,0.01,0.4,0.2,0.001,689,0.3010470807552338,0.8661038994789123,0.8558215,0.88686466,0.8460351,0.87020606,0.73318315,0.9451038,0.945096,23.2,4.2,3.2,24.6,0.29434446096420286,0.9014492869377136,0.87314814,0.95,0.8484849,0.90957546,0.8061269,0.95959586,0.95848453,28.0,5.0,1.8,34.2
3,0.01,0.2,0.2,0.001,689,0.28109768927097323,0.8695454597473145,0.85893023,0.90400857,0.8292308,0.8804609,0.7382987,0.94699,0.9450266,21.0,4.4,2.8,27.0,0.35010709762573244,0.7710144877433777,0.86638653,0.7268293,0.8357142,0.7904562,0.5525271,0.9041812,0.91986847,23.4,4.6,11.2,29.8
4,0.01,0.4,0.0,0.001,689,0.2874761372804642,0.8803896069526672,0.85886604,0.9224076,0.83568656,0.88793004,0.76570195,0.9412395,0.94070685,22.4,4.4,2.2,26.2,0.28671799302101136,0.8637680888175965,0.8709723,0.81935483,0.9,0.8434466,0.7253248,0.934635,0.9122189,34.2,3.8,5.6,25.4
5,0.01,0.0,0.0,0.001,689,0.31087659001350404,0.8766233801841736,0.86135066,0.9195938,0.828739,0.88860834,0.75377625,0.9493165,0.94951546,21.8,4.4,2.4,26.6,0.2862918019294739,0.8666666626930237,0.86935693,0.8685714,0.86470586,0.868604,0.73390955,0.93579835,0.92491835,29.4,4.6,4.6,30.4
6,0.01,0.2,0.4,0.0,689,0.31258535385131836,0.8695454597473145,0.8521265,0.9206793,0.8058404,0.8849856,0.73547536,0.92481804,0.9280203,20.0,4.8,2.4,28.0,0.25616865158081054,0.9101449489593506,0.88102454,0.939394,0.8833333,0.90901345,0.8225978,0.95488214,0.94146407,31.8,4.2,2.0,31.0
7,0.01,0.2,0.2,0.0001,689,0.2852304637432098,0.855129885673523,0.8296005,0.92146367,0.78123045,0.87204266,0.7097809,0.9374238,0.943185,20.4,5.6,2.4,26.8,0.26827395260334014,0.9159420490264892,0.90398294,0.9388889,0.8909091,0.9210663,0.8320079,0.96397305,0.95884264,29.4,3.6,2.2,33.8
8,0.01,0.4,0.2,0.0,689,0.2915349185466766,0.8622727155685425,0.84654176,0.90572417,0.8165921,0.8729795,0.72894764,0.9431952,0.9434406,21.2,4.8,2.8,26.4,0.34016371369361875,0.8318840384483337,0.81478345,0.9,0.7483871,0.8550844,0.66115874,0.9140916,0.9269864,23.2,7.8,3.8,34.2
9,0.01,0.0,0.4,0.001,689,0.29673234820365907,0.8516233801841736,0.8194138,0.91509926,0.7783558,0.8643451,0.7061126,0.9273442,0.9285709,20.4,5.8,2.4,26.6,0.23538940846920015,0.8985507488250732,0.87456447,0.9526316,0.83225805,0.91189873,0.79695874,0.9594227,0.9641884,25.8,5.2,1.8,36.2
