config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_inner_es_loss,average_inner_es_accuracy,average_inner_es_precision,average_inner_es_recall,average_inner_es_specificity,average_inner_es_f1_score,average_inner_es_mcc,average_inner_es_auroc,average_inner_es_auprc,average_inner_es_true_positives,average_inner_es_false_negatives,average_inner_es_false_positives,average_inner_es_true_negatives,average_val_loss,average_val_accuracy,average_val_precision,average_val_recall,average_val_specificity,average_val_f1_score,average_val_mcc,average_val_auroc,average_val_auprc,average_val_true_positives,average_val_false_negatives,average_val_false_positives,average_val_true_negatives
3,0.01,0.0,0.0,689,0.5285175383090973,0.7366700768470764,0.73403364,0.7803885,0.68892586,0.7563445,0.47174844,0.8071022,0.8187917,29.2,13.2,10.2,36.2,0.5521007657051087,0.7258476614952087,0.7244848,0.7744101,0.6728593,0.745921,0.4538544,0.7914102,0.80063915,35.4,17.2,13.0,44.6
3,0.01,0.2,0.0,689,0.5593663215637207,0.7297497510910034,0.71437323,0.8104533,0.64174974,0.7581296,0.4619654,0.7967887,0.8122557,27.2,15.2,8.8,37.6,0.5710677981376648,0.6950696110725403,0.6836179,0.77773744,0.6045718,0.7261074,0.3920589,0.7848262,0.802485,31.8,20.8,12.8,44.8
3,0.01,0.4,0.0,689,0.5883291244506836,0.6982635498046875,0.68057406,0.79731727,0.5899225,0.7339896,0.39763817,0.7747396,0.77793896,25.0,17.4,9.4,37.0,0.5997878789901734,0.6896150708198547,0.6755018,0.7879613,0.58134973,0.72588813,0.3810522,0.7573885,0.7719089,30.6,22.0,12.2,45.4
3,0.001,0.0,0.0,689,0.5356798529624939,0.7277579307556152,0.7261513,0.7677151,0.6846069,0.74514073,0.4560689,0.8016855,0.8075447,29.0,13.4,10.8,35.6,0.5502352178096771,0.7258149027824402,0.7265955,0.7639443,0.6843251,0.7433094,0.452246,0.79253536,0.8008459,36.0,16.6,13.6,44.0
3,0.001,0.2,0.0,689,0.5673515439033509,0.7117466926574707,0.7026874,0.7803885,0.6369878,0.7383518,0.42453527,0.7839518,0.7966923,27.0,15.4,10.2,36.2,0.5746474266052246,0.6968714118003845,0.6889355,0.77078044,0.61618286,0.7253004,0.3961628,0.7818729,0.79551804,32.4,20.2,13.2,44.4
3,0.001,0.4,0.0,689,0.5942875623703003,0.7005107402801514,0.6790266,0.8104533,0.58028793,0.73860383,0.4035983,0.7663345,0.7676915,24.6,17.8,8.8,37.6,0.6042061567306518,0.675085985660553,0.66059965,0.7846945,0.5552975,0.71516216,0.35406747,0.74864274,0.7498268,29.2,23.4,12.4,45.2
3,0.0001,0.0,0.0,689,0.5524534225463867,0.718513798713684,0.71704733,0.7635523,0.67009974,0.7377771,0.43845803,0.78567255,0.7938367,28.4,14.0,11.0,35.4,0.5667431950569153,0.7077313661575317,0.7052765,0.7603146,0.65,0.72985893,0.41636878,0.7800591,0.7899585,34.2,18.4,13.8,43.8
3,0.0001,0.2,0.0,689,0.6185408115386963,0.6892237067222595,0.67334944,0.78862166,0.5801772,0.72617173,0.3784373,0.7257441,0.7050554,24.6,17.8,9.8,36.6,0.6271952271461487,0.6805569291114807,0.6703633,0.77084094,0.5814949,0.71590483,0.36115825,0.7097357,0.6879939,30.6,22.0,13.2,44.4
3,0.0001,0.4,0.0,689,0.637527585029602,0.6982890844345093,0.6846442,0.7843663,0.60376525,0.7307905,0.3961057,0.70820606,0.67647666,25.6,16.8,10.0,36.4,0.6433907628059388,0.6715315341949463,0.65884894,0.77767694,0.5546444,0.7125223,0.34263813,0.6914416,0.6560475,29.2,23.4,12.8,44.8
3,0.01,0.0,0.0001,689,0.5593047499656677,0.7050051212310791,0.6940261,0.780296,0.6225914,0.73381865,0.41059232,0.7798716,0.7899844,26.4,16.0,10.2,36.2,0.5720816254615784,0.7095823049545288,0.70201904,0.7742892,0.63860667,0.73485726,0.42008176,0.7761118,0.78929555,33.6,19.0,13.0,44.6
