config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_inner_es_loss,average_inner_es_accuracy,average_inner_es_precision,average_inner_es_recall,average_inner_es_specificity,average_inner_es_f1_score,average_inner_es_mcc,average_inner_es_auroc,average_inner_es_auprc,average_inner_es_true_positives,average_inner_es_false_negatives,average_inner_es_false_positives,average_inner_es_true_negatives,average_val_loss,average_val_accuracy,average_val_precision,average_val_recall,average_val_specificity,average_val_f1_score,average_val_mcc,average_val_auroc,average_val_auprc,average_val_true_positives,average_val_false_negatives,average_val_false_positives,average_val_true_negatives
0,0.01,0.0,0.0,689,0.28211249113082887,0.8828651666641235,0.88447416,0.89195186,0.8728682,0.88809234,0.76542944,0.94928247,0.9481346,37.0,5.4,5.0,41.4,0.29305128157138827,0.8764946818351745,0.87486666,0.8921355,0.85907114,0.88312626,0.75285053,0.9457347,0.94608366,45.2,7.4,6.2,51.4
1,0.01,0.0,0.0,689,0.26849477291107177,0.880694591999054,0.8722888,0.9050878,0.8538206,0.8878949,0.762036,0.954158,0.954909,36.2,6.2,4.4,42.0,0.315066334605217,0.8583292245864869,0.8545122,0.8787054,0.836357,0.86605436,0.71693003,0.9417863,0.94376165,44.0,8.6,7.0,50.6
2,0.01,0.0,0.0,689,0.2820162534713745,0.869407570362091,0.8540171,0.9050878,0.83034325,0.8786114,0.7394347,0.9532846,0.95662534,35.2,7.2,4.4,42.0,0.338740473985672,0.847616720199585,0.8510073,0.86442834,0.82902765,0.8526468,0.7035499,0.93026257,0.91934186,43.6,9.0,7.8,49.8
3,0.01,0.0,0.0,689,0.25749246776103973,0.9054392337799072,0.88692445,0.93977803,0.8683278,0.91203994,0.81295604,0.9571708,0.95208776,36.8,5.6,2.8,43.6,0.33072722256183623,0.8548566818237304,0.840151,0.8958863,0.80950654,0.8665722,0.7105823,0.9343828,0.9332865,42.6,10.0,6.0,51.6
4,0.01,0.0,0.0,689,0.34253622889518737,0.8513789534568786,0.826718,0.90518045,0.7924695,0.86415213,0.70437586,0.9185937,0.91259193,33.6,8.8,4.4,42.0,0.339277383685112,0.847436535358429,0.8294619,0.89588624,0.79441226,0.86060774,0.69697225,0.9217184,0.91661245,41.8,10.8,6.0,51.6
5,0.01,0.0,0.0,689,0.35185096859931947,0.8467313647270203,0.82800007,0.89195186,0.79723144,0.85869634,0.6942066,0.913396,0.89524204,33.8,8.6,5.0,41.4,0.3187445342540741,0.8621457934379577,0.8522258,0.892801,0.82910013,0.8707592,0.72696716,0.9359171,0.93353814,43.6,9.0,6.2,51.4
6,0.01,0.0,0.0,689,0.33527745604515075,0.853677225112915,0.8495517,0.8748382,0.8305648,0.8618312,0.7070844,0.9247125,0.928954,35.2,7.2,5.8,40.6,0.3555665075778961,0.8329729795455932,0.82392156,0.8719298,0.79092884,0.8446089,0.6706573,0.92498744,0.9200343,41.6,11.0,7.4,50.2
7,0.01,0.0,0.0,689,0.2836150735616684,0.8693309426307678,0.8585944,0.90083253,0.8345515,0.8786952,0.7393581,0.9398858,0.9383888,35.4,7.0,4.6,41.8,0.3687580406665802,0.8421294093132019,0.8321322,0.8751361,0.80587804,0.85248435,0.6850494,0.93756616,0.94233686,42.4,10.2,7.2,50.4
8,0.01,0.0,0.0,689,0.30291092693805693,0.885163426399231,0.86416405,0.92664206,0.839867,0.89407474,0.7717927,0.93569314,0.91950667,35.6,6.8,3.4,43.0,0.32731478810310366,0.8748075366020203,0.8500072,0.92716277,0.817344,0.88588303,0.75385165,0.93297166,0.92220414,43.0,9.6,4.2,53.4
9,0.01,0.0,0.0,689,0.30753626823425295,0.87142493724823,0.8566189,0.9048103,0.8348837,0.8797075,0.7439119,0.9370779,0.936725,35.4,7.0,4.4,42.0,0.312891012430191,0.8511711716651916,0.8363042,0.892317,0.80587804,0.8613359,0.70787156,0.9414617,0.9427139,42.4,10.2,6.2,51.4
