config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_inner_es_loss,average_inner_es_accuracy,average_inner_es_precision,average_inner_es_recall,average_inner_es_specificity,average_inner_es_f1_score,average_inner_es_mcc,average_inner_es_auroc,average_inner_es_auprc,average_inner_es_true_positives,average_inner_es_false_negatives,average_inner_es_false_positives,average_inner_es_true_negatives,average_val_loss,average_val_accuracy,average_val_precision,average_val_recall,average_val_specificity,average_val_f1_score,average_val_mcc,average_val_auroc,average_val_auprc,average_val_true_positives,average_val_false_negatives,average_val_false_positives,average_val_true_negatives
0,0.01,0.4,0.0,689,0.25943768918514254,0.8738253355026245,0.8761675,0.88334876,0.8633444,0.8793869,0.74774617,0.9608464,0.9636661,36.6,5.8,5.4,41.0,0.3080914705991745,0.8674692988395691,0.85534734,0.89915305,0.83251095,0.8763014,0.7356174,0.9500964,0.9535694,43.8,8.8,5.8,51.8
1,0.01,0.4,0.0,689,0.27247806191444396,0.8693820238113403,0.86620873,0.88806665,0.8492802,0.87656343,0.73908454,0.9554593,0.95818317,36.0,6.4,5.2,41.2,0.3193690836429596,0.8765438199043274,0.8722619,0.89570475,0.85529757,0.88325894,0.753664,0.9445149,0.9476675,45.0,7.6,6.0,51.6
2,0.01,0.4,0.0,689,0.25117491781711576,0.8918539524078369,0.8806326,0.91803885,0.86312294,0.8987888,0.783883,0.96059734,0.96387017,36.6,5.8,3.8,42.6,0.3194253325462341,0.8567239999771118,0.85818386,0.87489414,0.83686507,0.86298406,0.71918344,0.9425906,0.9422785,44.0,8.6,7.2,50.4
3,0.01,0.4,0.001,689,0.22699726223945618,0.8919050097465515,0.8829257,0.9136909,0.86810625,0.8977494,0.7843443,0.96679604,0.9670976,36.8,5.6,4.0,42.4,0.2699977487325668,0.878427529335022,0.85153306,0.9307925,0.82097244,0.88928175,0.75898874,0.95291215,0.95389396,43.2,9.4,4.0,53.6
4,0.01,0.4,0.001,689,0.3311636209487915,0.8558222651481628,0.8420296,0.8920444,0.81605756,0.8661276,0.711949,0.92743015,0.922233,34.6,7.8,5.0,41.4,0.3318454444408417,0.8456183552742005,0.8346051,0.88209313,0.8057329,0.8571223,0.69195646,0.93846244,0.9420603,42.4,10.2,6.8,50.8
5,0.01,0.2,0.0,689,0.33149170577526094,0.8646833539009094,0.843808,0.9091581,0.8161683,0.8752062,0.73043215,0.92401665,0.9148073,34.6,7.8,4.2,42.2,0.31465009450912473,0.860311222076416,0.85043585,0.89268,0.8253991,0.869559,0.7240365,0.94233763,0.941192,43.4,9.2,6.2,51.4
6,0.0001,0.2,0.0001,689,0.3352422952651978,0.8356486201286316,0.82087725,0.879186,0.78837216,0.848688,0.671939,0.9247117,0.9304617,33.4,9.0,5.6,40.8,0.3237979054450989,0.8529565930366516,0.8240072,0.9167574,0.7832365,0.8672059,0.7102686,0.93365955,0.93579835,41.2,11.4,4.8,52.8
7,0.01,0.4,0.0,689,0.2777085691690445,0.8783197164535522,0.8585674,0.9225718,0.82990026,0.8886734,0.7590988,0.95001715,0.95012474,35.2,7.2,3.6,42.8,0.31359556317329407,0.8602457046508789,0.8542144,0.88535994,0.8323657,0.86909115,0.7205168,0.9422922,0.94675237,43.8,8.8,6.6,51.0
8,0.01,0.4,0.0001,689,0.28016393482685087,0.8875127673149109,0.87374765,0.91822386,0.85404205,0.8952941,0.7753514,0.9502224,0.94626886,36.2,6.2,3.8,42.6,0.315412175655365,0.8621294021606445,0.8477112,0.89927405,0.8212627,0.8719176,0.7262035,0.94289577,0.9416787,43.2,9.4,5.8,51.8
9,0.01,0.4,0.001,689,0.2871280699968338,0.8602400422096252,0.85535395,0.88334876,0.8352159,0.8688776,0.72028744,0.94549143,0.9492079,35.4,7.0,5.4,41.0,0.30731402039527894,0.8748402953147888,0.8557782,0.9200848,0.8248186,0.8852819,0.7542507,0.94521683,0.9479254,43.4,9.2,4.6,53.0
