config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_outer_es_loss,average_outer_es_accuracy,average_outer_es_precision,average_outer_es_recall,average_outer_es_specificity,average_outer_es_f1_score,average_outer_es_mcc,average_outer_es_auroc,average_outer_es_auprc,average_outer_es_true_positives,average_outer_es_false_negatives,average_outer_es_false_positives,average_outer_es_true_negatives,average_test_loss,average_test_accuracy,average_test_precision,average_test_recall,average_test_specificity,average_test_f1_score,average_test_mcc,average_test_auroc,average_test_auprc,average_test_true_positives,average_test_false_negatives,average_test_false_positives,average_test_true_negatives
0,0.01,0.4,0.0,689,0.2651160031557083,0.8801801800727844,0.87495804,0.89933455,0.85921633,0.8869379,0.7599518,0.9538301,0.95480764,45.2,7.4,5.8,51.8,0.3235473930835724,0.8623188257217407,0.81953937,0.9444445,0.77272725,0.87746966,0.73192585,0.93821543,0.93661845,51.0,15.0,4.0,68.0
1,0.01,0.4,0.0,689,0.26249220669269563,0.8891891717910767,0.8800642,0.91306716,0.8632801,0.89610016,0.7784474,0.9533601,0.95008147,45.4,7.2,5.0,52.6,0.313447505235672,0.8623188257217407,0.8740978,0.86111116,0.8636364,0.86668634,0.72585535,0.94528615,0.94048345,57.0,9.0,10.0,62.0
2,0.01,0.4,0.0,689,0.26878808736801146,0.8621130228042603,0.8502596,0.89582574,0.82518137,0.8721263,0.7245706,0.9516571,0.95251405,43.4,9.2,6.0,51.6,0.26020745635032655,0.9057971239089966,0.89573306,0.92777777,0.8818182,0.91126597,0.8119621,0.9585017,0.9580309,58.2,7.8,5.2,66.8
3,0.01,0.4,0.001,689,0.2642185837030411,0.8692710995674133,0.86301625,0.8924985,0.84375906,0.8773214,0.7383256,0.9524623,0.95436794,44.4,8.2,6.2,51.4,0.35865694284439087,0.8507246136665344,0.895682,0.8083334,0.8969697,0.8492306,0.7065729,0.93678457,0.9392969,59.2,6.8,13.8,58.2
4,0.01,0.4,0.001,689,0.27475166618824004,0.8729402303695679,0.8659919,0.8956443,0.8479681,0.8803705,0.74578696,0.95042485,0.95309037,44.6,8.0,6.0,51.6,0.23604113161563872,0.9057971239089966,0.9192179,0.9,0.9121212,0.90897495,0.81258154,0.9655302,0.9607237,60.2,5.8,7.2,64.8
5,0.01,0.2,0.0,689,0.3004175126552582,0.8657166481018066,0.85721064,0.8926195,0.8364296,0.8742999,0.73154545,0.9384831,0.93533707,44.0,8.6,6.2,51.4,0.3016801655292511,0.8753623127937317,0.864923,0.9027778,0.8454545,0.882878,0.75187105,0.9465068,0.94444025,55.8,10.2,7.0,65.0
6,0.0001,0.2,0.0001,689,0.31198365688323976,0.8675348162651062,0.845792,0.91300666,0.8176343,0.87791175,0.73659545,0.9371623,0.93948317,43.0,9.6,5.0,52.6,0.26913307309150697,0.8913043737411499,0.87021446,0.9305555,0.8484849,0.8992813,0.7838099,0.9474327,0.93774545,56.0,10.0,5.0,67.0
7,0.01,0.4,0.0,689,0.27547198683023455,0.8712203025817871,0.8582878,0.90623105,0.8333092,0.8810438,0.7434729,0.9424248,0.9428008,43.8,8.8,5.4,52.2,0.25839710235595703,0.8971014738082885,0.87579346,0.9361111,0.8545455,0.90476656,0.79563624,0.95892256,0.9535158,56.4,9.6,4.6,67.4
8,0.01,0.4,0.0001,689,0.26755091845989226,0.8819819808006286,0.87107885,0.9096794,0.85166913,0.88955563,0.7646567,0.95725393,0.9577039,44.8,7.8,5.2,52.4,0.33970916271209717,0.8550724625587464,0.8637513,0.8583333,0.8515152,0.85997325,0.71162874,0.9364899,0.9383856,56.2,9.8,10.2,61.8
9,0.01,0.4,0.001,689,0.26953914761543274,0.8911548018455505,0.8830018,0.91336966,0.86698115,0.8976501,0.7826428,0.9538261,0.95516664,45.6,7.0,5.0,52.6,0.20966911613941192,0.8942029118537903,0.90760404,0.88888884,0.9,0.8969663,0.7906055,0.9743266,0.9760639,59.4,6.6,8.0,64.0
