config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_outer_es_loss,average_outer_es_accuracy,average_outer_es_precision,average_outer_es_recall,average_outer_es_specificity,average_outer_es_f1_score,average_outer_es_mcc,average_outer_es_auroc,average_outer_es_auprc,average_outer_es_true_positives,average_outer_es_false_negatives,average_outer_es_false_positives,average_outer_es_true_negatives,average_test_loss,average_test_accuracy,average_test_precision,average_test_recall,average_test_specificity,average_test_f1_score,average_test_mcc,average_test_auroc,average_test_auprc,average_test_true_positives,average_test_false_negatives,average_test_false_positives,average_test_true_negatives
0,0.0001,0.2,0.01,689,0.2559118837118149,0.8892547130584717,0.87715846,0.91663635,0.85936147,0.8964218,0.77852637,0.9583896,0.9612233,45.2,7.4,4.8,52.8,0.2749859690666199,0.8797101497650146,0.8354789,0.9583333,0.79393935,0.892665,0.7666499,0.9569866,0.9581483,52.4,13.6,3.0,69.0
1,0.0001,0.2,0.01,689,0.2641533941030502,0.8837673902511597,0.87374765,0.90949786,0.8556603,0.8911301,0.7675527,0.95201766,0.9530017,45.0,7.6,5.2,52.4,0.266956228017807,0.886956536769867,0.87529075,0.91388893,0.8575758,0.8936676,0.77502775,0.9506734,0.9453661,56.6,9.4,6.2,65.8
2,0.0001,0.2,0.0001,689,0.2719255179166794,0.8712858319282532,0.85426676,0.9098609,0.82895505,0.8809258,0.74348885,0.95028496,0.951739,43.6,9.0,5.2,52.4,0.24567705690860747,0.8985507488250732,0.8989792,0.9083334,0.8878788,0.903187,0.7975664,0.9635522,0.9652561,58.6,7.4,6.6,65.4
3,0.001,0.0,0.001,689,0.2350641280412674,0.8929402232170105,0.87802094,0.92353296,0.8592888,0.90003335,0.78648984,0.96204317,0.9626834,45.2,7.4,4.4,53.2,0.3251820683479309,0.8550724506378173,0.87821054,0.83888894,0.8727273,0.85782796,0.7113961,0.9444445,0.94787425,57.6,8.4,11.6,60.4
4,0.01,0.0,0.0001,689,0.260733562707901,0.8747583985328674,0.86836815,0.8955838,0.85188687,0.88173276,0.7491478,0.9565285,0.95956576,44.8,7.8,6.0,51.6,0.2607219636440277,0.8869565486907959,0.9155037,0.8638889,0.9121212,0.8884252,0.7762264,0.9617424,0.9604906,60.2,5.8,9.8,62.2
5,0.01,0.0,0.001,689,0.2794045388698578,0.8712203025817871,0.85569084,0.90647304,0.83272856,0.8802395,0.74292886,0.94741505,0.9491016,43.8,8.8,5.4,52.2,0.259853732585907,0.8797101497650146,0.8698346,0.90555555,0.8515151,0.8865245,0.7609442,0.95942765,0.9600462,56.2,9.8,6.8,65.2
6,0.0001,0.2,0.0001,689,0.2590009063482285,0.8893366098403931,0.87944776,0.9130066,0.86335266,0.8958551,0.7786137,0.95955145,0.96383715,45.4,7.2,5.0,52.6,0.2689850330352783,0.8811594367027282,0.8840755,0.88888896,0.8727273,0.8864322,0.7619011,0.9612794,0.96190053,57.6,8.4,8.0,64.0
7,0.0001,0.0,0.001,689,0.2655707120895386,0.8675511837005615,0.85508746,0.9027828,0.829463,0.8774661,0.736642,0.9513238,0.95511705,43.6,9.0,5.6,52.0,0.2686388105154037,0.8782608866691589,0.85207444,0.92777777,0.8242424,0.88827866,0.75847745,0.9549243,0.9558331,54.4,11.6,5.2,66.8
8,0.0001,0.2,0.0001,689,0.27446986734867096,0.8693038582801819,0.8486918,0.9131277,0.82119006,0.8794829,0.74003416,0.95049465,0.95093185,43.2,9.4,5.0,52.6,0.29548847675323486,0.8811594247817993,0.86433613,0.9166667,0.8424242,0.8894184,0.76345575,0.9500842,0.95344955,55.6,10.4,6.0,66.0
9,0.0001,0.2,0.001,689,0.2568450212478638,0.8857166290283203,0.87596005,0.90992135,0.8592888,0.8925327,0.7714255,0.9581685,0.9600072,45.2,7.4,5.2,52.4,0.21198946833610535,0.8898550868034363,0.8747276,0.92222226,0.8545455,0.89742583,0.78086627,0.97041243,0.97299975,56.4,9.6,5.6,66.4
