config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_inner_es_loss,average_inner_es_accuracy,average_inner_es_precision,average_inner_es_recall,average_inner_es_specificity,average_inner_es_f1_score,average_inner_es_mcc,average_inner_es_auroc,average_inner_es_auprc,average_inner_es_true_positives,average_inner_es_false_negatives,average_inner_es_false_positives,average_inner_es_true_negatives,average_val_loss,average_val_accuracy,average_val_precision,average_val_recall,average_val_specificity,average_val_f1_score,average_val_mcc,average_val_auroc,average_val_auprc,average_val_true_positives,average_val_false_negatives,average_val_false_positives,average_val_true_negatives
6,0.001,0.0,0.001,689,0.5795963287353516,0.6938457608222961,0.67558444,0.8016651,0.57530457,0.7327823,0.38818097,0.74642646,0.7164004,24.4,18.0,9.2,37.2,0.6118626356124878,0.6532678008079529,0.6474006,0.75710833,0.5401306,0.69591177,0.30633077,0.71501666,0.6909723,28.4,24.2,14.0,43.6
6,0.01,0.0,0.001,689,0.5791553735733033,0.6757660746574402,0.6628137,0.77160037,0.5709856,0.7128371,0.3512497,0.7531618,0.7395841,24.2,18.2,10.6,35.8,0.6062808811664582,0.6660114526748657,0.66492623,0.73629767,0.58955014,0.69701755,0.33193868,0.7258833,0.7097453,31.0,21.6,15.2,42.4
6,0.01,0.4,0.001,689,0.673031747341156,0.5831971168518066,0.57455885,0.8234042,0.31949058,0.6727268,0.1576604,0.6219209,0.6085423,13.6,28.8,8.2,38.2,0.6839287519454956,0.5717772364616394,0.57003534,0.80193585,0.32060957,0.65788066,0.13880278,0.61927444,0.5974086,16.8,35.8,11.4,46.2
6,0.01,0.2,0.001,689,0.6664589166641235,0.589964234828949,0.58210653,0.80629045,0.35260242,0.671558,0.18579325,0.6269053,0.6115451,15.0,27.4,9.0,37.4,0.6787814378738404,0.566322672367096,0.56810415,0.77749544,0.33584905,0.6478754,0.124112606,0.6213103,0.5992067,17.6,35.0,12.8,44.8
6,0.001,0.4,0.0001,689,0.5214631199836731,0.7500766158103943,0.7150599,0.86632746,0.62248063,0.7831348,0.508246,0.8139232,0.785468,26.4,16.0,6.2,40.2,0.5369636833667755,0.7386404514312744,0.7123349,0.85093766,0.61647314,0.77296096,0.48690733,0.8064887,0.7900223,32.4,20.2,8.6,49.0
6,0.1,0.4,0.001,689,0.6880526900291443,0.5382533073425293,0.5340222,0.96170217,0.07619048,0.6845927,0.071634494,0.62270075,0.6052513,3.2,39.2,1.8,44.6,0.6943365931510925,0.5281408548355102,0.52750075,0.9508772,0.064150944,0.6763655,0.0383719,0.6170081,0.5961549,3.4,49.2,2.8,54.8
6,0.1,0.2,0.001,689,0.6884472131729126,0.5337589263916016,0.53119075,0.97021276,0.05714286,0.6848934,0.040512882,0.6227485,0.6050038,2.4,40.0,1.4,45.0,0.6904734611511231,0.5354135751724243,0.5316936,0.97192985,0.05660377,0.68610656,0.042326186,0.6174725,0.5965158,3.0,49.6,1.6,56.0
6,0.1,0.0,0.001,689,0.6792222380638122,0.5831971168518066,0.5755624,0.8491212,0.29102987,0.67897767,0.16350478,0.6235658,0.6062697,12.4,30.0,7.0,39.4,0.6825670003890991,0.5826863169670105,0.58348155,0.81258315,0.33251086,0.66958696,0.15038727,0.6178676,0.59688044,17.4,35.2,10.8,46.8
6,0.001,0.0,0.0001,689,0.4582864880561829,0.7837844729423523,0.75986755,0.85772437,0.7031008,0.80568045,0.5696421,0.8549733,0.84069765,29.8,12.6,6.6,39.8,0.47596701979637146,0.7713349819183349,0.7614723,0.8372656,0.7,0.7928753,0.551335,0.8534816,0.8349724,36.8,15.8,9.4,48.2
6,0.001,0.2,0.0001,689,0.5071078300476074,0.754570996761322,0.7270326,0.8490287,0.65127355,0.78312874,0.5128751,0.8188896,0.7936133,27.6,14.8,7.0,39.4,0.5303993105888367,0.7350204706192016,0.7116041,0.8335148,0.62750363,0.7667732,0.47422916,0.8073146,0.7884942,33.0,19.6,9.6,48.0
6,0.01,0.4,0.0001,689,0.5018357336521149,0.7702757835388183,0.71954024,0.91803885,0.6084164,0.80672854,0.5581362,0.8313099,0.8091124,25.8,16.6,3.8,42.6,0.508711713552475,0.7440786361694336,0.710388,0.8787054,0.59731495,0.782506,0.5042026,0.82502335,0.81467354,31.4,21.2,7.0,50.6
6,0.01,0.2,0.0001,689,0.4893711686134338,0.7658069491386413,0.72942454,0.8794635,0.6418605,0.7970564,0.5398512,0.8322674,0.8109175,27.2,15.2,5.6,40.8,0.5048052728176117,0.7349385738372802,0.7024076,0.8649122,0.5928157,0.7739027,0.47991353,0.8271688,0.8263028,31.2,21.4,7.8,49.8
6,0.01,0.0,0.0001,689,0.4859534800052643,0.7636363625526428,0.74434936,0.8447734,0.675526,0.7904297,0.5290368,0.82296085,0.8081099,28.6,13.8,7.2,39.2,0.48407926559448244,0.7549058198928833,0.7351898,0.8405324,0.66095793,0.78252137,0.5143003,0.8382203,0.8249375,34.8,17.8,9.2,48.4
6,0.001,0.4,0.0,689,0.5112440884113312,0.7478294253349305,0.71272606,0.86623496,0.61805093,0.7819565,0.502905,0.8188114,0.7938112,26.2,16.2,6.2,40.2,0.5281471729278564,0.7368714094161988,0.7068914,0.85426503,0.60878086,0.77243483,0.4815444,0.8140769,0.8011858,32.0,20.6,8.4,49.2
6,0.1,0.4,0.0001,689,0.68758065700531,0.5472420811653137,0.5378376,0.9871415,0.06633444,0.6955911,0.09093525,0.622819,0.60208255,2.8,39.6,0.6,45.8,0.6905965328216552,0.5445044994354248,0.53661335,0.97894734,0.068142235,0.6922323,0.08574967,0.6215116,0.598211,3.6,49.0,1.2,56.4
6,0.1,0.2,0.0001,689,0.6792113661766053,0.5944330811500549,0.586423,0.8492136,0.3152824,0.6815554,0.20649628,0.6290333,0.60968745,13.4,29.0,7.0,39.4,0.6941428303718566,0.5790499567985534,0.575935,0.8226255,0.3128447,0.66505766,0.17052832,0.6259533,0.6025475,16.4,36.2,10.2,47.4
6,0.1,0.0,0.0001,689,0.646975064277649,0.634933614730835,0.61822987,0.83246994,0.41893688,0.70467216,0.28498083,0.66858846,0.6433738,17.8,24.6,7.8,38.6,0.6698043823242188,0.6026699423789978,0.59893525,0.78771937,0.400508,0.67412305,0.2092342,0.6588839,0.6557128,21.0,31.6,12.2,45.4
6,0.001,0.2,0.0,689,0.48841798305511475,0.7590909123420715,0.73035485,0.85328406,0.655814,0.7869899,0.5219275,0.8328085,0.8106395,27.8,14.6,6.8,39.6,0.5167503952980042,0.7405405521392823,0.7169839,0.84404117,0.62779397,0.77296495,0.48856616,0.8187672,0.79910487,33.0,19.6,9.0,48.6
6,0.001,0.0,0.0,689,0.4568561792373657,0.7681562781333924,0.74622846,0.8449584,0.6843854,0.7923375,0.5379164,0.8556941,0.8473466,29.0,13.4,7.2,39.2,0.47734047174453736,0.7821621537208557,0.7686544,0.85093766,0.70740205,0.8039398,0.57169586,0.8566705,0.8452482,37.2,15.4,8.6,49.0
6,0.01,0.4,0.0,689,0.44084420800209045,0.7928498387336731,0.7631935,0.8878816,0.68981177,0.8190401,0.5933701,0.8726923,0.8612831,29.2,13.2,5.2,41.2,0.443859201669693,0.7984930396080017,0.7753469,0.8787659,0.7109579,0.8204557,0.606729,0.87717086,0.87177306,37.4,15.2,7.0,50.6
6,0.01,0.2,0.0,689,0.39959234595298765,0.7861082673072814,0.7760372,0.8319149,0.73632336,0.80269986,0.57209444,0.89297616,0.8936342,31.2,11.2,7.8,38.6,0.4086696982383728,0.805782151222229,0.79046446,0.8649122,0.7416546,0.82310236,0.61805063,0.89953375,0.899308,39.0,13.6,7.8,49.8
6,0.01,0.0,0.0,689,0.44599940776824953,0.7950714945793151,0.7870572,0.8363552,0.75049835,0.8102314,0.59076506,0.86475533,0.86070025,31.8,10.6,7.6,38.8,0.44213475584983825,0.8039803504943848,0.794968,0.8544464,0.74905664,0.8196851,0.6153349,0.8821772,0.87009037,39.4,13.2,8.4,49.2
