config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_outer_es_loss,average_outer_es_accuracy,average_outer_es_precision,average_outer_es_recall,average_outer_es_specificity,average_outer_es_f1_score,average_outer_es_mcc,average_outer_es_auroc,average_outer_es_auprc,average_outer_es_true_positives,average_outer_es_false_negatives,average_outer_es_false_positives,average_outer_es_true_negatives,average_test_loss,average_test_accuracy,average_test_precision,average_test_recall,average_test_specificity,average_test_f1_score,average_test_mcc,average_test_auroc,average_test_auprc,average_test_true_positives,average_test_false_negatives,average_test_false_positives,average_test_true_negatives
0,0.0001,0.0,0.0001,689,0.33751404881477354,0.8402456998825073,0.82742834,0.8785238,0.7986212,0.8519419,0.6808789,0.92662543,0.9275529,42.0,10.6,7.0,50.6,0.3288180112838745,0.8666666507720947,0.8285035,0.9388889,0.78787875,0.88018906,0.7386695,0.92996633,0.91953975,52.0,14.0,4.4,67.6
1,0.001,0.0,0.0,689,0.3468571662902832,0.8456838726997375,0.82914066,0.8887477,0.7984761,0.8575446,0.69237626,0.92025816,0.92196923,42.0,10.6,6.4,51.2,0.33596320152282716,0.8463767886161804,0.8414444,0.8694445,0.8212121,0.8550226,0.69254595,0.9252946,0.9093479,54.2,11.8,9.4,62.6
2,0.0001,0.0,0.0,689,0.3441708207130432,0.8421785354614257,0.825918,0.88566244,0.7948476,0.8541673,0.68591076,0.92266,0.9192807,41.8,10.8,6.6,51.0,0.3294028162956238,0.856521725654602,0.85218084,0.87777776,0.8333334,0.86467427,0.7126493,0.9305555,0.9263829,55.0,11.0,8.8,63.2
3,0.0001,0.2,0.0,689,0.3311247110366821,0.8657002449035645,0.8275302,0.9408348,0.7829463,0.8797053,0.73921084,0.94424456,0.94015473,41.2,11.4,3.4,54.2,0.47112017273902895,0.7971014380455017,0.787998,0.83611107,0.75454545,0.8109956,0.5942539,0.8927609,0.89000833,49.8,16.2,11.8,60.2
4,0.0001,0.0,0.0,689,0.3419263333082199,0.8385421752929687,0.8216441,0.8817302,0.79071116,0.8492942,0.68052506,0.92264956,0.91971457,41.6,11.0,6.8,50.8,0.31434689164161683,0.8594202756881714,0.868563,0.86111104,0.8575758,0.8647772,0.71850944,0.93829966,0.9303347,56.6,9.4,10.0,62.0
5,0.001,0.4,0.001,689,0.3788209557533264,0.8276003122329711,0.79769826,0.9065336,0.74114656,0.8468567,0.6629413,0.9062144,0.8943852,39.0,13.6,5.4,52.2,0.31852591037750244,0.8565217137336731,0.80732125,0.95277774,0.75151515,0.873911,0.7236862,0.94570714,0.94998854,49.6,16.4,3.4,68.6
6,0.0001,0.0,0.0,689,0.3367492496967316,0.8494512796401977,0.8329142,0.892317,0.8023222,0.86133194,0.6995648,0.9286521,0.9320806,42.2,10.4,6.2,51.4,0.31079018115997314,0.8768115878105164,0.85526836,0.9194444,0.830303,0.8861723,0.75472504,0.9359007,0.9272889,54.8,11.2,5.8,66.2
7,0.0001,0.0,0.0001,689,0.3488876521587372,0.8367076277732849,0.8223408,0.87852395,0.79114664,0.8491143,0.67419714,0.91940624,0.9168892,41.6,11.0,7.0,50.6,0.31784533262252807,0.8536231637001037,0.8297375,0.9055556,0.7969697,0.86574095,0.7093546,0.9362795,0.9363104,52.6,13.4,6.8,65.2
8,0.001,0.4,0.0001,689,0.3547500312328339,0.8602293252944946,0.8287347,0.92365396,0.79078376,0.8735879,0.7236817,0.9246439,0.91773856,41.6,11.0,4.4,53.2,0.368466717004776,0.8521738886833191,0.8296088,0.9027778,0.79696965,0.86429393,0.70643246,0.92609423,0.9328512,52.6,13.4,7.0,65.0
9,0.001,0.0,0.001,689,0.34043564796447756,0.8512366890907288,0.8347514,0.89255893,0.8061684,0.8625271,0.70307887,0.9230835,0.9201878,42.4,10.2,6.2,51.4,0.2789832055568695,0.8710144996643067,0.85315144,0.9111112,0.8272728,0.88061124,0.74396366,0.95185184,0.9522276,54.6,11.4,6.4,65.6
