config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate_normal,config/train_loop_config/dropout_rate_attention,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_inner_es_loss,average_inner_es_accuracy,average_inner_es_precision,average_inner_es_recall,average_inner_es_specificity,average_inner_es_f1_score,average_inner_es_mcc,average_inner_es_auroc,average_inner_es_auprc,average_inner_es_true_positives,average_inner_es_false_negatives,average_inner_es_false_positives,average_inner_es_true_negatives,average_val_loss,average_val_accuracy,average_val_precision,average_val_recall,average_val_specificity,average_val_f1_score,average_val_mcc,average_val_auroc,average_val_auprc,average_val_true_positives,average_val_false_negatives,average_val_false_positives,average_val_true_negatives
9,0.0001,0.4,0.4,0.001,689,0.6746155023574829,0.5979798197746277,0.5627429,0.8644661,0.3389004,0.6753007,0.22682862,0.5953768,0.54661864,8.0,15.0,3.0,18.8,0.6868491291999816,0.5831818222999573,0.57494384,0.8429276,0.28981483,0.6789514,0.15586592,0.5913992,0.5887306,7.6,18.4,4.6,24.6
9,0.001,0.4,0.4,0.0001,689,0.6714864373207092,0.5935353755950927,0.5613694,0.8251443,0.36241084,0.661308,0.20312643,0.59695625,0.5473415,8.6,14.4,3.8,18.0,0.6882454872131347,0.5831818103790283,0.5754291,0.83503056,0.29814816,0.67686546,0.15235464,0.59460795,0.5916288,7.8,18.2,4.8,24.4
9,0.0001,0.4,0.2,0.001,689,0.6745705842971802,0.602525269985199,0.5675465,0.8450216,0.3636991,0.67205703,0.23038158,0.5953768,0.54661864,8.6,14.4,3.4,18.4,0.6868166327476501,0.5796103954315186,0.5733282,0.83667755,0.28981483,0.6758033,0.1446314,0.5913992,0.5887306,7.6,18.4,4.8,24.4
9,0.0001,0.4,0.0,0.001,689,0.6746839761734009,0.602525269985199,0.5675465,0.8450216,0.3636991,0.67205703,0.23038158,0.5953768,0.54661864,8.6,14.4,3.4,18.4,0.6871303200721741,0.5868181824684143,0.57923496,0.83647597,0.305291,0.679096,0.16390555,0.5913992,0.588881,8.0,18.0,4.8,24.4
9,0.0001,0.2,0.4,0.001,689,0.6745699286460877,0.5934343576431275,0.5601788,0.8644661,0.33020476,0.6731149,0.21585342,0.5957883,0.54687786,7.8,15.2,3.0,18.8,0.6872755646705627,0.586753249168396,0.5755718,0.85542756,0.28148147,0.6831842,0.17627361,0.5916637,0.5889183,7.4,18.6,4.2,25.0
9,0.0001,0.2,0.2,0.001,689,0.6743842005729676,0.5978788018226624,0.56513226,0.85335493,0.3463078,0.67294466,0.21854094,0.5953768,0.54661864,8.2,14.8,3.2,18.6,0.687629497051239,0.5831818222999573,0.5740635,0.84917754,0.28148147,0.6802009,0.15922394,0.5919283,0.5890034,7.4,18.6,4.4,24.8
9,0.0001,0.2,0.0,0.001,689,0.6743696451187133,0.5935353755950927,0.5619091,0.8271645,0.3636991,0.66194725,0.20572588,0.595772,0.5467946,8.6,14.4,3.8,18.0,0.6869876623153687,0.5832467555999756,0.5785252,0.8239759,0.31362432,0.67453754,0.15256488,0.5919241,0.5891559,8.2,17.8,5.2,24.0
9,0.0001,0.0,0.4,0.001,689,0.6740265130996704,0.5845454692840576,0.5508909,0.873557,0.3045779,0.67022955,0.2023451,0.5961673,0.54705036,7.2,15.8,2.8,19.0,0.6879414677619934,0.5940909028053284,0.58116484,0.8699148,0.28148147,0.69268906,0.18210082,0.5916637,0.58878887,7.4,18.6,3.8,25.4
9,0.0001,0.0,0.2,0.001,689,0.6713387966156006,0.5979798197746277,0.5626525,0.8652237,0.3389004,0.67509556,0.22847614,0.5969578,0.5482162,8.0,15.0,3.0,18.8,0.6881323099136353,0.5905194878578186,0.57865655,0.8622824,0.28148147,0.68849736,0.16815291,0.5973174,0.5914285,7.4,18.6,4.0,25.2
9,0.0001,0.0,0.0,0.001,689,0.667425525188446,0.5890909314155579,0.5577165,0.81244594,0.36241084,0.65316236,0.19542892,0.5927355,0.557014,8.6,14.4,4.0,17.8,0.6844807267189026,0.5940909028053284,0.5870467,0.842663,0.31309527,0.686463,0.17574134,0.60584277,0.59958506,8.2,17.8,4.6,24.6
