config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate_normal,config/train_loop_config/dropout_rate_attention,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_inner_es_loss,average_inner_es_accuracy,average_inner_es_precision,average_inner_es_recall,average_inner_es_specificity,average_inner_es_f1_score,average_inner_es_mcc,average_inner_es_auroc,average_inner_es_auprc,average_inner_es_true_positives,average_inner_es_false_negatives,average_inner_es_false_positives,average_inner_es_true_negatives,average_val_loss,average_val_accuracy,average_val_precision,average_val_recall,average_val_specificity,average_val_f1_score,average_val_mcc,average_val_auroc,average_val_auprc,average_val_true_positives,average_val_false_negatives,average_val_false_positives,average_val_true_negatives
0,0.01,0.0,0.4,0.001,689,0.26796773076057434,0.8885858654975891,0.8885385,0.9115607,0.8615243,0.8995121,0.7754091,0.9556222,0.9597823,17.4,2.8,2.2,22.4,0.2925061047077179,0.8874675393104553,0.8681157,0.9398896,0.8253608,0.9013712,0.77653223,0.94866973,0.95290565,21.2,4.4,1.8,27.8
4,0.01,0.0,0.2,0.001,689,0.3238195776939392,0.8483838438987732,0.84634894,0.87515545,0.8205773,0.8593872,0.697527,0.91625357,0.91419375,17.2,3.8,3.0,20.8,0.3197523385286331,0.8801948070526123,0.83530265,0.9489215,0.81361055,0.8875372,0.76978546,0.94716614,0.94353354,22.6,5.2,1.4,26.0
3,0.01,0.0,0.2,0.001,689,0.2705389797687531,0.8662626385688782,0.8656769,0.89423865,0.83873427,0.8773788,0.73536456,0.9390985,0.93905354,17.4,3.4,2.6,21.4,0.30004703998565674,0.8951948165893555,0.87816226,0.9310106,0.86012065,0.90234184,0.7928804,0.9558247,0.9546331,22.2,3.8,2.0,27.2
2,0.01,0.0,0.2,0.001,689,0.28704071044921875,0.8660606145858765,0.8170147,0.94567096,0.78029734,0.8766117,0.7396316,0.9547022,0.9546021,17.2,4.8,1.2,21.6,0.3243343740701675,0.8988311648368835,0.88762504,0.9357684,0.85246146,0.9108472,0.79458916,0.9409026,0.93824804,21.4,3.6,2.0,28.2
1,0.01,0.0,0.2,0.001,689,0.29350069761276243,0.8837373733520508,0.90306073,0.8828632,0.8776803,0.89116174,0.7654469,0.9467948,0.94815177,18.4,2.4,2.8,21.2,0.29803221225738524,0.8550000071525574,0.8122729,0.8944467,0.80785626,0.8507968,0.71029544,0.9205273,0.9021144,22.8,5.4,2.6,24.4
0,0.01,0.0,0.2,0.001,689,0.2705629825592041,0.8885858654975891,0.8885385,0.9115607,0.8615243,0.8995121,0.77540904,0.9539896,0.95786303,17.4,2.8,2.2,22.4,0.2936747044324875,0.8911039113998414,0.87931234,0.9324821,0.8405906,0.90358275,0.7835256,0.9483818,0.95251626,21.6,4.0,2.0,27.6
4,0.01,0.0,0.0,0.001,689,0.32366655468940736,0.8528282880783081,0.8528105,0.87515545,0.8292729,0.86311066,0.7053767,0.9139148,0.91037863,17.4,3.6,3.0,20.8,0.32154861092567444,0.883766233921051,0.83823836,0.95632887,0.8136107,0.89184016,0.7788519,0.9460985,0.94114274,22.6,5.2,1.2,26.2
3,0.01,0.0,0.0,0.001,689,0.28279889225959776,0.8795959711074829,0.88270426,0.9019311,0.8597868,0.88775235,0.7670827,0.93261784,0.931579,17.8,3.0,2.4,21.6,0.29688487350940707,0.8879870176315308,0.87804717,0.9174488,0.8601206,0.8947295,0.7801951,0.95559037,0.9537877,22.2,3.8,2.4,26.8
2,0.01,0.0,0.0,0.001,689,0.2886061668395996,0.8615151524543763,0.81547624,0.93658006,0.78029734,0.87182444,0.729361,0.94773495,0.94592965,17.2,4.8,1.4,21.4,0.30702309906482694,0.9024675250053406,0.88854456,0.94291127,0.85246146,0.914719,0.80215776,0.94616556,0.9459564,21.4,3.6,1.8,28.4
1,0.01,0.0,0.0,0.001,689,0.29723934531211854,0.8790909171104431,0.88825953,0.8933817,0.8607992,0.8878759,0.7583575,0.9410575,0.94204557,18.0,2.8,2.6,21.4,0.3001027286052704,0.8586363673210144,0.81074876,0.91183805,0.8014046,0.8581668,0.7199206,0.92056674,0.90019286,22.6,5.6,2.2,24.8
