config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_inner_es_loss,average_inner_es_accuracy,average_inner_es_precision,average_inner_es_recall,average_inner_es_specificity,average_inner_es_f1_score,average_inner_es_mcc,average_inner_es_auroc,average_inner_es_auprc,average_inner_es_true_positives,average_inner_es_false_negatives,average_inner_es_false_positives,average_inner_es_true_negatives,average_val_loss,average_val_accuracy,average_val_precision,average_val_recall,average_val_specificity,average_val_f1_score,average_val_mcc,average_val_auroc,average_val_auprc,average_val_true_positives,average_val_false_negatives,average_val_false_positives,average_val_true_negatives
7,0.01,0.0,0.0,689,0.6403931260108948,0.6282431006431579,0.61884946,0.75855684,0.4856035,0.6813947,0.2533514,0.6595197,0.6613852,20.6,21.8,11.2,35.2,0.6655296921730042,0.6224569916725159,0.6139771,0.7570478,0.47554427,0.6769989,0.24357665,0.62732756,0.610723,25.0,27.6,14.0,43.6
7,0.01,0.2,0.0,689,0.6678298950195313,0.6214504718780518,0.61131525,0.7631822,0.46688813,0.678295,0.24128446,0.6469719,0.63663423,19.8,22.6,11.0,35.4,0.6751796722412109,0.6170024394989013,0.60638285,0.77065945,0.44898406,0.678026,0.23175219,0.6187353,0.594851,23.6,29.0,13.2,44.4
7,0.01,0.4,0.0,689,0.6726725935935974,0.6260469794273377,0.6093577,0.80185014,0.43355483,0.6917148,0.25366217,0.64768666,0.6354947,18.4,24.0,9.2,37.2,0.6789441466331482,0.6152497887611389,0.6005551,0.79509985,0.41872278,0.6836587,0.2313296,0.6162755,0.5898183,22.0,30.6,11.8,45.8
7,0.001,0.0,0.0,689,0.6367977261543274,0.6327630162239075,0.6211777,0.78473634,0.46666664,0.69260967,0.26233593,0.6648142,0.6728799,19.8,22.6,10.0,36.4,0.6696343302726746,0.6043243169784546,0.59772646,0.7500907,0.44528303,0.6646308,0.20558357,0.62109303,0.60803914,23.4,29.2,14.4,43.2
7,0.001,0.2,0.0,689,0.6643868923187256,0.6214760065078735,0.6075403,0.7844588,0.44307867,0.68455327,0.2416986,0.6461731,0.6375634,18.8,23.6,10.0,36.4,0.6731268763542175,0.6188370108604431,0.60791117,0.7742287,0.44920176,0.6802159,0.23593163,0.6205182,0.5946059,23.6,29.0,13.0,44.6
7,0.001,0.4,0.0,689,0.6705193281173706,0.6215270757675171,0.6079,0.7844588,0.4430786,0.6841943,0.2426868,0.6494044,0.6365057,18.8,23.6,10.0,36.4,0.677634882926941,0.6152333974838257,0.60187465,0.784634,0.43004355,0.680673,0.23028474,0.61654514,0.59108317,22.6,30.0,12.4,45.2
7,0.0001,0.0,0.0,689,0.6500131130218506,0.608043909072876,0.5988938,0.7761332,0.42436323,0.67511797,0.21256599,0.6463923,0.6566278,18.0,24.4,10.4,36.0,0.663666558265686,0.6025225162506104,0.59476095,0.76043564,0.43011612,0.66687113,0.20172873,0.6218251,0.6056026,22.6,30.0,13.8,43.8
7,0.0001,0.2,0.0,689,0.668072497844696,0.6147854924201965,0.6035026,0.77150786,0.4430786,0.6764926,0.22816458,0.64849585,0.6377227,18.8,23.6,10.6,35.8,0.6754631876945496,0.6079606771469116,0.59828633,0.76727164,0.43388972,0.67178756,0.2135044,0.61807567,0.592341,22.8,29.8,13.4,44.2
7,0.0001,0.4,0.0,689,0.6720333337783814,0.63281409740448,0.6122748,0.8148936,0.43366557,0.6981696,0.2720651,0.65021574,0.63699925,18.4,24.0,8.6,37.8,0.6784340262413024,0.6188533902168274,0.60136133,0.8053237,0.41487664,0.6879465,0.24138904,0.6174693,0.59208214,21.8,30.8,11.2,46.4
7,0.01,0.0,0.0001,689,0.6473488092422486,0.610265576839447,0.604602,0.7412581,0.4667774,0.66556245,0.21624804,0.65807426,0.66475314,19.8,22.6,12.0,34.4,0.6606485962867736,0.6061424970626831,0.6017052,0.7396249,0.46059507,0.6621997,0.20944679,0.63346136,0.6223734,24.2,28.4,15.0,42.6
