config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_outer_es_loss,average_outer_es_accuracy,average_outer_es_precision,average_outer_es_recall,average_outer_es_specificity,average_outer_es_f1_score,average_outer_es_mcc,average_outer_es_auroc,average_outer_es_auprc,average_outer_es_true_positives,average_outer_es_false_negatives,average_outer_es_false_positives,average_outer_es_true_negatives,average_test_loss,average_test_accuracy,average_test_precision,average_test_recall,average_test_specificity,average_test_f1_score,average_test_mcc,average_test_auroc,average_test_auprc,average_test_true_positives,average_test_false_negatives,average_test_false_positives,average_test_true_negatives
0,0.001,0.0,0.0,689,0.37230828404426575,0.8456838607788086,0.82761115,0.89243805,0.79448473,0.8583473,0.69275004,0.9084797,0.8870926,41.8,10.8,6.2,51.4,0.40177289247512815,0.8463767886161804,0.811436,0.91944444,0.76666665,0.86192036,0.6975859,0.8895623,0.84853107,50.6,15.4,5.8,66.2
1,0.001,0.0,0.0,689,0.3639786303043365,0.8257657527923584,0.809762,0.87144583,0.7756168,0.8393763,0.6518196,0.9119481,0.90628636,40.8,11.8,7.4,50.2,0.3858516335487366,0.8463767886161804,0.84709007,0.86111104,0.830303,0.85392535,0.69227725,0.90441924,0.8676022,54.8,11.2,10.0,62.0
2,0.001,0.0,0.001,689,0.3749569594860077,0.836707615852356,0.8150781,0.8923775,0.77590716,0.8512808,0.6759898,0.9043423,0.88423604,40.8,11.8,6.2,51.4,0.3552343904972076,0.8637681245803833,0.84998,0.8972222,0.8272728,0.8729321,0.7276448,0.91957074,0.9134588,54.6,11.4,7.4,64.6
3,0.01,0.0,0.0001,689,0.3441570460796356,0.8456838607788086,0.831215,0.8856019,0.8023222,0.8570744,0.69248855,0.91988105,0.9119188,42.2,10.4,6.6,51.0,0.4745041012763977,0.795652163028717,0.8293813,0.76944447,0.8242425,0.7968313,0.5954674,0.8799242,0.8569239,54.4,11.6,16.6,55.4
4,0.001,0.0,0.0,689,0.36965242624282835,0.8366748571395874,0.8294271,0.86460984,0.80595076,0.8462375,0.6737027,0.90356797,0.8801292,42.4,10.2,7.8,49.8,0.35967800617218015,0.8507246375083923,0.8520943,0.8638889,0.8363637,0.85790366,0.70086145,0.915362,0.89642,55.2,10.8,9.8,62.2
5,0.0001,0.0,0.0,689,0.39227789640426636,0.834922194480896,0.81364167,0.89255893,0.7717707,0.8504001,0.67266685,0.89418125,0.86832076,40.6,12.0,6.2,51.4,0.35128130912780764,0.8420289635658265,0.80695504,0.9166667,0.76060605,0.858251,0.68875074,0.92264307,0.9254519,50.2,15.8,6.0,66.0
6,0.001,0.0,0.001,689,0.37509430646896363,0.8276330947875976,0.81141126,0.8748337,0.7755443,0.841411,0.6563951,0.9054381,0.8963045,40.8,11.8,7.2,50.4,0.32863584756851194,0.873913049697876,0.8564123,0.9111112,0.8333333,0.88282996,0.7485094,0.9258417,0.9043506,55.0,11.0,6.4,65.6
7,0.001,0.0,0.001,689,0.37515302896499636,0.8294676542282104,0.81610715,0.87150633,0.7837446,0.8422524,0.6601771,0.9036338,0.88964605,41.2,11.4,7.4,50.2,0.3383487522602081,0.8521738886833191,0.8290777,0.9027778,0.7969697,0.8642241,0.70603395,0.9212543,0.9049117,52.6,13.4,7.0,65.0
8,0.01,0.2,0.0,689,0.40456690788269045,0.8148075461387634,0.7905071,0.89570475,0.725254,0.83751696,0.6348585,0.8644682,0.8428267,38.2,14.4,6.0,51.6,0.47723731994628904,0.7927536129951477,0.7888036,0.8472222,0.73333335,0.8130968,0.5900749,0.84692764,0.83023465,48.4,17.6,11.0,61.0
9,0.001,0.0,0.001,689,0.3747688293457031,0.8385421752929687,0.81311715,0.899516,0.7716981,0.8539214,0.67919147,0.9040637,0.88658917,40.6,12.0,5.8,51.8,0.30646321177482605,0.8666666626930237,0.83187264,0.9333333,0.7939394,0.8795866,0.73768425,0.9390152,0.9241498,52.4,13.6,4.8,67.2
