config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_outer_es_loss,average_outer_es_accuracy,average_outer_es_precision,average_outer_es_recall,average_outer_es_specificity,average_outer_es_f1_score,average_outer_es_mcc,average_outer_es_auroc,average_outer_es_auprc,average_outer_es_true_positives,average_outer_es_false_negatives,average_outer_es_false_positives,average_outer_es_true_negatives,average_test_loss,average_test_accuracy,average_test_precision,average_test_recall,average_test_specificity,average_test_f1_score,average_test_mcc,average_test_auroc,average_test_auprc,average_test_true_positives,average_test_false_negatives,average_test_false_positives,average_test_true_negatives
0,0.0001,0.0,0.001,689,0.3431448101997375,0.8511220335960388,0.83136547,0.89933455,0.7986212,0.863537,0.704052,0.9235662,0.92186517,42.0,10.6,5.8,51.8,0.37193468809127805,0.8579709887504577,0.819726,0.9333334,0.77575755,0.87278384,0.72144186,0.91111106,0.89221585,51.2,14.8,4.8,67.2
1,0.0001,0.0,0.01,689,0.3361706256866455,0.8529402136802673,0.83426684,0.89915305,0.8021771,0.8645031,0.7086551,0.9265629,0.92560494,42.2,10.4,5.8,51.8,0.35059011578559873,0.856521737575531,0.84561586,0.8861111,0.8242424,0.86504185,0.71366185,0.91708755,0.90072185,54.4,11.6,8.2,63.8
2,0.0001,0.4,0.0001,689,0.35760256052017214,0.8439967274665833,0.81985664,0.9029643,0.7798258,0.858679,0.69117135,0.9127493,0.9058329,41.0,11.6,5.6,52.0,0.3450795114040375,0.8550724506378173,0.83505476,0.9,0.8060606,0.86628884,0.7109995,0.92260104,0.90795344,53.2,12.8,7.2,64.8
3,0.0001,0.4,0.0001,689,0.310372656583786,0.8620802640914917,0.85394746,0.8888687,0.8325108,0.87076443,0.7242149,0.93733215,0.9343036,43.8,8.8,6.4,51.2,0.44891400933265685,0.7971014380455017,0.8257016,0.775,0.8212122,0.79910105,0.59641695,0.8925926,0.8880949,54.2,11.8,16.2,55.8
4,0.0001,0.4,0.0001,689,0.3522418260574341,0.8421621561050415,0.8156289,0.90272224,0.7756168,0.85647047,0.6876317,0.9164689,0.9041892,40.8,11.8,5.6,52.0,0.33455275893211367,0.8507246136665344,0.8427685,0.87777776,0.8212121,0.8597167,0.70140815,0.9314815,0.9241397,54.2,11.8,8.8,63.2
5,0.0001,0.4,0.0001,689,0.3626176595687866,0.8439475893974304,0.83021927,0.88566244,0.79818577,0.8563016,0.68920696,0.9101287,0.90022296,42.0,10.6,6.6,51.0,0.31677243709564207,0.8579710006713868,0.8324915,0.91111106,0.8,0.8699387,0.7179762,0.93632144,0.9372638,52.8,13.2,6.4,65.6
6,0.0001,0.2,0.01,689,0.3443911373615265,0.8512202978134156,0.8395955,0.88523895,0.8137156,0.86150694,0.7027474,0.9276091,0.9265992,42.8,9.8,6.6,51.0,0.3201089143753052,0.865217387676239,0.8504068,0.9,0.8272727,0.87439,0.7308533,0.9318181,0.9211887,54.6,11.4,7.2,64.8
7,0.0001,0.0,0.001,689,0.34666059613227845,0.8402457118034363,0.8258014,0.88179076,0.7949202,0.8522685,0.6817962,0.9225451,0.9168022,41.8,10.8,6.8,50.8,0.3321401596069336,0.8449275135993958,0.8219272,0.8972222,0.7878788,0.8576647,0.6918571,0.9284091,0.9263334,52.0,14.0,7.4,64.6
8,0.0001,0.4,0.001,689,0.34538710713386533,0.8438656806945801,0.8190786,0.9028433,0.7791728,0.8582813,0.69091594,0.922135,0.9105282,41.0,11.6,5.6,52.0,0.38262733817100525,0.839130413532257,0.8260838,0.87777776,0.7969697,0.8506751,0.6790821,0.9137206,0.91986847,52.6,13.4,8.8,63.2
9,0.0001,0.2,0.01,689,0.35268834233283997,0.8440131068229675,0.82241404,0.89600724,0.7871553,0.8574914,0.68928546,0.9157097,0.91226196,41.4,11.2,6.0,51.6,0.27809450030326843,0.8797101616859436,0.85638875,0.925,0.830303,0.8892354,0.76108015,0.9497053,0.9449178,54.8,11.2,5.4,66.6
