config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_inner_es_loss,average_inner_es_accuracy,average_inner_es_precision,average_inner_es_recall,average_inner_es_specificity,average_inner_es_f1_score,average_inner_es_mcc,average_inner_es_auroc,average_inner_es_auprc,average_inner_es_true_positives,average_inner_es_false_negatives,average_inner_es_false_positives,average_inner_es_true_negatives,average_val_loss,average_val_accuracy,average_val_precision,average_val_recall,average_val_specificity,average_val_f1_score,average_val_mcc,average_val_auroc,average_val_auprc,average_val_true_positives,average_val_false_negatives,average_val_false_positives,average_val_true_negatives
3,0.01,0.0,0.001,689,0.5736085295677185,0.6708375811576843,0.66326153,0.89222944,0.42646733,0.74737006,0.3255034,0.7913364,0.7734154,18.2,24.2,5.0,41.4,0.5971497654914856,0.6517772197723388,0.6579715,0.8580762,0.4283019,0.726111,0.2920205,0.75809145,0.7385738,22.4,30.2,8.2,49.4
3,0.001,0.0,0.001,689,0.5020062983036041,0.7907814025878906,0.782421,0.8362628,0.74097455,0.8076183,0.58205277,0.8496746,0.8392849,31.4,11.0,7.6,38.8,0.5252653121948242,0.7422440648078918,0.73159087,0.79915303,0.6806241,0.76258457,0.48685065,0.832207,0.8308036,35.8,16.8,11.6,46.0
3,0.01,0.4,0.001,689,0.6920785427093505,0.5225229740142823,0.522523,1.0,0.0,0.6863766,0.009571811,0.68870944,0.6945199,0.0,42.4,0.0,46.4,0.6921566009521485,0.5226863026618958,0.5226863,1.0,0.0,0.6865225,0.008654244,0.64631903,0.6535665,0.0,52.6,0.0,57.6
3,0.01,0.2,0.001,689,0.6920717477798461,0.5225229740142823,0.522523,1.0,0.0,0.6863766,0.009571811,0.69585824,0.6936608,0.0,42.4,0.0,46.4,0.692166268825531,0.5226863026618958,0.5226863,1.0,0.0,0.6865225,0.008654244,0.6679398,0.6620159,0.0,52.6,0.0,57.6
3,0.001,0.4,0.0001,689,0.4239792048931122,0.8424667954444885,0.83085394,0.879371,0.8021041,0.854133,0.6850462,0.8870559,0.8728701,34.0,8.4,5.6,40.8,0.4521386921405792,0.8022113084793091,0.7937607,0.8406533,0.76044995,0.8159591,0.6049005,0.87973464,0.874963,40.0,12.6,9.2,48.4
3,0.1,0.4,0.001,689,0.6918439388275146,0.5225229740142823,0.522523,1.0,0.0,0.6863767,0.009571811,0.6620865,0.6477689,0.0,42.4,0.0,46.4,0.6918969035148621,0.5226863026618958,0.5226863,1.0,0.0,0.6865225,0.008654244,0.651487,0.63339615,0.0,52.6,0.0,57.6
3,0.1,0.2,0.001,689,0.6917668223381043,0.5225229740142823,0.522523,1.0,0.0,0.6863766,0.009571811,0.66177857,0.64766365,0.0,42.4,0.0,46.4,0.6920786261558532,0.5226863026618958,0.5226863,1.0,0.0,0.6865225,0.008654244,0.6505436,0.6335794,0.0,52.6,0.0,57.6
3,0.1,0.0,0.001,689,0.6917248129844665,0.5225229740142823,0.522523,1.0,0.0,0.6863766,0.009571811,0.6630955,0.649178,0.0,42.4,0.0,46.4,0.6919321060180664,0.5226863026618958,0.5226863,1.0,0.0,0.6865225,0.008654244,0.65203553,0.6343895,0.0,52.6,0.0,57.6
3,0.001,0.2,0.0001,689,0.37677604556083677,0.8514811038970947,0.8426485,0.879186,0.8210409,0.8604223,0.7027452,0.91333866,0.9014497,34.8,7.6,5.6,40.8,0.4081600487232208,0.8294512629508972,0.8260463,0.85795516,0.79840344,0.84039384,0.6604143,0.9004116,0.89306897,42.0,10.6,8.2,49.4
3,0.001,0.0,0.0001,689,0.39703741669654846,0.842415726184845,0.83286154,0.87502307,0.80675524,0.8532936,0.6845005,0.902199,0.89391917,34.2,8.2,5.8,40.6,0.41695218682289126,0.8221621632575988,0.8118973,0.86140347,0.7795356,0.83409035,0.6478375,0.90124494,0.90132666,41.0,11.6,8.0,49.6
