config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_inner_es_loss,average_inner_es_accuracy,average_inner_es_precision,average_inner_es_recall,average_inner_es_specificity,average_inner_es_f1_score,average_inner_es_mcc,average_inner_es_auroc,average_inner_es_auprc,average_inner_es_true_positives,average_inner_es_false_negatives,average_inner_es_false_positives,average_inner_es_true_negatives,average_val_loss,average_val_accuracy,average_val_precision,average_val_recall,average_val_specificity,average_val_f1_score,average_val_mcc,average_val_auroc,average_val_auprc,average_val_true_positives,average_val_false_negatives,average_val_false_positives,average_val_true_negatives
9,0.01,0.2,0.001,689,0.2563057005405426,0.8760214567184448,0.8763914,0.88760406,0.8633444,0.88193786,0.7515136,0.9574768,0.96194065,36.6,5.8,5.2,41.2,0.24173467457294465,0.9038329243659973,0.8932357,0.92716277,0.8781568,0.90968627,0.8079483,0.96596575,0.9670005,46.2,6.4,4.2,53.4
8,0.01,0.2,0.001,689,0.21772063672542571,0.9099080801010132,0.90448314,0.9269196,0.8914728,0.91527003,0.8200334,0.9692051,0.9728521,37.8,4.6,3.4,43.0,0.22449651658535003,0.9110728979110718,0.8987414,0.93756807,0.8823658,0.917085,0.82371485,0.97036505,0.97126806,46.4,6.2,3.6,54.0
7,0.01,0.2,0.001,689,0.22160548269748687,0.9053626298904419,0.8894275,0.93515265,0.872536,0.9115403,0.8114497,0.9686127,0.9680236,37.0,5.4,3.0,43.4,0.26707456409931185,0.8965602040290832,0.89440477,0.90992135,0.88214797,0.90162104,0.79371864,0.9589858,0.96006376,46.4,6.2,5.2,52.4
6,0.01,0.2,0.001,689,0.256785586476326,0.8806690573692322,0.874251,0.900555,0.85891473,0.88710386,0.7611883,0.9555683,0.96110773,36.4,6.0,4.6,41.8,0.29166353940963746,0.8856019616127014,0.88660586,0.89552325,0.8745283,0.89079505,0.77115756,0.9569146,0.9580487,46.0,6.6,6.0,51.6
5,0.01,0.2,0.001,689,0.27696447968482973,0.8919050097465515,0.88978183,0.9050878,0.8775194,0.89731294,0.78344816,0.9547119,0.952602,37.2,5.2,4.4,42.0,0.31255513429641724,0.8711711883544921,0.8805804,0.8788868,0.86349785,0.8770054,0.7473532,0.95301723,0.9512396,45.4,7.2,7.0,50.6
4,0.01,0.2,0.001,689,0.2539801001548767,0.8964504837989807,0.89101064,0.91387606,0.8774086,0.90204716,0.793052,0.9605398,0.9665221,37.2,5.2,4.0,42.4,0.2398074358701706,0.8783456087112427,0.8688558,0.90665454,0.8479681,0.8859023,0.7598592,0.9679863,0.97101605,44.6,8.0,5.4,52.2
3,0.01,0.2,0.001,689,0.21822294294834138,0.9054392337799072,0.8963401,0.92654955,0.88250273,0.9109246,0.8113085,0.9711093,0.97189105,37.4,5.0,3.4,43.0,0.255421981215477,0.8983783721923828,0.88983995,0.92353296,0.870537,0.9047985,0.79988587,0.9692701,0.9722582,45.8,6.8,4.4,53.2
2,0.01,0.2,0.001,689,0.23676826655864716,0.8895556926727295,0.8797401,0.91369104,0.86312294,0.89634037,0.77897465,0.96538067,0.9691113,36.6,5.8,4.0,42.4,0.27465907037258147,0.8821130275726319,0.8695618,0.91663647,0.8447024,0.89090633,0.76768273,0.9591692,0.9594859,44.4,8.2,4.8,52.8
1,0.01,0.2,0.001,689,0.22982281744480132,0.9053115606307983,0.8992647,0.92220175,0.886711,0.9105318,0.81038797,0.9672325,0.9706138,37.6,4.8,3.6,42.8,0.2370405226945877,0.9128255605697632,0.9025424,0.9338778,0.8897678,0.9177082,0.82611847,0.97220343,0.9738582,46.8,5.8,3.8,53.8
0,0.01,0.2,0.001,689,0.20607131868600845,0.9143258571624756,0.91850024,0.9177613,0.9107419,0.9173287,0.8298726,0.971883,0.9747962,38.6,3.8,3.8,42.6,0.26837802231311797,0.89832923412323,0.881065,0.9339989,0.8592888,0.9061657,0.7983808,0.95994693,0.9554652,45.2,7.4,3.8,53.8
