config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_outer_es_loss,average_outer_es_accuracy,average_outer_es_precision,average_outer_es_recall,average_outer_es_specificity,average_outer_es_f1_score,average_outer_es_mcc,average_outer_es_auroc,average_outer_es_auprc,average_outer_es_true_positives,average_outer_es_false_negatives,average_outer_es_false_positives,average_outer_es_true_negatives,average_test_loss,average_test_accuracy,average_test_precision,average_test_recall,average_test_specificity,average_test_f1_score,average_test_mcc,average_test_auroc,average_test_auprc,average_test_true_positives,average_test_false_negatives,average_test_false_positives,average_test_true_negatives
0,0.01,0.4,0.0001,689,0.23313314765691756,0.8965274453163147,0.88966274,0.9166969,0.874238,0.9027845,0.7930158,0.9633988,0.96567374,46.0,6.6,4.8,52.8,0.24802781641483307,0.9057971239089966,0.8691661,0.9666666,0.839394,0.91477716,0.8174612,0.97112787,0.97247565,55.4,10.6,2.4,69.6
1,0.01,0.2,0.0,689,0.23958404064178468,0.9036691308021545,0.89482707,0.930369,0.87496376,0.9112481,0.80896634,0.9592487,0.95150167,46.0,6.6,4.0,53.6,0.3006066083908081,0.8840579748153686,0.8749343,0.9083333,0.8575758,0.89076614,0.7690331,0.95399827,0.9506403,56.6,9.4,6.6,65.4
2,0.01,0.4,0.0001,689,0.23731972873210908,0.8875511765480042,0.87674224,0.9133092,0.8592888,0.894392,0.7755242,0.96839553,0.9701233,45.2,7.4,5.0,52.6,0.2006150633096695,0.9289855241775513,0.92849314,0.93611115,0.9212121,0.9321367,0.85801804,0.97558916,0.97449553,60.8,5.2,4.6,67.4
3,0.01,0.4,0.001,689,0.21457140445709227,0.9146764993667602,0.9110817,0.9269813,0.9011611,0.91864145,0.82973653,0.96975535,0.96699077,47.4,5.2,4.2,53.4,0.22434915602207184,0.8898550868034363,0.9154104,0.8694445,0.9121212,0.8914922,0.781431,0.97218007,0.97434205,60.2,5.8,9.4,62.6
4,0.01,0.4,0.0,689,0.19593881368637084,0.918296468257904,0.9075011,0.9407743,0.89325106,0.92334974,0.83759755,0.9767132,0.9792124,47.0,5.6,3.4,54.2,0.22497042119503022,0.9130434989929199,0.91002846,0.925,0.9,0.9173454,0.8259757,0.97247475,0.9735877,59.4,6.6,5.4,66.6
5,0.01,0.4,0.0001,689,0.22228454053401947,0.9073709964752197,0.90806705,0.9165759,0.89716977,0.9120492,0.8147451,0.97043335,0.9728038,47.2,5.4,4.8,52.8,0.2382453501224518,0.8942029118537903,0.8772373,0.92777777,0.8575758,0.9014541,0.7896708,0.9699074,0.9713131,56.6,9.4,5.2,66.8
6,0.01,0.4,0.0,689,0.2331474244594574,0.8983456254005432,0.89550954,0.9133091,0.8822931,0.90392745,0.7970385,0.9669012,0.969021,46.4,6.2,5.0,52.6,0.24520007967948915,0.8971014738082885,0.88357526,0.925,0.8666666,0.9036811,0.7946219,0.9646044,0.96165025,57.2,8.8,5.4,66.6
7,0.01,0.2,0.0,689,0.2191644251346588,0.9002457022666931,0.90101445,0.9096794,0.89005816,0.90511084,0.8004445,0.9669215,0.9695221,46.8,5.8,5.2,52.4,0.23768032789230348,0.9144927740097046,0.9130433,0.925,0.9030303,0.91868925,0.82921237,0.9732324,0.97261876,59.6,6.4,5.4,66.6
8,0.01,0.0,0.0001,689,0.2275214225053787,0.901965594291687,0.89842033,0.9165759,0.88599426,0.90699595,0.80438787,0.9695611,0.97243565,46.6,6.0,4.8,52.8,0.29528738260269166,0.8724637627601624,0.85741585,0.9083333,0.8333333,0.8816242,0.74623334,0.95298827,0.9574828,55.0,11.0,6.6,65.4
9,0.001,0.0,0.0,689,0.22476192712783813,0.9165438175201416,0.9177601,0.92365396,0.9087809,0.9201619,0.8338502,0.96927655,0.97068137,47.8,4.8,4.4,53.2,0.21179226338863372,0.9014492988586426,0.9111229,0.9,0.9030303,0.9051944,0.8032807,0.97495794,0.97770023,59.6,6.4,7.2,64.8
