config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate_normal,config/train_loop_config/dropout_rate_attention,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_inner_es_loss,average_inner_es_accuracy,average_inner_es_precision,average_inner_es_recall,average_inner_es_specificity,average_inner_es_f1_score,average_inner_es_mcc,average_inner_es_auroc,average_inner_es_auprc,average_inner_es_true_positives,average_inner_es_false_negatives,average_inner_es_false_positives,average_inner_es_true_negatives,average_val_loss,average_val_accuracy,average_val_precision,average_val_recall,average_val_specificity,average_val_f1_score,average_val_mcc,average_val_auroc,average_val_auprc,average_val_true_positives,average_val_false_negatives,average_val_false_positives,average_val_true_negatives
9,0.01,0.0,0.0,0.0,689,0.4916176497936249,0.7582828402519226,0.74376523,0.8119769,0.7066023,0.77266014,0.52024096,0.8305523,0.82657397,16.4,6.6,4.2,17.6,0.5030494451522827,0.7829870104789733,0.77274764,0.84531814,0.71269834,0.8058971,0.5650228,0.8370841,0.8288652,18.6,7.4,4.6,24.6
9,0.01,0.0,0.2,0.0,689,0.6114181756973267,0.6649495124816894,0.6183444,0.82031024,0.52063495,0.70303905,0.35417777,0.7153809,0.69122493,12.0,11.0,4.0,17.8,0.6213520169258118,0.706623375415802,0.68269867,0.83599913,0.56031746,0.75038934,0.41591874,0.7266303,0.7094974,14.6,11.4,4.8,24.4
9,0.01,0.0,0.4,0.0,689,0.6296905636787414,0.6468687057495117,0.60147524,0.8826479,0.4242466,0.7096218,0.34038672,0.71685874,0.685994,9.8,13.2,2.6,19.2,0.6368972659111023,0.6631168842315673,0.6414929,0.8572261,0.4458995,0.72926533,0.34485322,0.71741223,0.69639856,11.6,14.4,4.2,25.0
9,0.01,0.2,0.0,0.0,689,0.5426738739013672,0.722626268863678,0.7070265,0.7715729,0.6819415,0.7312415,0.45648026,0.7889317,0.76320386,15.6,7.4,5.0,16.8,0.5539932966232299,0.7685064911842346,0.7527189,0.8442993,0.680291,0.79514164,0.5343903,0.8042448,0.7905079,17.8,8.2,4.6,24.6
9,0.01,0.2,0.2,0.0,689,0.616092050075531,0.6470707178115844,0.60301834,0.8203103,0.48585233,0.69234055,0.32259697,0.7077203,0.6802813,11.2,11.8,4.0,17.8,0.6235645771026611,0.6884415626525879,0.67364895,0.81599253,0.54537034,0.7338306,0.38259467,0.7229296,0.7131113,14.2,11.8,5.4,23.8
9,0.01,0.2,0.4,0.0,689,0.6381120204925537,0.5978788018226624,0.5585586,0.8838023,0.33383942,0.68095744,0.2546938,0.717716,0.6874878,7.6,15.4,2.6,19.2,0.6464818358421326,0.6885714292526245,0.6485302,0.9084859,0.4468254,0.7546798,0.4073531,0.72111577,0.70857215,11.6,14.4,2.8,26.4
9,0.01,0.4,0.0,0.0,689,0.5470073163509369,0.7314141511917114,0.70595956,0.8088744,0.66372216,0.7478348,0.47599453,0.7844547,0.76304865,15.2,7.8,4.2,17.6,0.560140323638916,0.7612337708473206,0.7378464,0.85911417,0.652381,0.7927751,0.52446544,0.8016666,0.79019487,17.0,9.0,4.2,25.0
9,0.01,0.4,0.2,0.0,689,0.6168631315231323,0.6560606241226197,0.6105243,0.82031024,0.5032436,0.6975502,0.33888063,0.70118606,0.6720805,11.6,11.4,4.0,17.8,0.6249064922332763,0.6922077894210815,0.6720025,0.8244549,0.5448413,0.73881674,0.3875907,0.7213628,0.7122988,14.2,11.8,5.2,24.0
9,0.01,0.4,0.4,0.0,689,0.6405554056167603,0.6158586025238038,0.5662155,0.9174964,0.31856453,0.6995921,0.28139365,0.7072533,0.6793024,7.6,15.4,1.8,20.0,0.6434458494186401,0.6703896045684814,0.6367097,0.88547313,0.42883596,0.7396652,0.35540265,0.71871793,0.70257527,11.2,14.8,3.4,25.8
9,0.001,0.0,0.0,0.0,689,0.5388456284999847,0.7091919302940368,0.7003759,0.7771284,0.64656085,0.72975886,0.4278621,0.771804,0.76274616,15.0,8.0,5.0,16.8,0.5571901559829712,0.772012996673584,0.75036496,0.85822135,0.6724868,0.7999345,0.54295343,0.80104905,0.7985434,17.6,8.4,4.2,25.0
