config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate_normal,config/train_loop_config/dropout_rate_attention,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_inner_es_loss,average_inner_es_accuracy,average_inner_es_precision,average_inner_es_recall,average_inner_es_specificity,average_inner_es_f1_score,average_inner_es_mcc,average_inner_es_auroc,average_inner_es_auprc,average_inner_es_true_positives,average_inner_es_false_negatives,average_inner_es_false_positives,average_inner_es_true_negatives,average_val_loss,average_val_accuracy,average_val_precision,average_val_recall,average_val_specificity,average_val_f1_score,average_val_mcc,average_val_auroc,average_val_auprc,average_val_true_positives,average_val_false_negatives,average_val_false_positives,average_val_true_negatives
3,0.0001,0.2,0.4,0.0001,689,0.2703889548778534,0.8973737478256225,0.88789004,0.925649,0.8658702,0.90524244,0.79627603,0.9390432,0.9312309,18.0,2.8,1.8,22.2,0.28021121919155123,0.8807792067527771,0.87814236,0.90321076,0.8617237,0.8879918,0.7652583,0.9453723,0.9348173,22.2,3.8,2.8,26.4
2,0.0001,0.2,0.4,0.0001,689,0.25694262981414795,0.8884848594665528,0.8538581,0.9361472,0.83857936,0.8930195,0.77989435,0.9579485,0.951717,18.4,3.6,1.4,21.4,0.28969039022922516,0.8951948046684265,0.89662343,0.9149682,0.87242925,0.90515196,0.788545,0.95426226,0.9567935,21.8,3.2,2.6,27.6
1,0.0001,0.2,0.4,0.0001,689,0.30022901594638823,0.8614141464233398,0.88059825,0.85605985,0.86397666,0.86581975,0.72161853,0.933658,0.9183561,18.0,2.8,3.4,20.6,0.29719228744506837,0.8766233801841736,0.8224136,0.9447055,0.80675733,0.8792571,0.7589274,0.92908746,0.8881219,22.8,5.4,1.4,25.6
0,0.0001,0.2,0.4,0.0001,689,0.2464345097541809,0.897474753856659,0.8967265,0.91891974,0.8706152,0.9076015,0.7924062,0.95906734,0.9633533,17.6,2.6,2.0,22.6,0.27248716056346894,0.887597405910492,0.8814985,0.9179632,0.8490531,0.89789355,0.7757006,0.9569055,0.95509875,21.8,3.8,2.4,27.2
4,0.0001,0.2,0.2,0.0001,689,0.299834406375885,0.8306060671806336,0.84007245,0.8413979,0.8210535,0.83982706,0.66175395,0.92858106,0.9335562,17.2,3.8,3.8,20.0,0.29284578263759614,0.8802597284317016,0.84180754,0.9343712,0.8276683,0.88515425,0.7665054,0.95353603,0.9380051,23.0,4.8,1.8,25.6
3,0.0001,0.2,0.2,0.0001,689,0.26409033834934237,0.8973737478256225,0.8893995,0.925649,0.86730564,0.9052628,0.7980766,0.94383985,0.93833625,18.0,2.8,1.8,22.2,0.2743705779314041,0.8699350595474243,0.8753111,0.8825091,0.8617237,0.8764744,0.7431647,0.947756,0.94249505,22.2,3.8,3.4,25.8
2,0.0001,0.2,0.2,0.0001,689,0.2540882438421249,0.8706060647964478,0.8429451,0.9075758,0.82948846,0.8731697,0.7438828,0.95716286,0.9509575,18.2,3.8,2.0,20.8,0.29209110140800476,0.8915584444999695,0.89109755,0.9149682,0.864096,0.90217113,0.78159153,0.9553261,0.9585344,21.6,3.4,2.6,27.6
1,0.0001,0.2,0.2,0.0001,689,0.29287993907928467,0.8703030347824097,0.890972,0.8634672,0.871384,0.87463474,0.7392849,0.9389475,0.9331393,18.2,2.6,3.2,20.8,0.2902232199907303,0.8801948070526123,0.8312233,0.93600976,0.82223356,0.8803903,0.7640402,0.9304678,0.8981783,23.2,5.0,1.6,25.4
0,0.0001,0.2,0.2,0.0001,689,0.24435173869132995,0.9019191980361938,0.8975385,0.9282564,0.8706152,0.9124168,0.8018508,0.9626562,0.96591777,17.6,2.6,1.8,22.8,0.26736360788345337,0.887597405910492,0.8814985,0.9179632,0.8490531,0.89789355,0.7757006,0.95796,0.95676345,21.8,3.8,2.4,27.2
4,0.0001,0.2,0.0,0.0001,689,0.29913818538188935,0.8306060671806336,0.84007245,0.8413979,0.8210535,0.83982706,0.6617539,0.92894876,0.93440455,17.2,3.8,3.8,20.0,0.28969215750694277,0.8875324606895447,0.85270107,0.9343712,0.8417077,0.89129466,0.77960384,0.9533106,0.93808615,23.4,4.4,1.8,25.6
