config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_inner_es_loss,average_inner_es_accuracy,average_inner_es_precision,average_inner_es_recall,average_inner_es_specificity,average_inner_es_f1_score,average_inner_es_mcc,average_inner_es_auroc,average_inner_es_auprc,average_inner_es_true_positives,average_inner_es_false_negatives,average_inner_es_false_positives,average_inner_es_true_negatives,average_val_loss,average_val_accuracy,average_val_precision,average_val_recall,average_val_specificity,average_val_f1_score,average_val_mcc,average_val_auroc,average_val_auprc,average_val_true_positives,average_val_false_negatives,average_val_false_positives,average_val_true_negatives
1,0.01,0.0,0.0,689,0.6029512405395507,0.6870275855064392,0.67482513,0.7717854,0.59435225,0.71961087,0.37433758,0.72275573,0.70183676,25.2,17.2,10.6,35.8,0.6172700643539428,0.6569860816001892,0.6683528,0.6913491,0.61981136,0.6770846,0.31463608,0.7245217,0.727712,32.6,20.0,17.8,39.8
1,0.01,0.2,0.0,689,0.6729012727737427,0.6419305562973022,0.618584,0.8273821,0.43798453,0.70705533,0.29047257,0.6670478,0.6450864,18.6,23.8,8.0,38.4,0.6730444669723511,0.6480262041091919,0.6251961,0.8231095,0.45689407,0.71003497,0.30196026,0.67645,0.6566551,24.0,28.6,10.2,47.4
1,0.01,0.4,0.0,689,0.6838054776191711,0.5809754848480224,0.56199044,0.9566142,0.16843855,0.7057441,0.20018005,0.6655243,0.64490044,7.2,35.2,2.0,44.4,0.6846371293067932,0.588140857219696,0.5663625,0.96194804,0.17989841,0.710339,0.19725677,0.6743939,0.6500743,9.4,43.2,2.2,55.4
1,0.001,0.0,0.0,689,0.6043540477752686,0.7005873322486877,0.6866952,0.7846439,0.6088594,0.73186266,0.4021275,0.71991456,0.69660664,25.8,16.6,10.0,36.4,0.6167924880981446,0.6678624033927918,0.67264044,0.7189958,0.6121191,0.69331646,0.33497867,0.7226088,0.72908103,32.2,20.4,16.2,41.4
1,0.001,0.2,0.0,689,0.6629240036010742,0.6329417943954467,0.61952114,0.8321924,0.41638985,0.7043195,0.26090294,0.6272997,0.6198255,17.6,24.8,7.8,38.6,0.6696628570556641,0.6152334094047547,0.606695,0.8054446,0.40573296,0.68539035,0.22235045,0.5978441,0.6004715,21.4,31.2,11.2,46.4
1,0.001,0.4,0.0,689,0.6721712827682496,0.6306690454483033,0.6084808,0.83108234,0.4097453,0.6998094,0.27688876,0.6628917,0.6439129,17.4,25.0,7.8,38.6,0.672636091709137,0.6352661609649658,0.61473167,0.83387774,0.41901308,0.7045196,0.28400594,0.67201436,0.6558633,22.0,30.6,9.6,48.0
1,0.0001,0.0,0.0,689,0.6416234731674194,0.6196118593215942,0.6148756,0.86299723,0.35714287,0.70627594,0.22703783,0.58561444,0.60651743,15.0,27.4,6.4,40.0,0.6428730487823486,0.6151842594146728,0.6095433,0.85033274,0.354717,0.69807476,0.2142686,0.58664817,0.60952365,18.8,33.8,8.6,49.0
1,0.0001,0.2,0.0,689,0.6799754619598388,0.5857763051986694,0.57183206,0.9141536,0.22857141,0.6990293,0.16488238,0.5528292,0.57417583,9.6,32.8,4.0,42.4,0.6812110304832458,0.5807370901107788,0.5678236,0.892196,0.23773584,0.6892263,0.15117495,0.54662395,0.5678647,12.6,40.0,6.2,51.4
1,0.0001,0.4,0.0,689,0.6895695686340332,0.536159336566925,0.5304775,0.9956522,0.033333335,0.6919203,0.05799263,0.51721174,0.55914223,1.4,41.0,0.2,46.2,0.6909673094749451,0.5371007204055787,0.5313131,0.9931034,0.03773585,0.6919195,0.056549918,0.492308,0.528215,2.0,50.6,0.4,57.2
1,0.01,0.0,0.0001,689,0.6293987274169922,0.6666751861572265,0.6589043,0.74976873,0.57563674,0.70129615,0.33132356,0.69086236,0.6674558,24.4,18.0,11.6,34.8,0.6385835886001587,0.649811613559723,0.6515442,0.71209925,0.5817126,0.67909753,0.29831603,0.6882795,0.6799709,30.6,22.0,16.6,41.0
