config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_inner_es_loss,average_inner_es_accuracy,average_inner_es_precision,average_inner_es_recall,average_inner_es_specificity,average_inner_es_f1_score,average_inner_es_mcc,average_inner_es_auroc,average_inner_es_auprc,average_inner_es_true_positives,average_inner_es_false_negatives,average_inner_es_false_positives,average_inner_es_true_negatives,average_val_loss,average_val_accuracy,average_val_precision,average_val_recall,average_val_specificity,average_val_f1_score,average_val_mcc,average_val_auroc,average_val_auprc,average_val_true_positives,average_val_false_negatives,average_val_false_positives,average_val_true_negatives
0,0.01,0.0,0.0,689,0.23216620981693267,0.9008427023887634,0.9014724,0.90915823,0.89180505,0.90523165,0.8014226,0.96274376,0.9619247,37.8,4.6,4.2,42.2,0.30934126377105714,0.8819983601570129,0.8706158,0.90961885,0.8517417,0.8896264,0.76395786,0.9549985,0.9521843,44.8,7.8,5.2,52.4
1,0.01,0.0,0.0,689,0.3830452859401703,0.7952247142791748,0.8051941,0.8875116,0.6915836,0.83133554,0.5819901,0.8995293,0.88636464,29.4,13.0,5.2,41.2,0.37454325556755064,0.8164455413818359,0.80448663,0.937689,0.68570393,0.8550865,0.6431118,0.9074418,0.89048785,36.0,16.6,3.6,54.0
2,0.01,0.0,0.0,689,0.24255256354808807,0.8805924654006958,0.86878824,0.90934324,0.8488372,0.8883635,0.7615179,0.96090186,0.9596791,36.0,6.4,4.2,42.2,0.3020345985889435,0.8676003217697144,0.86513865,0.89255893,0.84085625,0.8755196,0.74079525,0.9466728,0.9444803,44.2,8.4,6.2,51.4
3,0.01,0.0,0.0,689,0.25717063546180724,0.9076353430747985,0.90980566,0.91369104,0.90110743,0.9116847,0.81500417,0.9565325,0.95326316,38.2,4.2,4.0,42.4,0.2848514914512634,0.8766420960426331,0.8719014,0.89945555,0.851524,0.88471365,0.7541693,0.95075595,0.9498292,44.8,7.8,5.8,51.8
4,0.01,0.0,0.0,689,0.36652864813804625,0.7952757835388183,0.7891391,0.90943563,0.66832775,0.8342005,0.58203584,0.8963804,0.88874185,28.4,14.0,4.2,42.2,0.38380666375160216,0.8038001656532288,0.80140686,0.91712034,0.68193036,0.84254897,0.60395783,0.90647286,0.89697057,35.8,16.8,4.8,52.8
5,0.01,0.0,0.0,689,0.3072784513235092,0.8512768149375916,0.84327734,0.87909335,0.82115173,0.8605188,0.70271504,0.93259346,0.9302567,34.8,7.6,5.6,40.8,0.30163305103778837,0.8729402184486389,0.86815387,0.89600724,0.8480407,0.8808111,0.7474176,0.9437469,0.9386732,44.6,8.0,6.0,51.6
6,0.01,0.0,0.0,689,0.29486896097660065,0.8627426028251648,0.8514706,0.89213693,0.8306755,0.8711213,0.7258893,0.9414201,0.94049203,35.2,7.2,5.0,41.4,0.308259379863739,0.8674692988395691,0.85724,0.899516,0.83280116,0.87611884,0.7384342,0.94658124,0.94508755,43.8,8.8,5.8,51.8
7,0.01,0.0,0.0,689,0.33959072530269624,0.8221910238265991,0.80380213,0.9526364,0.6817276,0.86171913,0.6404255,0.86520356,0.8638574,28.8,13.6,2.2,44.2,0.3531336784362793,0.8093693614006042,0.80113137,0.9268602,0.6788824,0.8484365,0.6109791,0.86197215,0.8576561,35.8,16.8,4.2,53.4
8,0.01,0.0,0.0,689,0.24429786205291748,0.8896322846412659,0.8803772,0.91387606,0.86301214,0.89661205,0.77935565,0.9616516,0.9599903,36.6,5.8,4.0,42.4,0.2851451635360718,0.8784602761268616,0.8659769,0.9094979,0.84419453,0.8865865,0.7580766,0.95299804,0.9517579,44.4,8.2,5.2,52.4
9,0.01,0.0,0.0,689,0.36450540721416474,0.855694591999054,0.8464774,0.88316375,0.8256922,0.8643955,0.7111382,0.9367324,0.9353258,35.0,7.4,5.4,41.0,0.3786730349063873,0.8693366289138794,0.8547145,0.90949786,0.8246735,0.8796567,0.74232155,0.9330493,0.9302518,43.4,9.2,5.2,52.4
0,0.01,0.2,0.0,689,0.32031330913305284,0.8155005097389221,0.871513,0.7303423,0.91085273,0.74301124,0.65243423,0.9357629,0.9291729,38.6,3.8,12.6,33.8,0.37269946932792664,0.8038329243659973,0.8443716,0.7376891,0.87445575,0.73002684,0.62560856,0.94011056,0.9358754,46.0,6.6,15.0,42.6
1,0.01,0.2,0.0,689,0.3579300194978714,0.8154494404792786,0.80833226,0.93098986,0.6913621,0.8537871,0.625871,0.91454184,0.90747595,29.2,13.2,3.2,43.2,0.3490942806005478,0.8237510085105896,0.8207447,0.930369,0.70522493,0.8605822,0.6389171,0.9406546,0.9376688,37.2,15.4,4.0,53.6
2,0.01,0.2,0.0,689,0.23404220044612883,0.8940500736236572,0.8717314,0.93524516,0.84872645,0.9022835,0.7893896,0.96473753,0.9651281,36.0,6.4,3.0,43.4,0.29379411041736603,0.8766257166862488,0.87598485,0.89243805,0.8597242,0.8830016,0.75493366,0.94910526,0.9497984,45.2,7.4,6.2,51.4
