config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_inner_es_loss,average_inner_es_accuracy,average_inner_es_precision,average_inner_es_recall,average_inner_es_specificity,average_inner_es_f1_score,average_inner_es_mcc,average_inner_es_auroc,average_inner_es_auprc,average_inner_es_true_positives,average_inner_es_false_negatives,average_inner_es_false_positives,average_inner_es_true_negatives,average_val_loss,average_val_accuracy,average_val_precision,average_val_recall,average_val_specificity,average_val_f1_score,average_val_mcc,average_val_auroc,average_val_auprc,average_val_true_positives,average_val_false_negatives,average_val_false_positives,average_val_true_negatives
9,0.0001,0.4,0.001,506,0.3720927834510803,0.855384624004364,0.8257143,1.0,0.63846153,0.89973545,0.68129075,0.85295856,0.8614456,16.6,9.4,0.0,39.0,0.4100351095199585,0.8318209767341613,0.7975849,1.0,0.575,0.8835701,0.6328932,0.82329273,0.84246224,18.4,13.6,0.0,48.8
6,0.0001,0.0,0.001,506,0.3453735947608948,0.8830769300460816,0.8382472,1.0,0.7076923,0.91164446,0.7698541,0.8564102,0.85739124,18.4,7.6,0.0,39.0,0.3218334078788757,0.8984567999839783,0.8580085,1.0,0.74375,0.9230431,0.7984056,0.8738998,0.87473,23.8,8.2,0.0,48.8
8,0.0001,0.4,0.001,506,0.41915425658226013,0.8246153950691223,0.7891061,1.0,0.56153846,0.8782574,0.62258744,0.7903353,0.80192393,14.6,11.4,0.0,39.0,0.4037284851074219,0.8441975355148316,0.8134634,1.0,0.60625,0.8925316,0.6570195,0.8078271,0.8214081,19.4,12.6,0.0,48.8
7,0.0001,0.4,0.001,506,0.45856808722019193,0.781538474559784,0.75691795,1.0,0.45384616,0.8551687,0.5044746,0.7549309,0.7917365,11.8,14.2,0.0,39.0,0.45961626768112185,0.7841975331306458,0.76006484,1.0,0.45625,0.857314,0.505269,0.83213747,0.8361691,14.6,17.4,0.0,48.8
6,0.0001,0.4,0.001,506,0.4199873924255371,0.8276923179626465,0.79228973,1.0,0.56923074,0.88024914,0.6283942,0.79033536,0.80500305,14.8,11.2,0.0,39.0,0.4018059134483337,0.8434568047523499,0.81249124,1.0,0.60625,0.89191103,0.6566747,0.8064971,0.816237,19.4,12.6,0.0,48.8
5,0.0001,0.4,0.001,506,0.45913397073745726,0.781538474559784,0.7562319,1.0,0.45384616,0.85495794,0.50427836,0.81301785,0.84259355,11.8,14.2,0.0,39.0,0.48551305532455447,0.7718518495559692,0.7466353,1.0,0.425,0.8491186,0.48179898,0.7702288,0.79773563,13.6,18.4,0.0,48.8
4,0.0001,0.4,0.001,506,0.4163915812969208,0.8307692408561707,0.7977439,1.0,0.5769231,0.88293105,0.6348573,0.7869822,0.81696177,15.0,11.0,0.0,39.0,0.40902196168899535,0.8417901277542115,0.8091507,1.0,0.6,0.890429,0.6519194,0.80302936,0.8063655,19.2,12.8,0.0,48.8
3,0.0001,0.4,0.001,506,0.3145338535308838,0.9015384674072265,0.859944,1.0,0.75384617,0.92445767,0.8049437,0.8918147,0.8718484,19.6,6.4,0.0,39.0,0.3197232007980347,0.9059876561164856,0.8661111,1.0,0.7625,0.9280518,0.8124612,0.875651,0.861765,24.4,7.6,0.0,48.8
2,0.0001,0.4,0.001,506,0.41135762333869935,0.8276923179626465,0.7918078,1.0,0.5692308,0.8800966,0.6282842,0.8228797,0.8243333,14.8,11.2,0.0,39.0,0.4020213186740875,0.8393518567085266,0.8065548,1.0,0.59375,0.8888329,0.64727247,0.8381444,0.8366753,19.0,13.0,0.0,48.8
1,0.0001,0.4,0.001,506,0.39669992923736574,0.8430769324302674,0.8115646,1.0,0.60769236,0.8912939,0.65796226,0.86923075,0.8695115,15.8,10.2,0.0,39.0,0.3981135249137878,0.8416975378990174,0.8095776,1.0,0.6,0.89050543,0.6520288,0.8564879,0.8625124,19.2,12.8,0.0,48.8
