config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_inner_es_loss,average_inner_es_accuracy,average_inner_es_precision,average_inner_es_recall,average_inner_es_specificity,average_inner_es_f1_score,average_inner_es_mcc,average_inner_es_auroc,average_inner_es_auprc,average_inner_es_true_positives,average_inner_es_false_negatives,average_inner_es_false_positives,average_inner_es_true_negatives,average_val_loss,average_val_accuracy,average_val_precision,average_val_recall,average_val_specificity,average_val_f1_score,average_val_mcc,average_val_auroc,average_val_auprc,average_val_true_positives,average_val_false_negatives,average_val_false_positives,average_val_true_negatives
0,0.01,0.0,0.001,506,0.31862016320228576,0.8953846216201782,0.85223645,1.0,0.73846155,0.92003524,0.7931458,0.8720907,0.8687197,19.2,6.8,0.0,39.0,0.3112126290798187,0.9008950591087341,0.86228913,0.9958334,0.75625,0.92408884,0.80112123,0.8752764,0.8751041,24.2,7.8,0.2,48.6
1,0.01,0.4,0.0,506,0.29294211566448214,0.9015384674072265,0.8611299,1.0,0.75384617,0.9248233,0.8052598,0.8729784,0.8601632,19.6,6.4,0.0,39.0,0.3101072907447815,0.8960185289382935,0.8546916,1.0,0.7375,0.9212176,0.79361427,0.87409526,0.87371856,23.6,8.4,0.0,48.8
2,0.01,0.4,0.0,506,0.30361690521240237,0.8892307758331299,0.8451411,1.0,0.72307694,0.91581094,0.7814561,0.89112425,0.89223623,18.8,7.2,0.0,39.0,0.30459548234939576,0.8936728477478028,0.8516687,1.0,0.73125,0.9195452,0.7888578,0.875562,0.87973976,23.4,8.6,0.0,48.8
3,0.01,0.4,0.0,506,0.27930425107479095,0.9015384674072265,0.859944,1.0,0.75384617,0.92445767,0.8049437,0.90266263,0.89751786,19.6,6.4,0.0,39.0,0.28266319930553435,0.9059876561164856,0.8661111,1.0,0.7625,0.9280518,0.81246126,0.8969547,0.9005003,24.4,7.6,0.0,48.8
4,0.0001,0.2,0.0,506,0.320158326625824,0.8953846216201782,0.8550166,1.0,0.73846155,0.9208828,0.7939527,0.8777121,0.8854505,19.2,6.8,0.0,39.0,0.3335400879383087,0.8961111187934876,0.8542646,1.0,0.7375,0.9211413,0.79350483,0.8657791,0.85706174,23.6,8.4,0.0,48.8
5,0.01,0.2,0.0,506,0.32498814463615416,0.8830769300460816,0.8381893,1.0,0.7076923,0.91163427,0.76977503,0.8583826,0.87458944,18.4,7.6,0.0,39.0,0.3092189639806747,0.8985802412033081,0.85842544,1.0,0.74375,0.9232513,0.7984567,0.8778818,0.8770814,23.8,8.2,0.0,48.8
6,0.01,0.2,0.0,506,0.3237208008766174,0.8830769300460816,0.8382472,1.0,0.7076923,0.91164446,0.7698541,0.8696253,0.86415994,18.4,7.6,0.0,39.0,0.3128062278032303,0.8984567999839783,0.8580085,1.0,0.74375,0.92304313,0.7984056,0.88947695,0.90197545,23.8,8.2,0.0,48.8
7,0.001,0.2,0.0,506,0.31553278863430023,0.892307698726654,0.84943503,1.0,0.7307693,0.91815567,0.78748995,0.8648915,0.86779845,19.0,7.0,0.0,39.0,0.29687522649765014,0.9084259271621704,0.8686226,1.0,0.76875,0.9296192,0.817104,0.8816646,0.86931705,24.6,7.4,0.0,48.8
8,0.01,0.4,0.0,506,0.31392763555049896,0.8861538529396057,0.84243935,1.0,0.7153846,0.9139716,0.77575934,0.86923087,0.8686325,18.6,7.4,0.0,39.0,0.3027695417404175,0.8985185265541077,0.8585774,1.0,0.74375,0.9232437,0.7986049,0.88568896,0.8897287,23.8,8.2,0.0,48.8
9,0.01,0.4,0.0,506,0.2770423382520676,0.9076923131942749,0.8682143,1.0,0.7692307,0.9290458,0.81693715,0.88076925,0.877598,20.0,6.0,0.0,39.0,0.30936658680438994,0.8910802364349365,0.8485271,1.0,0.725,0.9177066,0.78394395,0.87327135,0.88215876,23.2,8.8,0.0,48.8
