config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_outer_es_loss,average_outer_es_accuracy,average_outer_es_precision,average_outer_es_recall,average_outer_es_specificity,average_outer_es_f1_score,average_outer_es_mcc,average_outer_es_auroc,average_outer_es_auprc,average_outer_es_true_positives,average_outer_es_false_negatives,average_outer_es_false_positives,average_outer_es_true_negatives,average_test_loss,average_test_accuracy,average_test_precision,average_test_recall,average_test_specificity,average_test_f1_score,average_test_mcc,average_test_auroc,average_test_auprc,average_test_true_positives,average_test_false_negatives,average_test_false_positives,average_test_true_negatives
6,0.01,0.2,0.0,506,0.2985110282897949,0.8985185146331787,0.8566917,1.0,0.74375,0.92267084,0.7980822,0.88005686,0.8831698,23.8,8.2,0.0,48.8,0.29225443601608275,0.9019607901573181,0.86111104,1.0,0.75,0.9253732,0.8036375,0.8782258,0.8716218,30.0,10.0,0.0,62.0
4,0.0001,0.2,0.0,506,0.31876487731933595,0.8961419820785522,0.85432625,1.0,0.7375,0.9211763,0.7935352,0.8539421,0.8463213,23.6,8.4,0.0,48.8,0.269581264257431,0.9117646813392639,0.8732394,1.0,0.775,0.9323309,0.82265455,0.92036283,0.9251456,31.0,9.0,0.0,62.0
5,0.01,0.2,0.0,506,0.2969292938709259,0.8985493898391723,0.856956,1.0,0.74375,0.92276907,0.79816,0.8804728,0.88109124,23.8,8.2,0.0,48.8,0.29112252593040466,0.9019607901573181,0.86111104,1.0,0.75,0.9253732,0.8036375,0.88842744,0.9005801,30.0,10.0,0.0,62.0
3,0.01,0.4,0.0,506,0.27699054777622223,0.9059876561164856,0.8664627,1.0,0.7625,0.9281562,0.8125782,0.889396,0.8890476,24.4,7.6,0.0,48.8,0.3542333781719208,0.8725489974021912,0.82666665,1.0,0.675,0.9051095,0.74699396,0.8348387,0.85114145,27.0,13.0,0.0,62.0
2,0.01,0.4,0.0,506,0.30049643814563753,0.8935185313224793,0.8523793,1.0,0.73125,0.91966707,0.78907,0.8673005,0.864744,23.4,8.6,0.0,48.8,0.2536324173212051,0.9215686321258545,0.88571435,1.0,0.8,0.9393939,0.84176683,0.9015726,0.8923224,32.0,8.0,0.0,62.0
0,0.01,0.0,0.001,506,0.3020740419626236,0.9011419653892517,0.86444867,0.9959184,0.75625,0.92493486,0.8014768,0.8781861,0.86934364,24.2,7.8,0.2,48.6,0.3367101728916168,0.8843137264251709,0.8401333,1.0,0.70500004,0.9131155,0.76959914,0.8504839,0.8423852,28.2,11.8,0.0,62.0
1,0.01,0.4,0.0,506,0.29747539162635805,0.8960493683815003,0.8546047,1.0,0.7375,0.92122585,0.7934718,0.87349856,0.86906683,23.6,8.4,0.0,48.8,0.2718385517597198,0.9117646813392639,0.8732394,1.0,0.775,0.9323309,0.82265455,0.89104843,0.9005286,31.0,9.0,0.0,62.0
7,0.001,0.2,0.0,506,0.2869442284107208,0.908364188671112,0.8687502,1.0,0.76875,0.92962444,0.8171261,0.8834038,0.8792163,24.6,7.4,0.0,48.8,0.3618985295295715,0.8725489974021912,0.82666665,1.0,0.675,0.9051095,0.74699396,0.82826614,0.8160974,27.0,13.0,0.0,62.0
9,0.01,0.4,0.0,506,0.3085555970668793,0.8911110997200012,0.8485702,1.0,0.725,0.9177367,0.783961,0.87196004,0.8707762,23.2,8.8,0.0,48.8,0.2403704434633255,0.9313725233078003,0.8985508,1.0,0.825,0.94656485,0.86099035,0.90971774,0.8948582,33.0,7.0,0.0,62.0
8,0.01,0.4,0.0,506,0.2920394092798233,0.8985185146331787,0.8568034,1.0,0.74375,0.9227048,0.79811466,0.87819415,0.8801931,23.8,8.2,0.0,48.8,0.2981889367103577,0.9019607901573181,0.86111104,1.0,0.75,0.9253732,0.8036375,0.87205637,0.8581303,30.0,10.0,0.0,62.0
