config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_inner_es_loss,average_inner_es_accuracy,average_inner_es_precision,average_inner_es_recall,average_inner_es_specificity,average_inner_es_f1_score,average_inner_es_mcc,average_inner_es_auroc,average_inner_es_auprc,average_inner_es_true_positives,average_inner_es_false_negatives,average_inner_es_false_positives,average_inner_es_true_negatives,average_val_loss,average_val_accuracy,average_val_precision,average_val_recall,average_val_specificity,average_val_f1_score,average_val_mcc,average_val_auroc,average_val_auprc,average_val_true_positives,average_val_false_negatives,average_val_false_positives,average_val_true_negatives
9,0.0001,0.4,0.1,506,0.28635030388832095,0.9076923131942749,0.8682143,1.0,0.7692307,0.9290458,0.81693715,0.8768245,0.85948914,20.0,6.0,0.0,39.0,0.3315897107124329,0.8910802364349365,0.8485271,1.0,0.725,0.9177066,0.78394395,0.8465149,0.84351957,23.2,8.8,0.0,48.8
8,0.0001,0.4,0.1,506,0.3278479129076004,0.8861538529396057,0.8424395,1.0,0.7153846,0.9139716,0.77575934,0.85266274,0.8494194,18.6,7.4,0.0,39.0,0.32128106355667113,0.8985185265541077,0.8585774,1.0,0.74375,0.9232437,0.7986049,0.89679927,0.90139544,23.8,8.2,0.0,48.8
7,0.0001,0.4,0.1,506,0.3165957808494568,0.892307698726654,0.84943503,1.0,0.7307693,0.91815567,0.78748995,0.8646943,0.8727907,19.0,7.0,0.0,39.0,0.29401934146881104,0.9059567928314209,0.8655524,1.0,0.7625,0.9278582,0.8123356,0.8875531,0.8844684,24.4,7.6,0.0,48.8
6,0.0001,0.4,0.1,506,0.33885841965675356,0.8830769300460816,0.8382472,1.0,0.7076923,0.91164446,0.7698541,0.8688362,0.84304,18.4,7.6,0.0,39.0,0.3253814369440079,0.8984567999839783,0.8580085,1.0,0.74375,0.9230431,0.7984056,0.8685826,0.8646234,23.8,8.2,0.0,48.8
5,0.0001,0.4,0.1,506,0.33652846813201903,0.8830769300460816,0.8381893,1.0,0.7076923,0.91163427,0.769775,0.8331362,0.8406293,18.4,7.6,0.0,39.0,0.3189232796430588,0.8985802412033081,0.85842544,1.0,0.74375,0.92325133,0.7984567,0.860814,0.85329723,23.8,8.2,0.0,48.8
4,0.0001,0.4,0.1,506,0.3069376677274704,0.8953846216201782,0.8550166,1.0,0.7384615,0.9208829,0.79395276,0.8570019,0.8477917,19.2,6.8,0.0,39.0,0.31836786270141604,0.8961111187934876,0.8542646,1.0,0.7375,0.92114127,0.79350483,0.8488148,0.8419771,23.6,8.4,0.0,48.8
3,0.0001,0.4,0.1,506,0.2945756673812866,0.9015384674072265,0.859944,1.0,0.7538461,0.92445767,0.80494374,0.9079882,0.91123927,19.6,6.4,0.0,39.0,0.29964926838874817,0.9059876561164856,0.8661111,1.0,0.7625,0.9280518,0.81246126,0.88359374,0.879593,24.4,7.6,0.0,48.8
2,0.0001,0.4,0.1,506,0.3215964674949646,0.8892307758331299,0.8451411,1.0,0.72307694,0.91581094,0.7814561,0.8552268,0.8505522,18.8,7.2,0.0,39.0,0.31920158863067627,0.8936728477478028,0.85166883,1.0,0.73125,0.9195452,0.7888578,0.86392564,0.8695389,23.4,8.6,0.0,48.8
1,0.0001,0.4,0.1,506,0.298936653137207,0.9015384674072265,0.8611299,1.0,0.7538461,0.9248233,0.8052598,0.8714005,0.84842575,19.6,6.4,0.0,39.0,0.322113174200058,0.8960185289382935,0.8546915,1.0,0.7375,0.9212176,0.7936142,0.8680684,0.86605626,23.6,8.4,0.0,48.8
0,0.0001,0.4,0.1,506,0.311051619052887,0.8953846216201782,0.85223645,1.0,0.7384616,0.9200352,0.7931458,0.8882643,0.884624,19.2,6.8,0.0,39.0,0.3126022696495056,0.9033950567245483,0.86289406,1.0,0.75625,0.9261732,0.8076588,0.86035824,0.856902,24.2,7.8,0.0,48.8
