config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_outer_es_loss,average_outer_es_accuracy,average_outer_es_precision,average_outer_es_recall,average_outer_es_specificity,average_outer_es_f1_score,average_outer_es_mcc,average_outer_es_auroc,average_outer_es_auprc,average_outer_es_true_positives,average_outer_es_false_negatives,average_outer_es_false_positives,average_outer_es_true_negatives,average_test_loss,average_test_accuracy,average_test_precision,average_test_recall,average_test_specificity,average_test_f1_score,average_test_mcc,average_test_auroc,average_test_auprc,average_test_true_positives,average_test_false_negatives,average_test_false_positives,average_test_true_negatives
0,0.01,0.0,0.001,506,0.2782591342926025,0.9036111116409302,0.8651044,1.0,0.75625,0.9269699,0.8082975,0.88620853,0.8831833,24.2,7.8,0.0,48.8,0.3278802454471588,0.8823529481887817,0.8378378,1.0,0.7,0.91176474,0.765824,0.86185485,0.8646582,28.0,12.0,0.0,62.0
1,0.001,0.2,0.01,506,0.2970114886760712,0.8960493683815003,0.8546047,1.0,0.7375,0.92122585,0.7934718,0.8694595,0.869625,23.6,8.4,0.0,48.8,0.2791625618934631,0.9117646813392639,0.8732394,1.0,0.775,0.9323309,0.82265455,0.8728226,0.86222756,31.0,9.0,0.0,62.0
2,0.0001,0.0,0.1,506,0.30828612148761747,0.8935185313224793,0.8523793,1.0,0.73125,0.91966707,0.78907,0.8570777,0.8525009,23.4,8.6,0.0,48.8,0.25792949795722964,0.9215686321258545,0.88571435,1.0,0.8,0.9393939,0.84176683,0.8848791,0.87484694,32.0,8.0,0.0,62.0
3,0.001,0.4,0.001,506,0.2791337877511978,0.9059876561164856,0.8664626,1.0,0.7625,0.9281562,0.8125782,0.89820766,0.89219016,24.4,7.6,0.0,48.8,0.37700071930885315,0.8725489974021912,0.82666665,1.0,0.675,0.9051095,0.74699396,0.7814516,0.7803174,27.0,13.0,0.0,62.0
4,0.01,0.4,0.001,506,0.30311810970306396,0.8961419820785522,0.85432625,1.0,0.7375,0.9211763,0.7935352,0.8535222,0.85513383,23.6,8.4,0.0,48.8,0.2760173439979553,0.9117646813392639,0.8732394,1.0,0.775,0.9323309,0.82265455,0.88342744,0.88688105,31.0,9.0,0.0,62.0
5,0.001,0.0,0.001,506,0.2897821873426437,0.8985493898391723,0.8569559,1.0,0.74375,0.92276907,0.79816014,0.89038455,0.8908137,23.8,8.2,0.0,48.8,0.29275180101394654,0.9019607901573181,0.86111104,1.0,0.75,0.9253732,0.8036375,0.8691533,0.8709377,30.0,10.0,0.0,62.0
6,0.0001,0.0,0.001,506,0.2962689697742462,0.8985185146331787,0.8566917,1.0,0.74375,0.92267096,0.79808223,0.8662203,0.8577717,23.8,8.2,0.0,48.8,0.28938847184181216,0.9019607901573181,0.86111104,1.0,0.75,0.9253732,0.8036375,0.8712904,0.87818956,30.0,10.0,0.0,62.0
7,0.001,0.4,0.001,506,0.28488891422748563,0.9058641910552978,0.86584634,1.0,0.7625,0.92789936,0.8123884,0.88470584,0.89113885,24.4,7.6,0.0,48.8,0.35819411277770996,0.8725489974021912,0.82666665,1.0,0.675,0.9051095,0.74699396,0.81754035,0.8182484,27.0,13.0,0.0,62.0
8,0.0001,0.4,0.1,506,0.30091767609119413,0.8985185146331787,0.8568033,1.0,0.74375,0.9227048,0.79811466,0.8785502,0.8822605,23.8,8.2,0.0,48.8,0.3106209754943848,0.9019607901573181,0.86111104,1.0,0.75,0.9253732,0.8036375,0.8364919,0.81646645,30.0,10.0,0.0,62.0
9,0.01,0.4,0.01,506,0.3113614976406097,0.8911110997200012,0.8485702,1.0,0.725,0.9177367,0.78396094,0.8474091,0.8294507,23.2,8.8,0.0,48.8,0.23796584606170654,0.9313725233078003,0.8985508,1.0,0.825,0.94656485,0.86099035,0.90149194,0.8902086,33.0,7.0,0.0,62.0
