config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_inner_es_loss,average_inner_es_accuracy,average_inner_es_precision,average_inner_es_recall,average_inner_es_specificity,average_inner_es_f1_score,average_inner_es_mcc,average_inner_es_auroc,average_inner_es_auprc,average_inner_es_true_positives,average_inner_es_false_negatives,average_inner_es_false_positives,average_inner_es_true_negatives,average_val_loss,average_val_accuracy,average_val_precision,average_val_recall,average_val_specificity,average_val_f1_score,average_val_mcc,average_val_auroc,average_val_auprc,average_val_true_positives,average_val_false_negatives,average_val_false_positives,average_val_true_negatives
8,0.0001,0.4,0.001,506,0.55986647605896,0.7076923251152039,0.6893333,1.0,0.26923078,0.8109952,0.32784557,0.7171598,0.72278756,7.0,19.0,0.0,39.0,0.5196247935295105,0.7298765540122986,0.71653855,1.0,0.31875,0.8270794,0.36415568,0.752191,0.78313124,10.2,21.8,0.0,48.8
9,0.0001,0.4,0.001,506,0.36717169284820556,0.8461538553237915,0.81488097,1.0,0.6153846,0.8933315,0.6637652,0.8434912,0.83517665,16.0,10.0,0.0,39.0,0.39915995597839354,0.8335802435874939,0.80010605,1.0,0.58125,0.8848494,0.6374753,0.8356279,0.84626234,18.6,13.4,0.0,48.8
6,0.0001,0.4,0.001,506,0.3963146835565567,0.8276923179626465,0.79228973,1.0,0.56923074,0.88024914,0.6283942,0.76903355,0.7848214,14.8,11.2,0.0,39.0,0.3758243709802628,0.8434568047523499,0.81249124,1.0,0.60625,0.89191103,0.6566747,0.78627235,0.79704034,19.4,12.6,0.0,48.8
7,0.0001,0.4,0.001,506,0.48465360403060914,0.7630769371986389,0.7347063,1.0,0.40769228,0.84219754,0.4692379,0.7254437,0.74670374,10.6,15.4,0.0,39.0,0.45272237062454224,0.7849691390991211,0.7604863,1.0,0.45625,0.85779047,0.5054333,0.7116257,0.7384891,14.6,17.4,0.0,48.8
5,0.0001,0.4,0.001,506,0.5250357568264008,0.7169230937957763,0.69929075,1.0,0.2923077,0.8171097,0.34526888,0.7599606,0.79659903,7.6,18.4,0.0,39.0,0.5271509826183319,0.7232716083526611,0.7068424,1.0,0.3,0.8220245,0.34971398,0.71436673,0.7528631,9.6,22.4,0.0,48.8
4,0.0001,0.4,0.001,506,0.39058160185813906,0.8307692408561707,0.7977439,1.0,0.5769231,0.88293105,0.6348573,0.8195267,0.83209103,15.0,11.0,0.0,39.0,0.3827940344810486,0.8417901277542115,0.8091506,1.0,0.6,0.890429,0.6519194,0.80875844,0.8114052,19.2,12.8,0.0,48.8
2,0.0001,0.4,0.001,506,0.3652878820896149,0.8430769324302674,0.8095652,1.0,0.6076923,0.8906722,0.65745026,0.8542406,0.84285575,15.8,10.2,0.0,39.0,0.4078561007976532,0.8237037181854248,0.7899523,0.9959184,0.5625,0.8774039,0.61667687,0.8324391,0.8390026,18.0,14.0,0.2,48.6
3,0.0001,0.4,0.001,506,0.36499268710613253,0.8400000095367431,0.8066107,1.0,0.6,0.8887434,0.6517718,0.80779094,0.8161744,15.6,10.4,0.0,39.0,0.38268052935600283,0.8442592620849609,0.8120987,1.0,0.60625,0.8921544,0.6566421,0.7912282,0.7959875,19.4,12.6,0.0,48.8
1,0.0001,0.4,0.001,506,0.5081954002380371,0.7323077082633972,0.71904755,1.0,0.33076924,0.82830685,0.3749469,0.69921106,0.74872494,8.6,17.4,0.0,39.0,0.5486216485500336,0.707654333114624,0.6908259,0.9959184,0.26875,0.81079423,0.31927228,0.73710805,0.76202375,8.6,23.4,0.2,48.6
0,0.0001,0.4,0.001,506,0.5172290146350861,0.7230769395828247,0.70683795,1.0,0.3076923,0.8214812,0.35702997,0.6182445,0.69476426,8.0,18.0,0.0,39.0,0.5272372364997864,0.7200000047683716,0.70287067,1.0,0.29375,0.8196217,0.344649,0.6360996,0.68503726,9.4,22.6,0.0,48.8
9,0.0001,0.2,0.001,506,0.3682170629501343,0.8461538553237915,0.81488097,1.0,0.61538464,0.8933314,0.66376525,0.84250486,0.8330444,16.0,10.0,0.0,39.0,0.39668346047401426,0.8360493898391723,0.8026972,1.0,0.5875,0.8864547,0.642182,0.8376635,0.849141,18.8,13.2,0.0,48.8
8,0.0001,0.2,0.001,506,0.3316125273704529,0.8861538529396057,0.8424395,1.0,0.7153846,0.9139716,0.77575934,0.8552269,0.8389412,18.6,7.4,0.0,39.0,0.32768169045448303,0.8985185265541077,0.8610288,0.9959184,0.75,0.922819,0.797844,0.86915,0.8702523,24.0,8.0,0.2,48.6
7,0.0001,0.2,0.001,506,0.3167556464672089,0.892307698726654,0.84943503,1.0,0.7307693,0.91815567,0.78748995,0.8646943,0.8661957,19.0,7.0,0.0,39.0,0.3030258059501648,0.9084259271621704,0.8686226,1.0,0.76875,0.9296192,0.81710404,0.87425315,0.85791713,24.6,7.4,0.0,48.8
6,0.0001,0.2,0.001,506,0.3370530307292938,0.8830769300460816,0.8382472,1.0,0.7076923,0.91164446,0.7698541,0.8465484,0.84260786,18.4,7.6,0.0,39.0,0.31668762266635897,0.8984567999839783,0.8580085,1.0,0.74375,0.9230431,0.7984055,0.87620384,0.87491053,23.8,8.2,0.0,48.8
5,0.0001,0.2,0.001,506,0.37989817261695863,0.836923086643219,0.80218935,1.0,0.5923077,0.8863533,0.6457383,0.8341223,0.85453045,15.4,10.6,0.0,39.0,0.39509591162204744,0.8343827128410339,0.8038286,0.9959184,0.5875,0.8853116,0.6361593,0.7867121,0.802915,18.8,13.2,0.2,48.6
4,0.0001,0.2,0.001,506,0.3110666900873184,0.8953846216201782,0.8550166,1.0,0.73846155,0.9208829,0.79395276,0.87850094,0.8811124,19.2,6.8,0.0,39.0,0.32560413479804995,0.8961111187934876,0.8542646,1.0,0.7375,0.92114127,0.79350483,0.8610598,0.85078543,23.6,8.4,0.0,48.8
3,0.0001,0.2,0.001,506,0.289732950925827,0.9015384674072265,0.859944,1.0,0.7538461,0.92445767,0.80494374,0.8918146,0.8719921,19.6,6.4,0.0,39.0,0.30204970836639405,0.9059876561164856,0.8661111,1.0,0.7625,0.9280518,0.8124612,0.8768228,0.86562777,24.4,7.6,0.0,48.8
2,0.0001,0.2,0.001,506,0.3116599142551422,0.892307698726654,0.84874886,1.0,0.7307693,0.917945,0.78729373,0.868639,0.85848933,19.0,7.0,0.0,39.0,0.32130895256996156,0.8937037110328674,0.85456765,0.9959184,0.7375,0.9194039,0.7872915,0.8589698,0.85448015,23.6,8.4,0.2,48.6
1,0.0001,0.2,0.001,506,0.3924882262945175,0.8430769324302674,0.8115646,1.0,0.60769236,0.8912939,0.65796226,0.7708087,0.79140025,15.8,10.2,0.0,39.0,0.3980767995119095,0.8342901349067688,0.80316484,0.9959184,0.5875,0.88503903,0.6360853,0.7918806,0.808884,18.8,13.2,0.2,48.6
0,0.0001,0.2,0.001,506,0.31311785578727724,0.8953846216201782,0.85223645,1.0,0.7384615,0.92003524,0.7931458,0.86854047,0.86966276,19.2,6.8,0.0,39.0,0.3115990698337555,0.9008950591087341,0.86228913,0.9958334,0.75625,0.9240888,0.80112123,0.86327326,0.85770273,24.2,7.8,0.2,48.6
9,0.0001,0.0,0.001,506,0.28962399661540983,0.910769236087799,0.8716718,1.0,0.77692306,0.93113077,0.8227507,0.89003944,0.8751584,20.2,5.8,0.0,39.0,0.32708340883255005,0.893549382686615,0.85111827,1.0,0.73125,0.9193118,0.7886505,0.85705376,0.8579296,23.4,8.6,0.0,48.8
8,0.0001,0.0,0.001,506,0.33563271462917327,0.8861538529396057,0.8424395,1.0,0.7153846,0.9139716,0.77575934,0.8564103,0.8399846,18.6,7.4,0.0,39.0,0.32404522895812987,0.8985185265541077,0.8610288,0.9959184,0.75,0.922819,0.797844,0.8709542,0.8723105,24.0,8.0,0.2,48.6
7,0.0001,0.0,0.001,506,0.31881662011146544,0.8953846216201782,0.8532031,1.0,0.7384616,0.92034054,0.79336435,0.8664695,0.86626846,19.2,6.8,0.0,39.0,0.29983394742012026,0.9059567928314209,0.8680781,0.9959184,0.76875,0.9275738,0.8107853,0.8764243,0.8618134,24.6,7.4,0.2,48.6
6,0.0001,0.0,0.001,506,0.3413101494312286,0.8830769300460816,0.8382472,1.0,0.7076923,0.91164446,0.7698541,0.85147935,0.8499668,18.4,7.6,0.0,39.0,0.31538196206092833,0.8959876537322998,0.85735273,0.9959184,0.74375,0.9210081,0.79158485,0.87260836,0.87269515,23.8,8.2,0.2,48.6
5,0.0001,0.0,0.001,506,0.3814393639564514,0.836923086643219,0.80218935,1.0,0.5923077,0.8863533,0.6457383,0.83570015,0.8561646,15.4,10.6,0.0,39.0,0.4020005851984024,0.8343827128410339,0.8038286,0.9959184,0.5875,0.8853116,0.6361593,0.78875554,0.8064963,18.8,13.2,0.2,48.6
4,0.0001,0.0,0.001,506,0.3082818746566772,0.8953846216201782,0.8550166,1.0,0.7384615,0.9208829,0.79395276,0.8800789,0.8854507,19.2,6.8,0.0,39.0,0.32401722073554995,0.8961111187934876,0.8542646,1.0,0.7375,0.92114127,0.79350483,0.8599038,0.85191286,23.6,8.4,0.0,48.8
3,0.0001,0.0,0.001,506,0.2908258974552155,0.9015384674072265,0.859944,1.0,0.7538461,0.92445767,0.80494374,0.89122283,0.86458987,19.6,6.4,0.0,39.0,0.29919582009315493,0.9059876561164856,0.8661111,1.0,0.7625,0.9280518,0.8124612,0.87769717,0.8690356,24.4,7.6,0.0,48.8
2,0.0001,0.0,0.001,506,0.3195264458656311,0.8953846216201782,0.8526882,1.0,0.73846155,0.9201825,0.79321724,0.8668639,0.85716647,19.2,6.8,0.0,39.0,0.3249075561761856,0.8937037110328674,0.85456765,0.9959184,0.7375,0.9194039,0.7872915,0.8584622,0.8530574,23.6,8.4,0.2,48.6
1,0.0001,0.0,0.001,506,0.319314306974411,0.9046153903007508,0.8648979,1.0,0.7615385,0.92700815,0.81113416,0.8554241,0.8479996,19.8,6.2,0.0,39.0,0.3189766228199005,0.8960185289382935,0.85717726,0.9959184,0.74375,0.92093647,0.79190433,0.86853087,0.8657902,23.8,8.2,0.2,48.6
