config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_inner_es_loss,average_inner_es_accuracy,average_inner_es_precision,average_inner_es_recall,average_inner_es_specificity,average_inner_es_f1_score,average_inner_es_mcc,average_inner_es_auroc,average_inner_es_auprc,average_inner_es_true_positives,average_inner_es_false_negatives,average_inner_es_false_positives,average_inner_es_true_negatives,average_val_loss,average_val_accuracy,average_val_precision,average_val_recall,average_val_specificity,average_val_f1_score,average_val_mcc,average_val_auroc,average_val_auprc,average_val_true_positives,average_val_false_negatives,average_val_false_positives,average_val_true_negatives
0,0.01,0.4,0.001,506,0.300496432185173,0.8953846216201782,0.85223645,1.0,0.7384616,0.9200352,0.7931458,0.86222875,0.856917,19.2,6.8,0.0,39.0,0.29009121656417847,0.9033950567245483,0.86289406,1.0,0.75625,0.9261732,0.8076588,0.8734215,0.86989087,24.2,7.8,0.0,48.8
1,0.01,0.0,0.0,506,0.29317572712898254,0.9046153903007508,0.864898,1.0,0.7615385,0.92700815,0.81113416,0.87534523,0.8661388,19.8,6.2,0.0,39.0,0.31805062890052793,0.8910493969917297,0.85354316,0.9917517,0.7375,0.91708755,0.78075945,0.8751794,0.870002,23.6,8.4,0.4,48.4
2,0.01,0.2,0.0,506,0.3004982590675354,0.8892307758331299,0.8451411,1.0,0.72307694,0.91581094,0.7814561,0.89191324,0.895282,18.8,7.2,0.0,39.0,0.30109845399856566,0.8936728477478028,0.8516687,1.0,0.73125,0.9195452,0.7888578,0.88755447,0.8882659,23.4,8.6,0.0,48.8
3,0.01,0.4,0.0001,506,0.27462068796157835,0.9015384674072265,0.859944,1.0,0.75384617,0.92445767,0.8049437,0.9071992,0.905454,19.6,6.4,0.0,39.0,0.28708421289920805,0.9059876561164856,0.8661111,1.0,0.7625,0.9280518,0.8124612,0.89135045,0.8855999,24.4,7.6,0.0,48.8
4,0.01,0.4,0.001,506,0.29161328375339507,0.8953846216201782,0.8550166,1.0,0.73846155,0.9208829,0.79395276,0.88816565,0.8960754,19.2,6.8,0.0,39.0,0.3051698446273804,0.8961111187934876,0.8542646,1.0,0.7375,0.92114127,0.79350483,0.87173146,0.87099373,23.6,8.4,0.0,48.8
5,0.01,0.2,0.0001,506,0.3191191732883453,0.8830769300460816,0.8381893,1.0,0.7076923,0.91163427,0.76977503,0.86074954,0.8739675,18.4,7.6,0.0,39.0,0.29629241228103637,0.8985802412033081,0.8584255,1.0,0.74375,0.92325133,0.7984567,0.8830929,0.8826556,23.8,8.2,0.0,48.8
6,0.001,0.4,0.0,506,0.3212682694196701,0.8830769300460816,0.8382472,1.0,0.7076923,0.9116446,0.7698541,0.8585798,0.85487336,18.4,7.6,0.0,39.0,0.29796620905399324,0.8984567999839783,0.8580085,1.0,0.74375,0.9230431,0.7984055,0.8862484,0.893288,23.8,8.2,0.0,48.8
7,0.01,0.4,0.001,506,0.29965156614780425,0.892307698726654,0.84943503,1.0,0.7307693,0.91815567,0.78748995,0.8763313,0.877223,19.0,7.0,0.0,39.0,0.2834934204816818,0.9059567928314209,0.8655524,1.0,0.7625,0.9278582,0.8123356,0.88526523,0.8752054,24.4,7.6,0.0,48.8
8,0.01,0.2,0.0,506,0.3226451098918915,0.8861538529396057,0.84243935,1.0,0.7153846,0.9139716,0.77575934,0.8512821,0.8505737,18.6,7.4,0.0,39.0,0.29711025953292847,0.8985185265541077,0.8585774,1.0,0.74375,0.9232437,0.7986049,0.89244664,0.8952476,23.8,8.2,0.0,48.8
9,0.01,0.2,0.0,506,0.27073038518428805,0.9076923131942749,0.8682143,1.0,0.7692307,0.9290458,0.8169371,0.89516765,0.8930637,20.0,6.0,0.0,39.0,0.3097632169723511,0.8910802364349365,0.8485271,1.0,0.725,0.9177066,0.7839439,0.87261236,0.8651875,23.2,8.8,0.0,48.8
