config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_inner_es_loss,average_inner_es_accuracy,average_inner_es_precision,average_inner_es_recall,average_inner_es_specificity,average_inner_es_f1_score,average_inner_es_mcc,average_inner_es_auroc,average_inner_es_auprc,average_inner_es_true_positives,average_inner_es_false_negatives,average_inner_es_false_positives,average_inner_es_true_negatives,average_val_loss,average_val_accuracy,average_val_precision,average_val_recall,average_val_specificity,average_val_f1_score,average_val_mcc,average_val_auroc,average_val_auprc,average_val_true_positives,average_val_false_negatives,average_val_false_positives,average_val_true_negatives
0,0.01,0.0,0.01,506,0.29182790517807006,0.892307698726654,0.8515601,0.9948718,0.7384615,0.9174582,0.7854119,0.89299804,0.9082022,19.2,6.8,0.2,38.8,0.2995884358882904,0.9033950567245483,0.86289406,1.0,0.75625,0.9261732,0.8076587,0.8717076,0.87011003,24.2,7.8,0.0,48.8
1,0.001,0.0,0.1,506,0.28003865480422974,0.9015384674072265,0.8611299,1.0,0.75384617,0.9248233,0.8052598,0.89211047,0.8932336,19.6,6.4,0.0,39.0,0.3185559332370758,0.8960185289382935,0.8546916,1.0,0.7375,0.9212176,0.79361427,0.86743325,0.87787056,23.6,8.4,0.0,48.8
2,0.001,0.0,0.01,506,0.32112632393836976,0.8861538529396057,0.84453505,0.9948718,0.72307694,0.91322917,0.77394927,0.8678501,0.8706373,18.8,7.2,0.2,38.8,0.31728795170783997,0.8912037134170532,0.85108435,0.9959184,0.73125,0.917503,0.78237957,0.8780545,0.8831128,23.4,8.6,0.2,48.6
3,0.01,0.2,0.01,506,0.2655561357736588,0.9015384674072265,0.86562586,0.9897436,0.7692307,0.9234606,0.801532,0.9180473,0.9163103,20.0,6.0,0.4,38.6,0.2960606336593628,0.9034876585006714,0.8656918,0.9958334,0.7625,0.9259551,0.8065332,0.8985065,0.88585263,24.4,7.6,0.2,48.6
4,0.0001,0.4,0.1,506,0.29804463088512423,0.8953846216201782,0.8550166,1.0,0.7384616,0.9208828,0.7939527,0.85364896,0.84122574,19.2,6.8,0.0,39.0,0.31276935338974,0.8961111187934876,0.85426474,1.0,0.7375,0.92114127,0.79350483,0.8642618,0.8529522,23.6,8.4,0.0,48.8
5,0.001,0.4,0.1,506,0.3329685628414154,0.8830769300460816,0.8381893,1.0,0.70769227,0.91163427,0.769775,0.8428008,0.8452485,18.4,7.6,0.0,39.0,0.31280130743980405,0.8935802340507507,0.85757077,0.9916667,0.74375,0.919016,0.7868348,0.8649513,0.855055,23.8,8.2,0.4,48.4
6,0.01,0.4,0.1,506,0.31878158152103425,0.8830769300460816,0.8382472,1.0,0.70769227,0.9116446,0.7698541,0.8581854,0.8526372,18.4,7.6,0.0,39.0,0.30427846908569334,0.8984567999839783,0.8580085,1.0,0.74375,0.9230431,0.7984056,0.8805299,0.88592947,23.8,8.2,0.0,48.8
7,0.01,0.4,0.01,506,0.3040148109197617,0.892307698726654,0.84943503,1.0,0.7307693,0.91815567,0.78748995,0.8761341,0.87571514,19.0,7.0,0.0,39.0,0.2885591447353363,0.9059567928314209,0.8655524,1.0,0.7625,0.92785823,0.8123356,0.8864956,0.89115745,24.4,7.6,0.0,48.8
8,0.001,0.2,0.01,506,0.3273258477449417,0.8800000071525573,0.8410355,0.9897436,0.7153846,0.90882367,0.76003015,0.85147935,0.85588026,18.6,7.4,0.4,38.6,0.30651929080486295,0.8960493922233581,0.8580761,0.9959184,0.74375,0.9211952,0.7924394,0.89012945,0.89819515,23.8,8.2,0.2,48.6
9,0.001,0.2,0.001,506,0.27591886222362516,0.9076923131942749,0.8682143,1.0,0.7692308,0.9290458,0.81693715,0.8872781,0.8777369,20.0,6.0,0.0,39.0,0.3221493482589722,0.8910802364349365,0.8485271,1.0,0.725,0.9177066,0.78394395,0.8532751,0.8559605,23.2,8.8,0.0,48.8
