config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_outer_es_loss,average_outer_es_accuracy,average_outer_es_precision,average_outer_es_recall,average_outer_es_specificity,average_outer_es_f1_score,average_outer_es_mcc,average_outer_es_auroc,average_outer_es_auprc,average_outer_es_true_positives,average_outer_es_false_negatives,average_outer_es_false_positives,average_outer_es_true_negatives,average_test_loss,average_test_accuracy,average_test_precision,average_test_recall,average_test_specificity,average_test_f1_score,average_test_mcc,average_test_auroc,average_test_auprc,average_test_true_positives,average_test_false_negatives,average_test_false_positives,average_test_true_negatives
0,0.01,0.0,0.01,506,0.282435804605484,0.9036111116409302,0.8651044,1.0,0.75625,0.9269699,0.8082975,0.87956256,0.8803384,24.2,7.8,0.0,48.8,0.341413676738739,0.8823529481887817,0.8378378,1.0,0.7,0.91176474,0.765824,0.8495161,0.8474436,28.0,12.0,0.0,62.0
1,0.001,0.0,0.1,506,0.29698970913887024,0.8960493683815003,0.8546047,1.0,0.7375,0.92122585,0.7934718,0.8822837,0.8825164,23.6,8.4,0.0,48.8,0.27917940616607667,0.9117646813392639,0.8732394,1.0,0.775,0.9323309,0.82265455,0.8688709,0.84670764,31.0,9.0,0.0,62.0
2,0.001,0.0,0.01,506,0.30609959959983823,0.8885802626609802,0.85125047,0.9918367,0.73125,0.91557944,0.776273,0.8652915,0.8651474,23.4,8.6,0.4,48.4,0.27059494256973265,0.9215686321258545,0.88571435,1.0,0.8,0.9393939,0.84176683,0.890121,0.88268405,32.0,8.0,0.0,62.0
3,0.01,0.2,0.01,506,0.26982532143592836,0.9059876561164856,0.8664626,1.0,0.7625,0.9281562,0.8125782,0.90640545,0.91234475,24.4,7.6,0.0,48.8,0.3855963945388794,0.8725489974021912,0.82666665,1.0,0.675,0.9051095,0.74699396,0.7901613,0.7841317,27.0,13.0,0.0,62.0
4,0.0001,0.4,0.1,506,0.30056983828544614,0.8961419820785522,0.85432625,1.0,0.7375,0.9211763,0.7935352,0.85996354,0.8555328,23.6,8.4,0.0,48.8,0.27757940292358396,0.9117646813392639,0.8732394,1.0,0.775,0.9323309,0.82265455,0.8813306,0.8727237,31.0,9.0,0.0,62.0
5,0.001,0.4,0.1,506,0.29438858330249784,0.8985493898391723,0.8569559,1.0,0.74375,0.92276907,0.79816014,0.8755142,0.88164175,23.8,8.2,0.0,48.8,0.29489057064056395,0.9019607901573181,0.86111104,1.0,0.75,0.9253732,0.8036375,0.87407255,0.87010926,30.0,10.0,0.0,62.0
6,0.01,0.4,0.1,506,0.2961533904075623,0.8985185146331787,0.8566917,1.0,0.74375,0.92267096,0.79808223,0.8511852,0.8536701,23.8,8.2,0.0,48.8,0.2887259781360626,0.9019607901573181,0.86111104,1.0,0.75,0.9253732,0.8036375,0.8708871,0.8678815,30.0,10.0,0.0,62.0
7,0.01,0.4,0.01,506,0.2813911706209183,0.9033641934394836,0.8652414,0.9958333,0.7625,0.9258149,0.80585086,0.88633215,0.88306695,24.4,7.6,0.2,48.6,0.3790681540966034,0.8627450823783874,0.8242451,0.983871,0.675,0.8969135,0.7219664,0.8104435,0.80661994,27.0,13.0,1.0,61.0
8,0.001,0.2,0.01,506,0.2912422180175781,0.8985185146331787,0.8568033,1.0,0.74375,0.9227048,0.79811466,0.89159757,0.8983037,23.8,8.2,0.0,48.8,0.317570424079895,0.9,0.86071986,0.9967742,0.75,0.9237572,0.7987093,0.82745963,0.79663336,30.0,10.0,0.2,61.8
9,0.001,0.2,0.001,506,0.31522595286369326,0.8911110997200012,0.8485702,1.0,0.725,0.9177367,0.78396094,0.85576105,0.85640526,23.2,8.8,0.0,48.8,0.23665693700313567,0.9313725233078003,0.8985508,1.0,0.825,0.94656485,0.86099035,0.9096371,0.90977776,33.0,7.0,0.0,62.0
