config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate_normal,config/train_loop_config/dropout_rate_attention,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_inner_es_loss,average_inner_es_accuracy,average_inner_es_precision,average_inner_es_recall,average_inner_es_specificity,average_inner_es_f1_score,average_inner_es_mcc,average_inner_es_auroc,average_inner_es_auprc,average_inner_es_true_positives,average_inner_es_false_negatives,average_inner_es_false_positives,average_inner_es_true_negatives,average_val_loss,average_val_accuracy,average_val_precision,average_val_recall,average_val_specificity,average_val_f1_score,average_val_mcc,average_val_auroc,average_val_auprc,average_val_true_positives,average_val_false_negatives,average_val_false_positives,average_val_true_negatives
4,0.01,0.4,0.4,0.001,506,0.3944443702697754,0.8184615492820739,0.8109976,0.9230769,0.6615385,0.8601683,0.619522,0.8331361,0.8423389,17.2,8.8,3.0,36.0,0.42694388031959535,0.8265740752220154,0.8124717,0.92627555,0.675,0.8627986,0.6479992,0.8382786,0.84456456,21.6,10.4,3.6,45.2
3,0.01,0.4,0.4,0.001,506,0.40410455465316775,0.8492307782173156,0.85869616,0.89743596,0.77692306,0.87194574,0.70076567,0.89299804,0.9061702,20.2,5.8,4.0,35.0,0.4221398413181305,0.8244135856628418,0.8402443,0.8813776,0.7375,0.84943724,0.654729,0.8580729,0.86071444,23.6,8.4,5.8,43.0
2,0.01,0.4,0.4,0.001,506,0.40547109842300416,0.8215384721755982,0.81536865,0.90256417,0.7,0.8504175,0.647117,0.8467456,0.85083133,18.2,7.8,3.8,35.2,0.4372639060020447,0.8191975355148315,0.8183333,0.9252551,0.65625,0.8593748,0.6356839,0.8327686,0.84865063,21.0,11.0,3.6,45.2
1,0.01,0.4,0.4,0.001,506,0.4256527602672577,0.8184615492820739,0.8065076,0.95384616,0.61538464,0.86768043,0.6038834,0.7895463,0.80163383,16.0,10.0,1.8,37.2,0.4426643460988998,0.8041975378990174,0.8011564,0.9333334,0.60625,0.8531028,0.5780812,0.8175503,0.8399569,19.4,12.6,3.2,45.6
0,0.01,0.4,0.4,0.001,506,0.37315256595611573,0.8492307782173156,0.8456343,0.9128205,0.75384617,0.8698392,0.7096437,0.86854047,0.86838996,19.6,6.4,3.4,35.6,0.3840606093406677,0.8243827104568482,0.83557713,0.8653061,0.7625,0.83196,0.67118096,0.87142324,0.882201,24.4,7.6,6.6,42.2
9,0.01,0.4,0.2,0.001,506,0.3354126900434494,0.8861538529396057,0.8598809,0.9692308,0.7615385,0.91042006,0.7698273,0.87840235,0.87257737,19.8,6.2,1.2,37.8,0.3753490686416626,0.8635802388191223,0.8437424,0.95,0.73125,0.89137125,0.7268199,0.85971385,0.85438573,23.4,8.6,2.4,46.4
8,0.01,0.4,0.2,0.001,506,0.3465935528278351,0.8861538529396057,0.8424395,1.0,0.7153846,0.9139716,0.77575934,0.8512821,0.8558172,18.6,7.4,0.0,39.0,0.32517056465148925,0.8985185265541077,0.8585774,1.0,0.74375,0.9232437,0.7986049,0.8767392,0.8791642,23.8,8.2,0.0,48.8
7,0.01,0.4,0.2,0.001,506,0.3314907908439636,0.892307698726654,0.84943503,1.0,0.7307693,0.91815567,0.78748995,0.8491125,0.8410641,19.0,7.0,0.0,39.0,0.305769944190979,0.9034876585006714,0.8625881,1.0,0.75625,0.9261301,0.80759317,0.87945366,0.8747719,24.2,7.8,0.0,48.8
6,0.01,0.4,0.2,0.001,506,0.35283452868461607,0.8830769300460816,0.8382472,1.0,0.7076923,0.91164446,0.7698541,0.84832346,0.85071546,18.4,7.6,0.0,39.0,0.317987784743309,0.8984567999839783,0.8580085,1.0,0.74375,0.9230431,0.7984055,0.87570953,0.89006823,23.8,8.2,0.0,48.8
5,0.01,0.4,0.2,0.001,506,0.42414216995239257,0.8307692408561707,0.7977449,0.9948718,0.58461535,0.88159144,0.63213,0.75857985,0.7862402,15.2,10.8,0.2,38.8,0.42258081436157224,0.8245061635971069,0.7990257,0.98367345,0.58125,0.8773009,0.61313546,0.7584728,0.78702617,18.6,13.4,0.8,48.0
4,0.01,0.4,0.2,0.001,506,0.36630813479423524,0.8769230842590332,0.8470621,0.9743589,0.7307692,0.90542793,0.7502498,0.84812623,0.8581214,19.0,7.0,1.0,38.0,0.3897512912750244,0.868641984462738,0.8399025,0.9667517,0.71875,0.8982107,0.7330094,0.8557292,0.8573228,23.0,9.0,1.6,47.2
3,0.01,0.4,0.2,0.001,506,0.31854953765869143,0.8892307758331299,0.864336,0.9692308,0.7692307,0.91264236,0.7763103,0.89635104,0.8978546,20.0,6.0,1.2,37.8,0.31949779987335203,0.8960802435874939,0.863762,0.9835884,0.7625,0.9197235,0.7875254,0.878404,0.873975,24.4,7.6,0.8,48.0
2,0.01,0.4,0.2,0.001,506,0.37680360674858093,0.8738461613655091,0.8499812,0.95897436,0.7461539,0.9008117,0.74122965,0.86587775,0.87324846,19.4,6.6,1.6,37.4,0.39835079908370974,0.861388897895813,0.8446969,0.9464286,0.73125,0.89114344,0.7170283,0.86482906,0.86725867,23.4,8.6,2.6,46.2
1,0.01,0.4,0.2,0.001,506,0.3694483399391174,0.8492307782173156,0.8484785,0.9076923,0.76153845,0.8753725,0.6923629,0.85364896,0.85049886,19.8,6.2,3.6,35.4,0.3887318015098572,0.8438271760940552,0.8436982,0.9090986,0.74375,0.8724346,0.6827191,0.867157,0.8708237,23.8,8.2,4.4,44.4
0,0.01,0.4,0.2,0.001,506,0.343146413564682,0.8646153926849365,0.8473771,0.9435898,0.7461539,0.88993055,0.73129,0.87741625,0.8839625,19.4,6.6,2.2,36.8,0.3558496177196503,0.8564814805984498,0.8603118,0.9102041,0.775,0.875797,0.7239476,0.87450564,0.88047516,24.8,7.2,4.4,44.4
