config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate_normal,config/train_loop_config/dropout_rate_attention,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_inner_es_loss,average_inner_es_accuracy,average_inner_es_precision,average_inner_es_recall,average_inner_es_specificity,average_inner_es_f1_score,average_inner_es_mcc,average_inner_es_auroc,average_inner_es_auprc,average_inner_es_true_positives,average_inner_es_false_negatives,average_inner_es_false_positives,average_inner_es_true_negatives,average_val_loss,average_val_accuracy,average_val_precision,average_val_recall,average_val_specificity,average_val_f1_score,average_val_mcc,average_val_auroc,average_val_auprc,average_val_true_positives,average_val_false_negatives,average_val_false_positives,average_val_true_negatives
0,0.1,0.4,0.2,0.001,506,0.32819328308105467,0.892307698726654,0.8515601,0.9948718,0.7384615,0.91745824,0.78541195,0.8770217,0.87883914,19.2,6.8,0.2,38.8,0.3194267570972443,0.8959876537322998,0.85909635,0.9918367,0.75,0.920379,0.7907222,0.88828915,0.89980793,24.0,8.0,0.4,48.4
1,0.01,0.0,0.4,0.0001,506,0.3283399999141693,0.8984615445137024,0.857522,1.0,0.7461539,0.92268926,0.7994222,0.852071,0.8325466,19.4,6.6,0.0,39.0,0.32361879348754885,0.8935493946075439,0.85192317,1.0,0.73125,0.9195527,0.788904,0.88153565,0.8841503,23.4,8.6,0.0,48.8
2,0.1,0.0,0.0,0.001,506,0.326185005903244,0.8830769300460816,0.8410595,0.9948718,0.7153846,0.9112655,0.76687586,0.8771203,0.8850786,18.6,7.4,0.2,38.8,0.31762072145938874,0.888703715801239,0.8507215,0.9917517,0.73125,0.91540396,0.77659255,0.88839686,0.8911039,23.4,8.6,0.4,48.4
3,0.1,0.2,0.0,0.001,506,0.30558860301971436,0.9015384674072265,0.859944,1.0,0.75384617,0.92445767,0.8049437,0.89023674,0.89878833,19.6,6.4,0.0,39.0,0.32218511700630187,0.9035185217857361,0.8634335,1.0,0.75625,0.9264172,0.80775654,0.8822597,0.88977844,24.2,7.8,0.0,48.8
4,0.001,0.4,0.0,0.0001,506,0.3138093322515488,0.8953846216201782,0.8550166,1.0,0.73846155,0.9208828,0.7939527,0.85660756,0.8449252,19.2,6.8,0.0,39.0,0.323605078458786,0.8961111187934876,0.8542646,1.0,0.7375,0.9211413,0.79350483,0.87556064,0.8663455,23.6,8.4,0.0,48.8
5,0.1,0.0,0.2,0.0,506,0.37335705757141113,0.8707692384719848,0.8251731,1.0,0.6769231,0.90357226,0.74652547,0.8343195,0.84101456,17.6,8.4,0.0,39.0,0.3441120684146881,0.8785802364349365,0.8354864,1.0,0.69375,0.90956134,0.7604718,0.8763114,0.8856824,22.2,9.8,0.0,48.8
6,0.001,0.0,0.2,0.001,506,0.3620741605758667,0.8830769300460816,0.8382472,1.0,0.70769227,0.9116446,0.7698541,0.8416174,0.8263655,18.4,7.6,0.0,39.0,0.32950086891651154,0.8959568023681641,0.85520303,1.0,0.7375,0.9213503,0.7936827,0.8879757,0.900743,23.6,8.4,0.0,48.8
7,0.001,0.0,0.2,0.001,506,0.34596518278121946,0.892307698726654,0.84943503,1.0,0.7307693,0.91815567,0.78748995,0.84398425,0.83080214,19.0,7.0,0.0,39.0,0.3065610766410828,0.9034876585006714,0.8625881,1.0,0.75625,0.9261301,0.80759317,0.8905665,0.8883651,24.2,7.8,0.0,48.8
8,0.1,0.0,0.4,0.0001,506,0.3642792284488678,0.8830769300460816,0.84416217,0.9897436,0.72307694,0.9108752,0.76502866,0.84398425,0.84466285,18.8,7.2,0.4,38.6,0.3427963316440582,0.8935802578926086,0.85776675,0.9918367,0.74375,0.9191421,0.786661,0.8867626,0.8996714,23.8,8.2,0.4,48.4
9,0.1,0.2,0.2,0.0001,506,0.28550414443016053,0.9076923131942749,0.8682143,1.0,0.7692307,0.9290458,0.8169371,0.8906312,0.89144737,20.0,6.0,0.0,39.0,0.33087973594665526,0.8910802364349365,0.8485271,1.0,0.725,0.9177066,0.7839439,0.87124383,0.8745987,23.2,8.8,0.0,48.8
