config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate_normal,config/train_loop_config/dropout_rate_attention,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_inner_es_loss,average_inner_es_accuracy,average_inner_es_precision,average_inner_es_recall,average_inner_es_specificity,average_inner_es_f1_score,average_inner_es_mcc,average_inner_es_auroc,average_inner_es_auprc,average_inner_es_true_positives,average_inner_es_false_negatives,average_inner_es_false_positives,average_inner_es_true_negatives,average_val_loss,average_val_accuracy,average_val_precision,average_val_recall,average_val_specificity,average_val_f1_score,average_val_mcc,average_val_auroc,average_val_auprc,average_val_true_positives,average_val_false_negatives,average_val_false_positives,average_val_true_negatives
0,0.01,0.4,0.2,0.001,506,0.33183335065841674,0.8646153926849365,0.8510219,0.9384615,0.7538461,0.89255744,0.7172266,0.8928008,0.9088977,19.6,6.4,2.4,36.6,0.36581324934959414,0.8538889050483703,0.8561338,0.91394556,0.7625,0.8832795,0.6935566,0.8857409,0.8960496,24.4,7.6,4.2,44.6
1,0.01,0.0,0.0,0.001,506,0.32192560136318205,0.8953846216201782,0.87023365,0.9743589,0.77692306,0.91846716,0.78679466,0.8992111,0.9083625,20.2,5.8,1.0,38.0,0.366102060675621,0.866327166557312,0.84825313,0.95085037,0.7375,0.8959719,0.7227224,0.8846978,0.89531624,23.6,8.4,2.4,46.4
2,0.01,0.2,0.4,0.001,506,0.3635907590389252,0.8615384697914124,0.8503774,0.9333333,0.75384617,0.88971156,0.711285,0.8792899,0.88935614,19.6,6.4,2.6,36.4,0.36488569974899293,0.8639197468757629,0.85114145,0.94243205,0.74375,0.89349234,0.7167533,0.8935148,0.8995284,23.8,8.2,2.8,46.0
3,0.01,0.4,0.0,0.001,506,0.3667373865842819,0.8646153926849365,0.8641573,0.9179487,0.7846154,0.88989866,0.717996,0.89319533,0.8782196,20.4,5.6,3.2,35.8,0.3498978495597839,0.8588271617889405,0.8601327,0.91760206,0.76875,0.8861289,0.70868224,0.91228473,0.91526335,24.6,7.4,4.0,44.8
4,0.01,0.2,0.4,0.001,506,0.3914994239807129,0.8615384697914124,0.84893435,0.9384616,0.74615383,0.8904802,0.7139314,0.86923087,0.8687423,19.4,6.6,2.4,36.6,0.4306085467338562,0.8688888788223267,0.8532877,0.9466837,0.75,0.8972945,0.7257519,0.87065,0.8658805,24.0,8.0,2.6,46.2
5,0.01,0.4,0.2,0.001,506,0.38914223313331603,0.8584615468978882,0.83204544,0.9589745,0.70769227,0.890769,0.70757616,0.8467456,0.8555457,18.4,7.6,1.6,37.4,0.38135080337524413,0.8687962889671326,0.85435426,0.94651365,0.75,0.8972136,0.7275847,0.8687167,0.86329585,24.0,8.0,2.6,46.2
6,0.01,0.4,0.4,0.1,506,0.31761924028396604,0.8830769300460816,0.8382472,1.0,0.70769227,0.9116446,0.7698541,0.8706115,0.872834,18.4,7.6,0.0,39.0,0.30708797872066496,0.8984567999839783,0.8580085,1.0,0.74375,0.9230431,0.7984056,0.8870243,0.89208716,23.8,8.2,0.0,48.8
7,0.01,0.0,0.2,0.001,506,0.36227004528045653,0.8769230842590332,0.85435855,0.95897436,0.75384617,0.9034835,0.7452828,0.8641025,0.8604374,19.6,6.4,1.6,37.4,0.37127649784088135,0.8488580226898194,0.85600376,0.90119046,0.76875,0.87705535,0.6852201,0.8901228,0.8891408,24.6,7.4,4.8,44.0
8,0.01,0.0,0.4,0.1,506,0.3113643556833267,0.8830769300460816,0.84438384,0.9897436,0.72307694,0.9108518,0.7660683,0.8712031,0.8872579,18.8,7.2,0.4,38.6,0.30030922293663026,0.8985185265541077,0.8585774,1.0,0.74375,0.9232438,0.7986049,0.90260017,0.9009598,23.8,8.2,0.0,48.8
9,0.01,0.2,0.2,0.001,506,0.30969500839710234,0.8953846216201782,0.8746904,0.96410257,0.79230773,0.9171233,0.7833711,0.90187377,0.90093166,20.6,5.4,1.4,37.6,0.3967056930065155,0.8712654352188111,0.8459714,0.9630953,0.73125,0.9005575,0.73310417,0.86829424,0.8771893,23.4,8.6,1.8,47.0
