config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_inner_es_loss,average_inner_es_accuracy,average_inner_es_precision,average_inner_es_recall,average_inner_es_specificity,average_inner_es_f1_score,average_inner_es_mcc,average_inner_es_auroc,average_inner_es_auprc,average_inner_es_true_positives,average_inner_es_false_negatives,average_inner_es_false_positives,average_inner_es_true_negatives,average_val_loss,average_val_accuracy,average_val_precision,average_val_recall,average_val_specificity,average_val_f1_score,average_val_mcc,average_val_auroc,average_val_auprc,average_val_true_positives,average_val_false_negatives,average_val_false_positives,average_val_true_negatives
3,0.0001,0.2,0.001,506,0.6232441782951355,0.6676923274993897,0.65128565,0.9948718,0.17692308,0.78499705,0.24783722,0.63994086,0.68391466,4.6,21.4,0.2,38.8,0.6163185238838196,0.6706172823905945,0.65484214,0.9959184,0.175,0.7878448,0.24617414,0.65342265,0.71673167,5.6,26.4,0.2,48.6
0,0.0001,0.4,0.0001,506,0.44494574069976806,0.8830769300460816,0.84076566,0.9948718,0.7153846,0.911116,0.7674348,0.8490138,0.85026395,18.6,7.4,0.2,38.8,0.4479657709598541,0.8810802340507508,0.8397539,0.9959184,0.70625,0.9106681,0.76303566,0.8454932,0.84843206,22.6,9.4,0.2,48.6
9,0.0001,0.0,0.001,506,0.46551769971847534,0.7846153974533081,0.7615477,1.0,0.46153846,0.8576172,0.5105933,0.7703156,0.78022563,12.0,14.0,0.0,39.0,0.48913890719413755,0.7743209838867188,0.7491638,1.0,0.43125,0.85071295,0.48642462,0.740443,0.762133,13.8,18.2,0.0,48.8
8,0.0001,0.2,0.0001,506,0.47349551916122434,0.8153846263885498,0.77763045,1.0,0.53846157,0.8716501,0.60491514,0.79151875,0.7935074,14.0,12.0,0.0,39.0,0.4419160485267639,0.8392283916473389,0.80595744,1.0,0.59375,0.8885767,0.647112,0.8396298,0.8466487,19.0,13.0,0.0,48.8
2,0.0001,0.2,0.001,506,0.6571632862091065,0.6184615612030029,0.61333334,0.9948718,0.053846158,0.7583333,0.11315788,0.51499015,0.60112935,1.4,24.6,0.2,38.8,0.6627837538719177,0.6311111092567444,0.622963,1.0,0.06875,0.7670136,0.13585679,0.52440345,0.6141819,2.2,29.8,0.0,48.8
0,0.0001,0.4,0.001,506,0.6369829773902893,0.655384635925293,0.64437497,1.0,0.13846155,0.78076667,0.20677459,0.65670615,0.6984045,3.6,22.4,0.0,39.0,0.6500799179077148,0.6335802555084229,0.6262466,0.9959184,0.08125,0.76782495,0.13752222,0.65024984,0.6880074,2.6,29.4,0.2,48.6
2,0.001,0.2,0.001,506,0.5183967292308808,0.7630769371986389,0.7347063,1.0,0.40769228,0.84219754,0.4692379,0.6783037,0.71994066,10.6,15.4,0.0,39.0,0.4946043789386749,0.7800925970077515,0.75540626,1.0,0.44375,0.85463154,0.49617624,0.75224143,0.7875476,14.2,17.8,0.0,48.8
5,0.0001,0.2,0.0001,506,0.5017898619174957,0.7753846287727356,0.74885595,1.0,0.43846154,0.85063905,0.4925664,0.7175543,0.762372,11.4,14.6,0.0,39.0,0.5354815125465393,0.7570370316505433,0.73130286,1.0,0.3875,0.8395669,0.45346135,0.7124747,0.7520112,12.4,19.6,0.0,48.8
6,0.001,0.4,0.001,506,0.5334586799144745,0.7753846287727356,0.7497897,1.0,0.43846154,0.8509388,0.49274778,0.7518738,0.7428226,11.4,14.6,0.0,39.0,0.5308714926242828,0.7669135808944703,0.73994744,1.0,0.4125,0.84542906,0.4721129,0.75452536,0.77279794,13.2,18.8,0.0,48.8
6,0.001,0.2,0.001,506,0.4070827603340149,0.8830769300460816,0.8382472,1.0,0.70769227,0.9116446,0.7698541,0.84003943,0.8216254,18.4,7.6,0.0,39.0,0.3917539596557617,0.8984567999839783,0.8580085,1.0,0.74375,0.9230431,0.7984055,0.8613281,0.8489995,23.8,8.2,0.0,48.8
8,0.0001,0.4,0.0001,506,0.5187814474105835,0.8092307806015014,0.77328265,0.9948718,0.5307692,0.8669442,0.59110594,0.7781065,0.78309405,13.8,12.2,0.2,38.8,0.4876558780670166,0.8293518543243408,0.7948793,1.0,0.56875,0.8819159,0.628264,0.8329147,0.8381394,18.2,13.8,0.0,48.8
9,0.001,0.4,0.001,506,0.5409976840019226,0.7753846287727356,0.749338,1.0,0.43846154,0.8507916,0.49267635,0.7699212,0.78452855,11.4,14.6,0.0,39.0,0.5613109469413757,0.7545679092407227,0.72920394,0.9959184,0.3875,0.83704394,0.44669563,0.7409771,0.7570393,12.4,19.6,0.2,48.6
7,0.0001,0.0,0.001,506,0.46353232860565186,0.781538474559784,0.75691795,1.0,0.45384616,0.8551687,0.5044746,0.7108481,0.74168783,11.8,14.2,0.0,39.0,0.4616788387298584,0.7841975331306458,0.76006484,1.0,0.45625,0.857314,0.50526905,0.7726855,0.78724897,14.6,17.4,0.0,48.8
7,0.001,0.0,0.001,506,0.3871838986873627,0.8430769324302674,0.81025136,1.0,0.60769236,0.89088297,0.65764654,0.79802763,0.8164916,15.8,10.2,0.0,39.0,0.38991233706474304,0.8434567928314209,0.8110069,1.0,0.60625,0.8914505,0.65631974,0.8060746,0.8145819,19.4,12.6,0.0,48.8
5,0.001,0.0,0.0001,506,0.3467244267463684,0.8830769300460816,0.8381893,1.0,0.7076923,0.91163427,0.76977503,0.8355029,0.8468172,18.4,7.6,0.0,39.0,0.3401576817035675,0.8911728382110595,0.8569151,0.9877551,0.74375,0.9170667,0.7801904,0.86132157,0.8536789,23.8,8.2,0.6,48.2
0,0.0001,0.2,0.001,506,0.569911801815033,0.7446153998374939,0.7195446,0.9948718,0.36923078,0.83024424,0.43142247,0.7395463,0.7597694,9.6,16.4,0.2,38.8,0.5954006910324097,0.7249382734298706,0.70112693,0.9877551,0.325,0.8167157,0.38473803,0.70860434,0.7290914,10.4,21.6,0.6,48.2
5,0.001,0.4,0.001,506,0.5935926496982574,0.6892307877540589,0.67343533,0.9897436,0.23846154,0.79743993,0.287255,0.7116371,0.7448342,6.2,19.8,0.4,38.6,0.5980253398418427,0.6959567904472351,0.6810049,0.9916666,0.24375,0.80287826,0.2945344,0.6947717,0.7357406,7.8,24.2,0.4,48.4
8,0.0001,0.4,0.001,506,0.672593605518341,0.6000000238418579,0.6,1.0,0.0,0.75,0.05063696,0.59329385,0.63735116,0.0,26.0,0.0,39.0,0.6712331652641297,0.6039506196975708,0.6039506,1.0,0.0,0.7530769,0.047290023,0.5595517,0.6225612,0.0,32.0,0.0,48.8
5,0.0001,0.2,0.001,506,0.6288763225078583,0.6492307901382446,0.6391837,1.0,0.12307693,0.7772727,0.1804804,0.6260355,0.6766617,3.2,22.8,0.0,39.0,0.6507449984550476,0.6409876585006714,0.6314478,1.0,0.09375,0.77274245,0.15573469,0.5893668,0.6504892,3.0,29.0,0.0,48.8
3,0.001,0.2,0.001,506,0.39387303590774536,0.8861538529396057,0.8443734,0.9948718,0.72307694,0.9132501,0.7732724,0.8557199,0.8458344,18.8,7.2,0.2,38.8,0.3919014632701874,0.8886728405952453,0.85264075,0.9877551,0.7375,0.9150753,0.7736536,0.8686331,0.8676249,23.6,8.4,0.6,48.2
1,0.0001,0.0,0.0001,506,0.40062270164489744,0.836923086643219,0.8103243,0.9897436,0.6076923,0.8860674,0.64332384,0.816568,0.8345092,15.8,10.2,0.4,38.6,0.39801936149597167,0.8441666722297668,0.8126477,1.0,0.60625,0.8922664,0.6567973,0.80665267,0.82313836,19.4,12.6,0.0,48.8
6,0.001,0.0,0.001,506,0.35606613755226135,0.8830769300460816,0.8382472,1.0,0.70769227,0.91164446,0.7698541,0.85266274,0.84282005,18.4,7.6,0.0,39.0,0.34994334578514097,0.8959876537322998,0.85771817,0.9959184,0.74375,0.9209852,0.7928063,0.86791027,0.8654876,23.8,8.2,0.2,48.6
6,0.01,0.0,0.001,506,0.34787426590919496,0.8830769300460816,0.8382472,1.0,0.7076923,0.91164446,0.7698541,0.8534516,0.8435663,18.4,7.6,0.0,39.0,0.33926862478256226,0.8959876537322998,0.85771817,0.9959184,0.74375,0.9209852,0.7928064,0.86420333,0.8582743,23.8,8.2,0.2,48.6
2,0.01,0.2,0.001,506,0.5710359811782837,0.7076923251152039,0.69117486,0.9948718,0.2769231,0.8102188,0.32558528,0.66942805,0.71545345,7.2,18.8,0.2,38.8,0.5738713204860687,0.712592601776123,0.6942742,1.0,0.275,0.8145326,0.33047348,0.6910701,0.7360054,8.8,23.2,0.0,48.8
7,0.0001,0.4,0.0001,506,0.5343845963478089,0.7661538600921631,0.74074,0.9948718,0.42307693,0.8437483,0.4728828,0.7161736,0.7519006,11.0,15.0,0.2,38.8,0.5483451306819915,0.7520987629890442,0.7276716,0.9918367,0.3875,0.8347658,0.43925604,0.749147,0.7720679,12.4,19.6,0.4,48.4
