config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_outer_es_loss,average_outer_es_accuracy,average_outer_es_precision,average_outer_es_recall,average_outer_es_specificity,average_outer_es_f1_score,average_outer_es_mcc,average_outer_es_auroc,average_outer_es_auprc,average_outer_es_true_positives,average_outer_es_false_negatives,average_outer_es_false_positives,average_outer_es_true_negatives,average_test_loss,average_test_accuracy,average_test_precision,average_test_recall,average_test_specificity,average_test_f1_score,average_test_mcc,average_test_auroc,average_test_auprc,average_test_true_positives,average_test_false_negatives,average_test_false_positives,average_test_true_negatives
3,0.01,0.0,0.0001,506,0.2948032647371292,0.9059876561164856,0.8664627,1.0,0.7625,0.9281562,0.8125782,0.8831301,0.8797101,24.4,7.6,0.0,48.8,0.40470311641693113,0.8666666507720947,0.8252484,0.9903226,0.675,0.9002552,0.7314955,0.80032265,0.79548275,27.0,13.0,0.6,61.4
9,0.001,0.2,0.0001,506,0.3448464751243591,0.8911110997200012,0.8485702,1.0,0.725,0.9177367,0.78396094,0.8644823,0.8703726,23.2,8.8,0.0,48.8,0.2987667977809906,0.9313725233078003,0.8985508,1.0,0.825,0.94656485,0.86099035,0.88036287,0.8531691,33.0,7.0,0.0,62.0
7,0.01,0.4,0.0001,506,0.3484259843826294,0.9058641910552978,0.86584634,1.0,0.7625,0.92789936,0.8123884,0.8808953,0.8774579,24.4,7.6,0.0,48.8,0.4012752652168274,0.870588219165802,0.8244912,1.0,0.66999996,0.90379775,0.74323356,0.8492338,0.8550094,26.8,13.2,0.0,62.0
8,0.01,0.2,0.0001,506,0.34076913595199587,0.8985185146331787,0.8568033,1.0,0.74375,0.9227048,0.79811466,0.8823183,0.87323225,23.8,8.2,0.0,48.8,0.35373607873916624,0.9019607901573181,0.86111104,1.0,0.75,0.9253732,0.8036376,0.8584274,0.83861226,30.0,10.0,0.0,62.0
6,0.01,0.4,0.0001,506,0.3798617601394653,0.8985185146331787,0.8566917,1.0,0.74375,0.92267096,0.79808223,0.8728768,0.8710866,23.8,8.2,0.0,48.8,0.3550743281841278,0.9019607901573181,0.86111104,1.0,0.75,0.9253732,0.8036376,0.8962903,0.891811,30.0,10.0,0.0,62.0
0,0.01,0.4,0.0001,506,0.34458141326904296,0.901111114025116,0.8614844,1.0,0.75,0.9250305,0.8033314,0.8861474,0.88167983,24.0,8.0,0.0,48.8,0.399353563785553,0.8784313678741456,0.8351593,0.9967742,0.695,0.90882146,0.75693,0.8418549,0.82794106,27.8,12.2,0.2,61.8
1,0.01,0.4,0.0001,506,0.36164273619651793,0.8935493707656861,0.8515972,1.0,0.73125,0.91946757,0.7887124,0.8776706,0.88192713,23.4,8.6,0.0,48.8,0.36678171157836914,0.9098039031028747,0.8728773,0.9967742,0.775,0.9307132,0.8178217,0.871371,0.8267066,31.0,9.0,0.2,61.8
5,0.01,0.4,0.0001,506,0.3610965728759766,0.8960493803024292,0.8538391,1.0,0.7375,0.92097664,0.7933723,0.8764576,0.8731861,23.6,8.4,0.0,48.8,0.354935884475708,0.9019607901573181,0.86111104,1.0,0.75,0.9253732,0.8036376,0.8868952,0.8832716,30.0,10.0,0.0,62.0
4,0.01,0.4,0.0001,506,0.37485926747322085,0.893641984462738,0.850972,1.0,0.73125,0.9193126,0.78867114,0.86419934,0.84959996,23.4,8.6,0.0,48.8,0.33200618624687195,0.9078431248664856,0.86838806,1.0,0.76500005,0.92954767,0.81504774,0.90883064,0.92308056,30.6,9.4,0.0,62.0
2,0.01,0.4,0.0001,506,0.36185896396636963,0.8910493969917297,0.8518349,0.9959184,0.73125,0.9176216,0.7827513,0.8790644,0.88341177,23.4,8.6,0.2,48.6,0.35481358170509336,0.9176470637321472,0.885042,0.9935484,0.8,0.9361305,0.83244276,0.8864112,0.8405921,32.0,8.0,0.4,61.6
