config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_inner_es_loss,average_inner_es_accuracy,average_inner_es_precision,average_inner_es_recall,average_inner_es_specificity,average_inner_es_f1_score,average_inner_es_mcc,average_inner_es_auroc,average_inner_es_auprc,average_inner_es_true_positives,average_inner_es_false_negatives,average_inner_es_false_positives,average_inner_es_true_negatives,average_val_loss,average_val_accuracy,average_val_precision,average_val_recall,average_val_specificity,average_val_f1_score,average_val_mcc,average_val_auroc,average_val_auprc,average_val_true_positives,average_val_false_negatives,average_val_false_positives,average_val_true_negatives
0,0.01,0.0,0.001,506,0.28923988044261933,0.8953846216201782,0.85223645,1.0,0.7384615,0.92003524,0.7931458,0.902071,0.91838586,19.2,6.8,0.0,39.0,0.2952212393283844,0.9033950567245483,0.86289406,1.0,0.75625,0.9261732,0.8076587,0.8662096,0.8711378,24.2,7.8,0.0,48.8
1,0.01,0.0,0.001,506,0.2763324350118637,0.9015384674072265,0.8611299,1.0,0.75384617,0.9248233,0.8052598,0.9094675,0.9113754,19.6,6.4,0.0,39.0,0.3267576336860657,0.893549382686615,0.8544013,0.9959184,0.7375,0.91915977,0.788015,0.85068417,0.8451729,23.6,8.4,0.2,48.6
2,0.01,0.0,0.001,506,0.31086206436157227,0.8892307758331299,0.8451411,1.0,0.72307694,0.91581094,0.7814561,0.8696253,0.8685754,18.8,7.2,0.0,39.0,0.30529279112815855,0.8936728477478028,0.8516687,1.0,0.73125,0.9195452,0.7888578,0.87045467,0.8774203,23.4,8.6,0.0,48.8
3,0.01,0.0,0.001,506,0.2763927638530731,0.9015384674072265,0.859944,1.0,0.75384617,0.92445767,0.80494374,0.9117357,0.9230851,19.6,6.4,0.0,39.0,0.28684661984443666,0.9059876561164856,0.8661111,1.0,0.7625,0.9280518,0.8124612,0.8895195,0.897546,24.4,7.6,0.0,48.8
4,0.01,0.0,0.001,506,0.2917940840125084,0.892307698726654,0.8542188,0.9948718,0.7384616,0.91831666,0.7857304,0.8779093,0.87142146,19.2,6.8,0.2,38.8,0.3190937519073486,0.8961111187934876,0.85426474,1.0,0.7375,0.92114127,0.79350483,0.85438997,0.837018,23.6,8.4,0.0,48.8
5,0.01,0.0,0.001,506,0.3274811029434204,0.8830769300460816,0.8381893,1.0,0.70769227,0.91163427,0.769775,0.843787,0.8530458,18.4,7.6,0.0,39.0,0.31059084832668304,0.8985802412033081,0.8584255,1.0,0.74375,0.9232513,0.7984567,0.8543779,0.83293104,23.8,8.2,0.0,48.8
6,0.01,0.0,0.001,506,0.31584674715995786,0.8830769300460816,0.8382472,1.0,0.70769227,0.9116446,0.7698541,0.8731756,0.8791195,18.4,7.6,0.0,39.0,0.30742010176181794,0.8984567999839783,0.8580085,1.0,0.74375,0.9230431,0.7984056,0.86278963,0.8640734,23.8,8.2,0.0,48.8
7,0.01,0.0,0.001,506,0.2976760774850845,0.892307698726654,0.84943503,1.0,0.7307693,0.91815567,0.78748995,0.87435895,0.865917,19.0,7.0,0.0,39.0,0.28343111276626587,0.9059567928314209,0.8655524,1.0,0.7625,0.92785823,0.8123356,0.8852068,0.8814616,24.4,7.6,0.0,48.8
8,0.01,0.0,0.001,506,0.30919598042964935,0.8861538529396057,0.84243935,1.0,0.7153846,0.9139716,0.77575934,0.8769231,0.8783352,18.6,7.4,0.0,39.0,0.3083476126194,0.8985185265541077,0.8585774,1.0,0.74375,0.9232438,0.7986049,0.8805525,0.881546,23.8,8.2,0.0,48.8
9,0.01,0.0,0.001,506,0.27293850779533385,0.9076923131942749,0.8682143,1.0,0.7692308,0.9290458,0.81693715,0.884714,0.876715,20.0,6.0,0.0,39.0,0.31496026515960696,0.8910802364349365,0.8485271,1.0,0.725,0.9177066,0.78394395,0.83922064,0.82379687,23.2,8.8,0.0,48.8
0,0.01,0.2,0.001,506,0.2887636750936508,0.8953846216201782,0.85223645,1.0,0.7384615,0.92003524,0.7931458,0.9040434,0.91954863,19.2,6.8,0.0,39.0,0.2968885123729706,0.9033950567245483,0.86289406,1.0,0.75625,0.9261732,0.8076587,0.8634221,0.8675704,24.2,7.8,0.0,48.8
1,0.01,0.2,0.001,506,0.27190319299697874,0.8953846216201782,0.8599311,0.9897436,0.75384617,0.9196706,0.7898999,0.90828407,0.90862036,19.6,6.4,0.4,38.6,0.3599768728017807,0.8861111164093017,0.8521978,0.9835884,0.7375,0.9128982,0.7682299,0.84851587,0.84920216,23.6,8.4,0.8,48.0
2,0.01,0.2,0.001,506,0.3104791760444641,0.8892307758331299,0.8451411,1.0,0.72307694,0.9158109,0.7814561,0.8662723,0.8712843,18.8,7.2,0.0,39.0,0.30865682661533356,0.8936728477478028,0.8516687,1.0,0.73125,0.91954505,0.7888578,0.8700455,0.8726953,23.4,8.6,0.0,48.8
3,0.01,0.2,0.001,506,0.27671521306037905,0.9015384674072265,0.859944,1.0,0.75384617,0.92445767,0.80494374,0.9115385,0.91776764,19.6,6.4,0.0,39.0,0.28371199369430544,0.9059876561164856,0.8661111,1.0,0.7625,0.9280518,0.8124612,0.89061964,0.8931635,24.4,7.6,0.0,48.8
4,0.01,0.2,0.001,506,0.29121618121862414,0.892307698726654,0.8542188,0.9948718,0.7384616,0.91831666,0.7857304,0.87554246,0.8691205,19.2,6.8,0.2,38.8,0.3199994951486588,0.8961111187934876,0.85426474,1.0,0.7375,0.92114127,0.79350483,0.8525483,0.84282285,23.6,8.4,0.0,48.8
5,0.01,0.2,0.001,506,0.3236052691936493,0.8830769300460816,0.8381893,1.0,0.70769227,0.91163427,0.769775,0.8459566,0.8583954,18.4,7.6,0.0,39.0,0.30575825572013854,0.8985802412033081,0.8584255,1.0,0.74375,0.9232513,0.7984567,0.85869074,0.8372663,23.8,8.2,0.0,48.8
6,0.01,0.2,0.001,506,0.31445443332195283,0.8830769300460816,0.8382472,1.0,0.70769227,0.9116446,0.7698541,0.8757397,0.8747039,18.4,7.6,0.0,39.0,0.3046837031841278,0.8984567999839783,0.8580085,1.0,0.74375,0.9230431,0.7984056,0.8702434,0.86761934,23.8,8.2,0.0,48.8
7,0.01,0.2,0.001,506,0.30115029513835906,0.892307698726654,0.84943503,1.0,0.7307693,0.91815567,0.78748995,0.88067055,0.86944234,19.0,7.0,0.0,39.0,0.28596305251121523,0.9059567928314209,0.8655524,1.0,0.7625,0.92785823,0.8123356,0.87930745,0.8745352,24.4,7.6,0.0,48.8
8,0.01,0.2,0.001,506,0.30838196277618407,0.8861538529396057,0.84243935,1.0,0.7153846,0.9139716,0.77575934,0.87652856,0.8759122,18.6,7.4,0.0,39.0,0.30194619596004485,0.8985185265541077,0.8585774,1.0,0.74375,0.9232438,0.7986049,0.88496625,0.886728,23.8,8.2,0.0,48.8
9,0.01,0.2,0.001,506,0.27245171666145324,0.9076923131942749,0.8682143,1.0,0.7692308,0.9290458,0.81693715,0.8817555,0.86835515,20.0,6.0,0.0,39.0,0.3160470128059387,0.8910802364349365,0.8485271,1.0,0.725,0.9177066,0.78394395,0.8385749,0.8271488,23.2,8.8,0.0,48.8
0,0.01,0.4,0.001,506,0.29063325226306913,0.8953846216201782,0.85223645,1.0,0.7384615,0.92003524,0.7931458,0.9032544,0.91944104,19.2,6.8,0.0,39.0,0.29261609315872195,0.9033950567245483,0.86289406,1.0,0.75625,0.9261732,0.8076587,0.86328125,0.86212647,24.2,7.8,0.0,48.8
1,0.01,0.4,0.001,506,0.2742783516645432,0.8984615445137024,0.8607815,0.9948718,0.75384617,0.9222307,0.7983884,0.9122289,0.9105423,19.6,6.4,0.2,38.8,0.3535250335931778,0.888611114025116,0.85276175,0.9877551,0.7375,0.914986,0.77460635,0.8470144,0.8463842,23.6,8.4,0.6,48.2
2,0.01,0.4,0.001,506,0.311054927110672,0.8892307758331299,0.8451411,1.0,0.72307694,0.91581094,0.7814561,0.87455624,0.8805419,18.8,7.2,0.0,39.0,0.3064084678888321,0.8936728477478028,0.8516687,1.0,0.73125,0.9195452,0.7888578,0.8691845,0.8732851,23.4,8.6,0.0,48.8
3,0.01,0.4,0.001,506,0.2761609137058258,0.9015384674072265,0.859944,1.0,0.75384617,0.92445767,0.80494374,0.91074955,0.9159417,19.6,6.4,0.0,39.0,0.2883065104484558,0.9059876561164856,0.8661111,1.0,0.7625,0.9280518,0.8124612,0.8878667,0.8917287,24.4,7.6,0.0,48.8
4,0.01,0.4,0.001,506,0.2916689559817314,0.8953846216201782,0.8550166,1.0,0.7384616,0.9208828,0.7939527,0.85877705,0.8583398,19.2,6.8,0.0,39.0,0.31797810792922976,0.8961111187934876,0.85426474,1.0,0.7375,0.92114127,0.79350483,0.86229277,0.85313404,23.6,8.4,0.0,48.8
5,0.01,0.4,0.001,506,0.3283511996269226,0.8830769300460816,0.8381893,1.0,0.70769227,0.91163427,0.769775,0.8398422,0.8462671,18.4,7.6,0.0,39.0,0.30586748719215395,0.8985802412033081,0.8584255,1.0,0.74375,0.9232513,0.7984567,0.8522786,0.8329633,23.8,8.2,0.0,48.8
6,0.01,0.4,0.001,506,0.3158787876367569,0.8830769300460816,0.8382472,1.0,0.70769227,0.9116446,0.7698541,0.8727811,0.86560553,18.4,7.6,0.0,39.0,0.30971900522708895,0.8959876656532287,0.8575072,0.9959184,0.74375,0.9209946,0.79224,0.86600506,0.8699638,23.8,8.2,0.2,48.6
7,0.01,0.4,0.001,506,0.29913128912448883,0.892307698726654,0.84943503,1.0,0.7307693,0.91815567,0.78748995,0.87554246,0.86414945,19.0,7.0,0.0,39.0,0.2831838667392731,0.9059567928314209,0.8655524,1.0,0.7625,0.92785823,0.8123356,0.8919218,0.893106,24.4,7.6,0.0,48.8
