config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_outer_es_loss,average_outer_es_accuracy,average_outer_es_precision,average_outer_es_recall,average_outer_es_specificity,average_outer_es_f1_score,average_outer_es_mcc,average_outer_es_auroc,average_outer_es_auprc,average_outer_es_true_positives,average_outer_es_false_negatives,average_outer_es_false_positives,average_outer_es_true_negatives,average_test_loss,average_test_accuracy,average_test_precision,average_test_recall,average_test_specificity,average_test_f1_score,average_test_mcc,average_test_auroc,average_test_auprc,average_test_true_positives,average_test_false_negatives,average_test_false_positives,average_test_true_negatives
0,0.0001,0.0,0.001,506,0.2860477179288864,0.9036111116409302,0.8651044,1.0,0.75625,0.9269699,0.8082975,0.8947385,0.91078156,24.2,7.8,0.0,48.8,0.3268800675868988,0.8823529481887817,0.8378378,1.0,0.7,0.91176474,0.7658241,0.8612097,0.85981643,28.0,12.0,0.0,62.0
1,0.001,0.0,0.1,506,0.29839318692684175,0.8960493683815003,0.8546047,1.0,0.7375,0.92122585,0.7934718,0.8716199,0.8722785,23.6,8.4,0.0,48.8,0.2740615963935852,0.9117646813392639,0.8732394,1.0,0.775,0.9323309,0.82265455,0.8870161,0.8708642,31.0,9.0,0.0,62.0
2,0.001,0.0,0.001,506,0.29897621273994446,0.8935185313224793,0.8523793,1.0,0.73125,0.91966707,0.78907,0.85958624,0.8566969,23.4,8.6,0.0,48.8,0.2558547675609589,0.9215686321258545,0.88571435,1.0,0.8,0.9393939,0.84176683,0.8811693,0.85985583,32.0,8.0,0.0,62.0
3,0.001,0.4,0.1,506,0.27766468524932864,0.9059876561164856,0.8664626,1.0,0.7625,0.9281562,0.8125782,0.9013008,0.8978348,24.4,7.6,0.0,48.8,0.3572787523269653,0.8725489974021912,0.82666665,1.0,0.675,0.9051095,0.74699396,0.7784678,0.7762202,27.0,13.0,0.0,62.0
4,0.001,0.0,0.1,506,0.2987513571977615,0.8961419820785522,0.85432625,1.0,0.7375,0.9211763,0.79353523,0.8658867,0.84402007,23.6,8.4,0.0,48.8,0.2772618055343628,0.9117646813392639,0.8732394,1.0,0.775,0.9323309,0.82265455,0.88108873,0.8645748,31.0,9.0,0.0,62.0
5,0.001,0.0,0.001,506,0.29342969954013826,0.8985493898391723,0.8569559,1.0,0.74375,0.92276907,0.7981601,0.8576676,0.85319966,23.8,8.2,0.0,48.8,0.2901639759540558,0.9019607901573181,0.86111104,1.0,0.75,0.9253732,0.8036376,0.87092745,0.8743706,30.0,10.0,0.0,62.0
6,0.001,0.4,0.001,506,0.29429093599319456,0.8985185146331787,0.8566917,1.0,0.74375,0.92267096,0.79808223,0.8711602,0.86521894,23.8,8.2,0.0,48.8,0.28903119564056395,0.9019607901573181,0.86111104,1.0,0.75,0.9253732,0.8036376,0.8602419,0.8492692,30.0,10.0,0.0,62.0
7,0.01,0.0,0.001,506,0.2725950688123703,0.9058641910552978,0.86584634,1.0,0.7625,0.92789936,0.8123884,0.8929833,0.9010841,24.4,7.6,0.0,48.8,0.37575784921646116,0.8686274290084839,0.82571685,0.9935484,0.675,0.90186536,0.7367288,0.799879,0.784385,27.0,13.0,0.4,61.6
8,0.01,0.0,0.001,506,0.29215964674949646,0.8985185146331787,0.8568033,1.0,0.74375,0.9227048,0.79811466,0.89477575,0.8991763,23.8,8.2,0.0,48.8,0.3051690816879272,0.9,0.86071986,0.9967742,0.75,0.9237572,0.7987094,0.8308468,0.8126396,30.0,10.0,0.2,61.8
9,0.0001,0.0,0.001,506,0.314054012298584,0.8911110997200012,0.8485702,1.0,0.725,0.9177367,0.78396094,0.8552163,0.84769803,23.2,8.8,0.0,48.8,0.23419856131076813,0.9313725233078003,0.8985508,1.0,0.825,0.94656485,0.86099035,0.92125005,0.9242174,33.0,7.0,0.0,62.0
