config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate_normal,config/train_loop_config/dropout_rate_attention,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_outer_es_loss,average_outer_es_accuracy,average_outer_es_precision,average_outer_es_recall,average_outer_es_specificity,average_outer_es_f1_score,average_outer_es_mcc,average_outer_es_auroc,average_outer_es_auprc,average_outer_es_true_positives,average_outer_es_false_negatives,average_outer_es_false_positives,average_outer_es_true_negatives,average_test_loss,average_test_accuracy,average_test_precision,average_test_recall,average_test_specificity,average_test_f1_score,average_test_mcc,average_test_auroc,average_test_auprc,average_test_true_positives,average_test_false_negatives,average_test_false_positives,average_test_true_negatives
0,0.01,0.0,0.0,0.001,506,0.28110099136829375,0.9036111116409302,0.8651043,1.0,0.75625,0.9269698,0.8082975,0.8842899,0.89133674,24.2,7.8,0.0,48.8,0.34286907911300657,0.8803921580314636,0.83739346,0.9967742,0.7,0.91015244,0.76069605,0.855,0.8277372,28.0,12.0,0.2,61.8
2,0.01,0.2,0.0,0.01,506,0.289583158493042,0.8935185313224793,0.8523793,1.0,0.73125,0.91966707,0.78907,0.88818425,0.88834095,23.4,8.6,0.0,48.8,0.27481271624565123,0.9215686321258545,0.88571435,1.0,0.8,0.9393939,0.84176683,0.8747177,0.8588456,32.0,8.0,0.0,62.0
1,0.01,0.0,0.4,0.001,506,0.2924528181552887,0.8960493683815003,0.85460484,1.0,0.7375,0.92122585,0.7934718,0.88695526,0.8824236,23.6,8.4,0.0,48.8,0.29705979824066164,0.9058823347091675,0.87214243,0.9903226,0.775,0.92745304,0.80831957,0.8664516,0.84157896,31.0,9.0,0.6,61.4
3,0.01,0.2,0.4,0.1,506,0.2812333732843399,0.9059876561164856,0.8664626,1.0,0.7625,0.9281562,0.8125782,0.8874322,0.8893016,24.4,7.6,0.0,48.8,0.36406487226486206,0.870588219165802,0.8261982,0.9967742,0.675,0.9034993,0.7417606,0.8221774,0.8210226,27.0,13.0,0.2,61.8
5,0.01,0.2,0.4,0.1,506,0.3020446807146072,0.8985493898391723,0.8569559,1.0,0.74375,0.92276907,0.7981601,0.8731333,0.8745804,23.8,8.2,0.0,48.8,0.29882445335388186,0.9,0.86071986,0.9967742,0.75,0.9237572,0.7987093,0.8839113,0.8795827,30.0,10.0,0.2,61.8
6,0.01,0.2,0.4,0.001,506,0.3047325849533081,0.8985185146331787,0.8566917,1.0,0.74375,0.92267084,0.79808223,0.8638977,0.8564521,23.8,8.2,0.0,48.8,0.2851036608219147,0.9019607901573181,0.86111104,1.0,0.75,0.9253732,0.8036375,0.88604844,0.88833475,30.0,10.0,0.0,62.0
8,0.01,0.2,0.2,0.001,506,0.2886303782463074,0.8985185146331787,0.8568034,1.0,0.74375,0.9227048,0.79811466,0.8959157,0.89141864,23.8,8.2,0.0,48.8,0.3157337725162506,0.9019607901573181,0.86111104,1.0,0.75,0.9253732,0.8036375,0.84020156,0.8191646,30.0,10.0,0.0,62.0
9,0.01,0.4,0.4,0.001,506,0.30865723490715025,0.8911110997200012,0.8485702,1.0,0.725,0.9177367,0.783961,0.86200315,0.8555029,23.2,8.8,0.0,48.8,0.236008220911026,0.9313725233078003,0.8985508,1.0,0.825,0.94656485,0.86099035,0.91052425,0.88994694,33.0,7.0,0.0,62.0
7,0.01,0.0,0.2,0.1,506,0.28319130539894105,0.9058641910552978,0.86584634,1.0,0.7625,0.92789936,0.8123884,0.89848125,0.8936219,24.4,7.6,0.0,48.8,0.36688168048858644,0.8725489974021912,0.82666665,1.0,0.675,0.9051095,0.74699396,0.8188306,0.8052944,27.0,13.0,0.0,62.0
4,0.01,0.4,0.2,0.01,506,0.2974875897169113,0.8961419820785522,0.85432625,1.0,0.7375,0.9211763,0.79353523,0.8780014,0.87437135,23.6,8.4,0.0,48.8,0.2850042343139648,0.899999988079071,0.87102395,0.9806452,0.775,0.9225254,0.7942985,0.90786296,0.9158777,31.0,9.0,1.2,60.8
