config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate_normal,config/train_loop_config/dropout_rate_attention,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_inner_es_loss,average_inner_es_accuracy,average_inner_es_precision,average_inner_es_recall,average_inner_es_specificity,average_inner_es_f1_score,average_inner_es_mcc,average_inner_es_auroc,average_inner_es_auprc,average_inner_es_true_positives,average_inner_es_false_negatives,average_inner_es_false_positives,average_inner_es_true_negatives,average_val_loss,average_val_accuracy,average_val_precision,average_val_recall,average_val_specificity,average_val_f1_score,average_val_mcc,average_val_auroc,average_val_auprc,average_val_true_positives,average_val_false_negatives,average_val_false_positives,average_val_true_negatives
0,0.001,0.4,0.0,0.0001,506,0.49218868017196654,0.7507692456245423,0.74994266,0.9487179,0.45384616,0.82762927,0.43678564,0.7237673,0.75841635,11.8,14.2,2.0,37.0,0.4893945574760437,0.7644444465637207,0.76108575,0.9591837,0.46875,0.83943594,0.45906535,0.68627226,0.7310489,15.0,17.0,2.0,46.8
1,0.001,0.4,0.0,0.0001,506,0.5544160783290863,0.7076923251152039,0.6916667,0.9948718,0.2769231,0.8104269,0.32516375,0.6282051,0.6913389,7.2,18.8,0.2,38.8,0.5410251021385193,0.7231790065765381,0.708872,0.9958333,0.30625,0.8214987,0.34811538,0.61933595,0.6822376,9.8,22.2,0.2,48.6
9,0.001,0.2,0.4,0.0001,506,0.636961567401886,0.6184615612030029,0.65891474,0.82564104,0.30769232,0.71796423,0.15750858,0.5785996,0.6674141,8.0,18.0,6.8,32.2,0.6246592700481415,0.6359567880630493,0.66623145,0.8602041,0.29375,0.7412163,0.17450862,0.5937062,0.6676835,9.4,22.6,6.8,42.0
8,0.001,0.2,0.4,0.0001,506,0.5558020114898682,0.7138461709022522,0.7236613,0.9128205,0.41538462,0.7976984,0.3551246,0.6816568,0.7180971,10.8,15.2,3.4,35.6,0.5489521145820617,0.7280864119529724,0.7480152,0.9058674,0.45625,0.8052212,0.387183,0.6805498,0.735026,14.6,17.4,4.6,44.2
7,0.001,0.2,0.4,0.0001,506,0.6298090219497681,0.6307692527770996,0.691579,0.7846154,0.4,0.7136943,0.2026109,0.61972386,0.6886009,10.4,15.6,8.4,30.6,0.6350852847099304,0.608981478214264,0.69131863,0.72908163,0.425,0.67725885,0.17364787,0.60008776,0.6803994,13.6,18.4,13.2,35.6
6,0.001,0.2,0.4,0.0001,506,0.5744671881198883,0.7169230937957763,0.7613652,0.7794872,0.6230769,0.7665111,0.41224113,0.7161735,0.7307144,16.2,9.8,8.6,30.4,0.587825345993042,0.6806790113449097,0.72980875,0.75858843,0.5625,0.7402689,0.3301665,0.71513337,0.7431553,18.0,14.0,11.8,37.0
5,0.001,0.2,0.4,0.0001,506,0.6532378315925598,0.6000000238418579,0.63341177,0.8615385,0.20769231,0.70916665,0.10577993,0.5781065,0.65917385,5.4,20.6,5.4,33.6,0.6652218222618103,0.5917592644691467,0.6233151,0.8402211,0.2125,0.6922401,0.08852757,0.48952356,0.5904543,6.8,25.2,7.8,41.0
4,0.001,0.2,0.4,0.0001,506,0.5706206202507019,0.7415384769439697,0.7748345,0.851282,0.5769231,0.80058193,0.44240707,0.7406312,0.7815523,15.0,11.0,5.8,33.2,0.5984857320785523,0.6979938268661499,0.74167204,0.8233844,0.50625,0.76386625,0.35414648,0.68272483,0.7274267,16.2,15.8,8.6,40.2
3,0.001,0.2,0.4,0.0001,506,0.597834837436676,0.6800000190734863,0.72445047,0.7897436,0.51538455,0.7457086,0.3156821,0.6959566,0.7436546,13.4,12.6,8.2,30.8,0.6182835221290588,0.6362654328346252,0.70078075,0.7291666,0.49375,0.70263135,0.23106912,0.6460619,0.7089116,15.8,16.2,13.2,35.6
2,0.001,0.2,0.4,0.0001,506,0.5119121611118317,0.747692322731018,0.7890409,0.8051282,0.6615385,0.7890667,0.48322278,0.80177516,0.81177413,17.2,8.8,7.6,31.4,0.548487412929535,0.7299691200256347,0.7581624,0.81573135,0.6,0.7823893,0.43281206,0.7406875,0.7692315,19.2,12.8,9.0,39.8
1,0.001,0.2,0.4,0.0001,506,0.6292162060737609,0.6338461756706237,0.6684459,0.8717949,0.2769231,0.73858416,0.17669192,0.6027614,0.6733731,7.2,18.8,5.0,34.0,0.6237226963043213,0.651111102104187,0.6693603,0.90901357,0.25625,0.7593571,0.19586465,0.5851682,0.66295063,8.2,23.8,4.4,44.4
0,0.001,0.2,0.4,0.0001,506,0.6166642069816589,0.6676923274993897,0.7033682,0.84615386,0.4,0.7520317,0.26870093,0.6438856,0.6836459,10.4,15.6,6.0,33.0,0.6018385410308837,0.6656790137290954,0.69940054,0.8408163,0.4,0.74595225,0.26468912,0.6375319,0.70070493,12.8,19.2,7.8,41.0
9,0.001,0.2,0.2,0.0001,506,0.6045952320098877,0.6523077130317688,0.72166663,0.77948725,0.46153846,0.72441316,0.25679713,0.6622288,0.7401989,12.0,14.0,8.6,30.4,0.5982081413269043,0.6780864238739014,0.72992,0.82270414,0.45625,0.75355077,0.2936085,0.66365725,0.7183038,14.6,17.4,8.6,40.2
8,0.001,0.2,0.2,0.0001,506,0.5393784761428833,0.7323077082633972,0.7548485,0.9076923,0.46923074,0.8076745,0.4047309,0.6990138,0.7352241,12.2,13.8,3.6,35.4,0.5479881882667541,0.7206481456756592,0.7481502,0.88954085,0.4625,0.79803586,0.37208614,0.6821867,0.73394525,14.8,17.2,5.4,43.4
7,0.001,0.2,0.2,0.0001,506,0.535628217458725,0.7230769395828247,0.73384255,0.9179487,0.43076926,0.804564,0.37764072,0.67337275,0.71780264,11.2,14.8,3.2,35.8,0.5202281296253204,0.7329321026802063,0.76684743,0.8892007,0.49375,0.807778,0.39708647,0.6851509,0.73054564,15.8,16.2,5.4,43.4
6,0.001,0.2,0.2,0.0001,506,0.4118730306625366,0.836923086643219,0.83250666,0.9128205,0.72307694,0.8695175,0.6627408,0.844576,0.8307541,18.8,7.2,3.4,35.6,0.40773112773895265,0.8441357970237732,0.84552735,0.9102041,0.74375,0.87506306,0.67715454,0.85076,0.8492249,23.8,8.2,4.4,44.4
5,0.001,0.2,0.2,0.0001,506,0.5712523221969604,0.7076923251152039,0.7002969,0.97948724,0.3,0.8085295,0.32315773,0.6357002,0.69273293,7.8,18.2,0.8,38.2,0.5779327392578125,0.6908641934394837,0.6937548,0.9583334,0.28125,0.79410166,0.28461367,0.5807916,0.65850174,9.0,23.0,2.0,46.8
4,0.001,0.2,0.2,0.0001,506,0.4782346338033676,0.8030769348144531,0.8226374,0.89743596,0.6615385,0.84758204,0.57584685,0.8096647,0.8212379,17.2,8.8,4.0,35.0,0.5236941933631897,0.7472839474678039,0.77424467,0.8555272,0.58125,0.8000282,0.46448165,0.7668075,0.7808386,18.6,13.4,7.0,41.8
