config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_inner_es_loss,average_inner_es_accuracy,average_inner_es_precision,average_inner_es_recall,average_inner_es_specificity,average_inner_es_f1_score,average_inner_es_mcc,average_inner_es_auroc,average_inner_es_auprc,average_inner_es_true_positives,average_inner_es_false_negatives,average_inner_es_false_positives,average_inner_es_true_negatives,average_val_loss,average_val_accuracy,average_val_precision,average_val_recall,average_val_specificity,average_val_f1_score,average_val_mcc,average_val_auroc,average_val_auprc,average_val_true_positives,average_val_false_negatives,average_val_false_positives,average_val_true_negatives
0,0.01,0.0,0.001,506,0.2897084325551987,0.8953846216201782,0.85223645,1.0,0.7384615,0.92003524,0.7931458,0.90226823,0.91453093,19.2,6.8,0.0,39.0,0.2943334013223648,0.9033950567245483,0.86289406,1.0,0.75625,0.9261732,0.8076587,0.8723693,0.87213457,24.2,7.8,0.0,48.8
1,0.01,0.0,0.001,506,0.27475730180740354,0.8984615445137024,0.86027944,0.9948718,0.75384617,0.92226326,0.7967712,0.9039448,0.90267736,19.6,6.4,0.2,38.8,0.33207201957702637,0.8935185313224793,0.8541277,0.9958333,0.7375,0.9191297,0.78723776,0.85244596,0.84974384,23.6,8.4,0.2,48.6
2,0.01,0.0,0.001,506,0.3067997932434082,0.8892307758331299,0.8451411,1.0,0.72307694,0.91581094,0.7814561,0.8820513,0.8837083,18.8,7.2,0.0,39.0,0.3115989029407501,0.8911728501319885,0.8545367,0.9916667,0.7375,0.9172012,0.78268117,0.88336915,0.8950137,23.6,8.4,0.4,48.4
3,0.01,0.0,0.001,506,0.2787660539150238,0.9015384674072265,0.859944,1.0,0.75384617,0.92445767,0.80494374,0.9052268,0.9051539,19.6,6.4,0.0,39.0,0.29048779606819153,0.9059876561164856,0.8661111,1.0,0.7625,0.9280518,0.8124612,0.8858658,0.8832078,24.4,7.6,0.0,48.8
4,0.01,0.0,0.001,506,0.2933709666132927,0.8953846216201782,0.8550166,1.0,0.7384616,0.9208828,0.7939527,0.87159765,0.8755683,19.2,6.8,0.0,39.0,0.3404726028442383,0.8936111211776734,0.8538454,0.9958333,0.7375,0.9190446,0.78757685,0.8484906,0.8295261,23.6,8.4,0.2,48.6
5,0.01,0.0,0.001,506,0.3219560146331787,0.8830769300460816,0.8381893,1.0,0.70769227,0.91163427,0.769775,0.8564102,0.86649716,18.4,7.6,0.0,39.0,0.31672129929065707,0.8985802412033081,0.8584255,1.0,0.74375,0.9232513,0.7984567,0.85658616,0.845401,23.8,8.2,0.0,48.8
6,0.01,0.0,0.001,506,0.31165887117385865,0.8830769300460816,0.8382472,1.0,0.70769227,0.9116446,0.7698541,0.8891519,0.8850745,18.4,7.6,0.0,39.0,0.30711491107940675,0.8984567999839783,0.8580085,1.0,0.74375,0.9230431,0.7984056,0.8628694,0.85662603,23.8,8.2,0.0,48.8
7,0.01,0.0,0.001,506,0.29437393248081206,0.892307698726654,0.84943503,1.0,0.7307693,0.91815567,0.78748995,0.8976332,0.894179,19.0,7.0,0.0,39.0,0.2865477234125137,0.9059567928314209,0.8655524,1.0,0.7625,0.92785823,0.8123356,0.87537205,0.8719672,24.4,7.6,0.0,48.8
8,0.01,0.0,0.001,506,0.30091850757598876,0.8830769300460816,0.84164155,0.9948718,0.7153846,0.91140544,0.767537,0.890927,0.9013648,18.6,7.4,0.2,38.8,0.31640225648880005,0.8985185265541077,0.8585774,1.0,0.74375,0.9232438,0.7986049,0.883983,0.88697445,23.8,8.2,0.0,48.8
9,0.01,0.0,0.001,506,0.2657344192266464,0.9076923131942749,0.8682143,1.0,0.7692308,0.9290458,0.81693715,0.8999014,0.90548724,20.0,6.0,0.0,39.0,0.3201017439365387,0.8910802364349365,0.8485271,1.0,0.725,0.9177066,0.78394395,0.8568705,0.85434055,23.2,8.8,0.0,48.8
0,0.01,0.2,0.001,506,0.28810426592826843,0.8953846216201782,0.85223645,1.0,0.7384615,0.92003524,0.7931458,0.8989151,0.9110428,19.2,6.8,0.0,39.0,0.2958531081676483,0.9033950567245483,0.86289406,1.0,0.75625,0.9261732,0.8076587,0.86348593,0.86148345,24.2,7.8,0.0,48.8
1,0.01,0.2,0.001,506,0.2792154669761658,0.8984615445137024,0.86027944,0.9948718,0.75384617,0.92226326,0.7967712,0.8915188,0.88487023,19.6,6.4,0.2,38.8,0.35696096420288087,0.8935185313224793,0.8541277,0.9958333,0.7375,0.9191297,0.78723776,0.86420995,0.86437654,23.6,8.4,0.2,48.6
2,0.01,0.2,0.001,506,0.30798457860946654,0.8892307758331299,0.8451411,1.0,0.72307694,0.91581094,0.7814561,0.88382643,0.8868601,18.8,7.2,0.0,39.0,0.30968278348445893,0.8936728477478028,0.8516687,1.0,0.73125,0.9195452,0.7888578,0.87348926,0.87706363,23.4,8.6,0.0,48.8
3,0.01,0.2,0.001,506,0.2772033989429474,0.9015384674072265,0.859944,1.0,0.75384617,0.92445767,0.80494374,0.9062131,0.9110857,19.6,6.4,0.0,39.0,0.2828768014907837,0.9059876561164856,0.8661111,1.0,0.7625,0.9280518,0.8124612,0.89509994,0.8951621,24.4,7.6,0.0,48.8
4,0.01,0.2,0.001,506,0.2906344532966614,0.8953846216201782,0.8550166,1.0,0.7384616,0.9208828,0.7939527,0.88165677,0.88643914,19.2,6.8,0.0,39.0,0.3184363007545471,0.8961111187934876,0.85426474,1.0,0.7375,0.92114127,0.79350483,0.85257757,0.8348996,23.6,8.4,0.0,48.8
5,0.01,0.2,0.001,506,0.32233811020851133,0.8830769300460816,0.8381893,1.0,0.7076923,0.91163427,0.76977503,0.8534516,0.8628386,18.4,7.6,0.0,39.0,0.30759666860103607,0.8985802412033081,0.8584255,1.0,0.74375,0.9232513,0.7984567,0.86262625,0.86425686,23.8,8.2,0.0,48.8
6,0.01,0.2,0.001,506,0.31212216317653657,0.8830769300460816,0.8382472,1.0,0.70769227,0.9116446,0.7698541,0.8907298,0.9015997,18.4,7.6,0.0,39.0,0.3043043792247772,0.8984567999839783,0.8580085,1.0,0.74375,0.9230431,0.7984056,0.8773756,0.88027334,23.8,8.2,0.0,48.8
7,0.01,0.2,0.001,506,0.29346325993537903,0.892307698726654,0.84943503,1.0,0.7307693,0.91815567,0.78748995,0.8976332,0.8914741,19.0,7.0,0.0,39.0,0.28393207490444183,0.9059567928314209,0.8655524,1.0,0.7625,0.92785823,0.8123356,0.8794988,0.87412393,24.4,7.6,0.0,48.8
8,0.01,0.2,0.001,506,0.3020548701286316,0.8861538529396057,0.84243935,1.0,0.7153846,0.9139716,0.77575934,0.89191324,0.895327,18.6,7.4,0.0,39.0,0.3045871466398239,0.8985185265541077,0.8585774,1.0,0.74375,0.9232438,0.7986049,0.8971182,0.90149325,23.8,8.2,0.0,48.8
9,0.01,0.2,0.001,506,0.2687423646450043,0.9076923131942749,0.8682143,1.0,0.7692308,0.9290458,0.81693715,0.8999014,0.89770156,20.0,6.0,0.0,39.0,0.31404571533203124,0.8910802364349365,0.8485271,1.0,0.725,0.9177066,0.78394395,0.85531867,0.8554007,23.2,8.8,0.0,48.8
0,0.01,0.4,0.001,506,0.290212282538414,0.8953846216201782,0.85223645,1.0,0.7384615,0.92003524,0.7931458,0.8995069,0.90935075,19.2,6.8,0.0,39.0,0.2983701229095459,0.9033950567245483,0.86289406,1.0,0.75625,0.9261732,0.8076587,0.8687979,0.8602114,24.2,7.8,0.0,48.8
