config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_inner_es_loss,average_inner_es_accuracy,average_inner_es_precision,average_inner_es_recall,average_inner_es_specificity,average_inner_es_f1_score,average_inner_es_mcc,average_inner_es_auroc,average_inner_es_auprc,average_inner_es_true_positives,average_inner_es_false_negatives,average_inner_es_false_positives,average_inner_es_true_negatives,average_val_loss,average_val_accuracy,average_val_precision,average_val_recall,average_val_specificity,average_val_f1_score,average_val_mcc,average_val_auroc,average_val_auprc,average_val_true_positives,average_val_false_negatives,average_val_false_positives,average_val_true_negatives
6,0.0001,0.2,0.001,506,0.6730390310287475,0.6000000238418579,0.6,1.0,0.0,0.75,0.05063696,0.5072979,0.58701044,0.0,26.0,0.0,39.0,0.6713500022888184,0.6039506196975708,0.6039506,1.0,0.0,0.7530769,0.047290023,0.51916724,0.6104423,0.0,32.0,0.0,48.8
5,0.0001,0.2,0.001,506,0.670706832408905,0.6000000238418579,0.6,1.0,0.0,0.75,0.05063696,0.5934912,0.6473909,0.0,26.0,0.0,39.0,0.6693951249122619,0.6039506196975708,0.6039506,1.0,0.0,0.7530769,0.047290023,0.5857183,0.6333184,0.0,32.0,0.0,48.8
4,0.0001,0.2,0.001,506,0.6657148838043213,0.5969231009483338,0.59875,0.9948718,0.0,0.7475728,0.020097155,0.60157794,0.6720734,0.0,26.0,0.2,38.8,0.6682938933372498,0.6039506196975708,0.6039506,1.0,0.0,0.7530769,0.047290023,0.59998405,0.6442797,0.0,32.0,0.0,48.8
2,0.0001,0.2,0.001,506,0.6702044367790222,0.6000000238418579,0.6,1.0,0.0,0.75,0.05063696,0.54733723,0.6207451,0.0,26.0,0.0,39.0,0.6691419959068299,0.6039506196975708,0.6039506,1.0,0.0,0.7530769,0.047290023,0.5306853,0.6124474,0.0,32.0,0.0,48.8
1,0.0001,0.2,0.001,506,0.6677340030670166,0.5969231009483338,0.59875,0.9948718,0.0,0.7475728,0.020097155,0.64635104,0.6999103,0.0,26.0,0.2,38.8,0.6680686950683594,0.6039506196975708,0.6039506,1.0,0.0,0.7530769,0.047290023,0.59530586,0.6516627,0.0,32.0,0.0,48.8
3,0.0001,0.2,0.001,506,0.6570142507553101,0.6184615612030029,0.6122034,1.0,0.046153847,0.7591837,0.11862292,0.5933925,0.6707949,1.2,24.8,0.0,39.0,0.660109567642212,0.6264506101608276,0.6191619,1.0,0.05625,0.76442146,0.1253716,0.6287919,0.67936087,1.8,30.2,0.0,48.8
0,0.0001,0.2,0.001,506,0.6299142599105835,0.6584615588188172,0.64299595,0.9948718,0.15384616,0.77953297,0.22892113,0.67465484,0.7141651,4.0,22.0,0.2,38.8,0.6418869733810425,0.6459259271621705,0.63529766,0.9877551,0.125,0.77213675,0.18802068,0.68331736,0.7163595,4.0,28.0,0.6,48.2
9,0.0001,0.0,0.001,506,0.4728080928325653,0.8430769324302674,0.81111276,1.0,0.6076923,0.89114666,0.65789086,0.8419132,0.8394884,15.8,10.2,0.0,39.0,0.49273607730865476,0.8219444394111634,0.78639334,1.0,0.55,0.87688905,0.61387175,0.78806466,0.7977249,17.6,14.4,0.0,48.8
8,0.0001,0.0,0.001,506,0.6292406439781189,0.6584615588188172,0.6495652,1.0,0.14615384,0.7835294,0.1979345,0.6526627,0.6933959,3.8,22.2,0.0,39.0,0.6349411725997924,0.6582716107368469,0.64906466,1.0,0.1375,0.78378916,0.18887542,0.62278783,0.684683,4.4,27.6,0.0,48.8
7,0.0001,0.0,0.001,506,0.4992023169994354,0.7784615516662597,0.75279534,1.0,0.44615382,0.85287654,0.49848992,0.7106509,0.7456852,11.6,14.4,0.0,39.0,0.5065698087215423,0.7792592644691467,0.75381285,1.0,0.44375,0.85375816,0.4956997,0.7660077,0.7737125,14.2,17.8,0.0,48.8
