config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_inner_es_loss,average_inner_es_accuracy,average_inner_es_precision,average_inner_es_recall,average_inner_es_specificity,average_inner_es_f1_score,average_inner_es_mcc,average_inner_es_auroc,average_inner_es_auprc,average_inner_es_true_positives,average_inner_es_false_negatives,average_inner_es_false_positives,average_inner_es_true_negatives,average_val_loss,average_val_accuracy,average_val_precision,average_val_recall,average_val_specificity,average_val_f1_score,average_val_mcc,average_val_auroc,average_val_auprc,average_val_true_positives,average_val_false_negatives,average_val_false_positives,average_val_true_negatives
0,0.01,0.4,0.0,506,0.3211147129535675,0.8953846216201782,0.85223645,1.0,0.73846155,0.92003524,0.7931458,0.8991124,0.9057883,19.2,6.8,0.0,39.0,0.34043745398521424,0.9008950591087341,0.86228913,0.9958334,0.75625,0.9240888,0.80112123,0.88170177,0.8807535,24.2,7.8,0.2,48.6
1,0.01,0.4,0.0001,506,0.37079072594642637,0.8984615445137024,0.857522,1.0,0.7461539,0.92268926,0.7994222,0.8792899,0.8839499,19.4,6.6,0.0,39.0,0.378035432100296,0.8910802602767944,0.84924567,1.0,0.725,0.917918,0.78419936,0.8811264,0.8855635,23.2,8.8,0.0,48.8
2,0.01,0.4,0.0,506,0.3575003981590271,0.892307698726654,0.84874886,1.0,0.7307693,0.917945,0.78729373,0.8727811,0.8673669,19.0,7.0,0.0,39.0,0.3567255437374115,0.8912037134170532,0.84890044,1.0,0.725,0.91788024,0.7841476,0.8732023,0.87722635,23.2,8.8,0.0,48.8
3,0.01,0.0,0.0,506,0.2961786538362503,0.9046153903007508,0.86371213,1.0,0.76153845,0.92664254,0.8108181,0.88195276,0.8589381,19.8,6.2,0.0,39.0,0.30491148233413695,0.9059876561164856,0.8661111,1.0,0.7625,0.9280518,0.8124612,0.8784944,0.86641914,24.4,7.6,0.0,48.8
4,0.01,0.2,0.0001,506,0.36293047070503237,0.8953846216201782,0.8550166,1.0,0.73846155,0.9208829,0.79395276,0.871006,0.8702814,19.2,6.8,0.0,39.0,0.3748321831226349,0.8886728525161743,0.8455864,1.0,0.71875,0.9160141,0.7792672,0.8660714,0.8533186,23.0,9.0,0.0,48.8
5,0.01,0.4,0.0001,506,0.3715792417526245,0.8830769300460816,0.8381893,1.0,0.7076923,0.91163427,0.76977503,0.8739645,0.89393204,18.4,7.6,0.0,39.0,0.3702832877635956,0.8985802412033081,0.8584255,1.0,0.74375,0.92325133,0.7984567,0.8766302,0.86665934,23.8,8.2,0.0,48.8
6,0.01,0.4,0.0001,506,0.39830116629600526,0.8830769300460816,0.8382472,1.0,0.7076923,0.91164446,0.7698541,0.84615386,0.82913256,18.4,7.6,0.0,39.0,0.3738215446472168,0.8959876537322998,0.85541725,1.0,0.7375,0.92143786,0.79369897,0.87889034,0.8746544,23.6,8.4,0.0,48.8
7,0.01,0.4,0.0001,506,0.37899035811424253,0.892307698726654,0.84943503,1.0,0.7307693,0.91815567,0.78748995,0.86370814,0.86148053,19.0,7.0,0.0,39.0,0.3642692565917969,0.9034876585006714,0.86237067,1.0,0.75625,0.92606336,0.8075347,0.88080615,0.87127876,24.2,7.8,0.0,48.8
8,0.01,0.2,0.0,506,0.34874799847602844,0.8861538529396057,0.8424395,1.0,0.7153846,0.9139716,0.77575934,0.870217,0.8613213,18.6,7.4,0.0,39.0,0.3486766517162323,0.8960493922233581,0.85561305,1.0,0.7375,0.9215156,0.7938625,0.88561726,0.88824606,23.6,8.4,0.0,48.8
9,0.01,0.2,0.0,506,0.31732532382011414,0.9076923131942749,0.8682143,1.0,0.7692307,0.9290458,0.8169371,0.8754438,0.8625229,20.0,6.0,0.0,39.0,0.351332825422287,0.8910802364349365,0.8485271,1.0,0.725,0.9177066,0.7839439,0.86351377,0.8672045,23.2,8.8,0.0,48.8
