config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_inner_es_loss,average_inner_es_accuracy,average_inner_es_precision,average_inner_es_recall,average_inner_es_specificity,average_inner_es_f1_score,average_inner_es_mcc,average_inner_es_auroc,average_inner_es_auprc,average_inner_es_true_positives,average_inner_es_false_negatives,average_inner_es_false_positives,average_inner_es_true_negatives,average_val_loss,average_val_accuracy,average_val_precision,average_val_recall,average_val_specificity,average_val_f1_score,average_val_mcc,average_val_auroc,average_val_auprc,average_val_true_positives,average_val_false_negatives,average_val_false_positives,average_val_true_negatives
0,0.01,0.0,0.001,506,0.2902564644813538,0.8953846216201782,0.85223645,1.0,0.7384615,0.92003524,0.7931458,0.8957594,0.9050768,19.2,6.8,0.0,39.0,0.2940907418727875,0.9033950567245483,0.86289406,1.0,0.75625,0.9261732,0.8076587,0.86210406,0.8580867,24.2,7.8,0.0,48.8
1,0.001,0.0,0.1,506,0.28671592473983765,0.9015384674072265,0.8611299,1.0,0.75384617,0.9248233,0.8052598,0.89013803,0.88768274,19.6,6.4,0.0,39.0,0.3116044580936432,0.8960185289382935,0.8546916,1.0,0.7375,0.9212176,0.79361427,0.8589379,0.850546,23.6,8.4,0.0,48.8
2,0.0001,0.0,0.001,506,0.3165884554386139,0.8892307758331299,0.8451411,1.0,0.72307694,0.9158109,0.7814561,0.86410254,0.85903245,18.8,7.2,0.0,39.0,0.30779043436050413,0.8936728477478028,0.85166883,1.0,0.73125,0.91954505,0.7888578,0.8738348,0.877514,23.4,8.6,0.0,48.8
3,0.001,0.2,0.1,506,0.2868276298046112,0.9015384674072265,0.859944,1.0,0.75384617,0.92445767,0.80494374,0.9032545,0.90854514,19.6,6.4,0.0,39.0,0.2867809057235718,0.9059876561164856,0.8661111,1.0,0.7625,0.9280518,0.8124612,0.90088224,0.8950632,24.4,7.6,0.0,48.8
4,0.001,0.4,0.001,506,0.2952526122331619,0.8953846216201782,0.8550166,1.0,0.7384616,0.9208828,0.7939527,0.8613413,0.8586332,19.2,6.8,0.0,39.0,0.31359288692474363,0.8961111187934876,0.85426474,1.0,0.7375,0.92114127,0.79350483,0.8633424,0.8536812,23.6,8.4,0.0,48.8
5,0.01,0.4,0.001,506,0.317399001121521,0.8830769300460816,0.8381893,1.0,0.70769227,0.91163427,0.769775,0.85246545,0.8657913,18.4,7.6,0.0,39.0,0.2996705949306488,0.8985802412033081,0.8584255,1.0,0.74375,0.9232513,0.7984567,0.867816,0.8554236,23.8,8.2,0.0,48.8
6,0.001,0.4,0.001,506,0.3182842254638672,0.8830769300460816,0.8382472,1.0,0.70769227,0.9116446,0.7698541,0.85660756,0.8485031,18.4,7.6,0.0,39.0,0.30017237067222596,0.8984567999839783,0.8580085,1.0,0.74375,0.9230431,0.7984056,0.8753082,0.8694253,23.8,8.2,0.0,48.8
7,0.01,0.4,0.1,506,0.30062582194805143,0.892307698726654,0.84943503,1.0,0.7307693,0.91815567,0.78748995,0.8777121,0.8740342,19.0,7.0,0.0,39.0,0.2813483625650406,0.9059567928314209,0.8655524,1.0,0.7625,0.92785823,0.8123356,0.88181335,0.87816274,24.4,7.6,0.0,48.8
8,0.001,0.2,0.01,506,0.313649508357048,0.8861538529396057,0.84243935,1.0,0.7153846,0.9139716,0.77575934,0.8522682,0.8525689,18.6,7.4,0.0,39.0,0.3009882390499115,0.8985185265541077,0.8585774,1.0,0.74375,0.9232438,0.7986049,0.89304984,0.9012272,23.8,8.2,0.0,48.8
9,0.01,0.2,0.001,506,0.26978892385959624,0.9076923131942749,0.8682143,1.0,0.7692308,0.9290458,0.81693715,0.8780079,0.8565857,20.0,6.0,0.0,39.0,0.31254541873931885,0.8910802364349365,0.8485271,1.0,0.725,0.9177066,0.78394395,0.8589219,0.8529415,23.2,8.8,0.0,48.8
