config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_inner_es_loss,average_inner_es_accuracy,average_inner_es_precision,average_inner_es_recall,average_inner_es_specificity,average_inner_es_f1_score,average_inner_es_mcc,average_inner_es_auroc,average_inner_es_auprc,average_inner_es_true_positives,average_inner_es_false_negatives,average_inner_es_false_positives,average_inner_es_true_negatives,average_val_loss,average_val_accuracy,average_val_precision,average_val_recall,average_val_specificity,average_val_f1_score,average_val_mcc,average_val_auroc,average_val_auprc,average_val_true_positives,average_val_false_negatives,average_val_false_positives,average_val_true_negatives
9,0.0001,0.4,0.1,506,0.27977904975414275,0.9076923131942749,0.8682143,1.0,0.7692307,0.9290458,0.8169371,0.884714,0.8868044,20.0,6.0,0.0,39.0,0.326173859834671,0.8910802364349365,0.8485271,1.0,0.725,0.9177066,0.7839439,0.84827936,0.8254434,23.2,8.8,0.0,48.8
8,0.0001,0.4,0.1,506,0.3309059262275696,0.8861538529396057,0.8424395,1.0,0.7153846,0.9139716,0.77575934,0.84437865,0.8461318,18.6,7.4,0.0,39.0,0.3127447575330734,0.8985185265541077,0.8585774,1.0,0.74375,0.9232438,0.7986049,0.87703687,0.88446605,23.8,8.2,0.0,48.8
7,0.0001,0.4,0.1,506,0.3096971660852432,0.892307698726654,0.84943503,1.0,0.7307693,0.91815567,0.78748995,0.8820513,0.8811124,19.0,7.0,0.0,39.0,0.2929532527923584,0.9059567928314209,0.8655524,1.0,0.7625,0.9278582,0.8123356,0.8945206,0.89681196,24.4,7.6,0.0,48.8
6,0.0001,0.4,0.1,506,0.3404039442539215,0.8830769300460816,0.8382472,1.0,0.7076923,0.9116446,0.7698541,0.8633137,0.84351987,18.4,7.6,0.0,39.0,0.3298523843288422,0.8984567999839783,0.8580085,1.0,0.74375,0.9230431,0.7984055,0.87162524,0.8730626,23.8,8.2,0.0,48.8
5,0.0001,0.4,0.1,506,0.3403483390808105,0.8830769300460816,0.8381893,1.0,0.7076923,0.91163427,0.769775,0.83688366,0.8423397,18.4,7.6,0.0,39.0,0.32296437621116636,0.8985802412033081,0.85842544,1.0,0.74375,0.92325133,0.7984567,0.861457,0.86222494,23.8,8.2,0.0,48.8
4,0.0001,0.4,0.1,506,0.301959952712059,0.8953846216201782,0.8550166,1.0,0.7384616,0.9208828,0.7939527,0.85897434,0.8546587,19.2,6.8,0.0,39.0,0.3321503043174744,0.8961111187934876,0.8542646,1.0,0.7375,0.9211413,0.79350483,0.86554796,0.86548424,23.6,8.4,0.0,48.8
3,0.0001,0.4,0.1,506,0.29879285097122193,0.9015384674072265,0.859944,1.0,0.75384617,0.92445767,0.8049437,0.8864892,0.88302326,19.6,6.4,0.0,39.0,0.2975571036338806,0.9059876561164856,0.8661111,1.0,0.7625,0.9280518,0.8124612,0.8906702,0.8983572,24.4,7.6,0.0,48.8
2,0.0001,0.4,0.1,506,0.3249226450920105,0.8892307758331299,0.8451411,1.0,0.72307694,0.91581094,0.7814561,0.848718,0.83207816,18.8,7.2,0.0,39.0,0.3203276216983795,0.8936728477478028,0.85166883,1.0,0.73125,0.9195452,0.7888578,0.85678816,0.8501806,23.4,8.6,0.0,48.8
1,0.0001,0.4,0.1,506,0.2906877964735031,0.9015384674072265,0.8611299,1.0,0.75384617,0.9248233,0.8052598,0.8804733,0.87477523,19.6,6.4,0.0,39.0,0.31893137097358704,0.8960185289382935,0.8546916,1.0,0.7375,0.9212176,0.79361427,0.85363925,0.8449438,23.6,8.4,0.0,48.8
0,0.0001,0.4,0.1,506,0.312401020526886,0.8953846216201782,0.85223645,1.0,0.73846155,0.92003524,0.7931458,0.87879676,0.87530184,19.2,6.8,0.0,39.0,0.30556751489639283,0.9033950567245483,0.86289406,1.0,0.75625,0.9261732,0.8076587,0.86819994,0.8585126,24.2,7.8,0.0,48.8
