config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_outer_es_loss,average_outer_es_accuracy,average_outer_es_precision,average_outer_es_recall,average_outer_es_specificity,average_outer_es_f1_score,average_outer_es_mcc,average_outer_es_auroc,average_outer_es_auprc,average_outer_es_true_positives,average_outer_es_false_negatives,average_outer_es_false_positives,average_outer_es_true_negatives,average_test_loss,average_test_accuracy,average_test_precision,average_test_recall,average_test_specificity,average_test_f1_score,average_test_mcc,average_test_auroc,average_test_auprc,average_test_true_positives,average_test_false_negatives,average_test_false_positives,average_test_true_negatives
0,0.0001,0.4,0.001,506,0.28785888850688934,0.9036111116409302,0.8651044,1.0,0.75625,0.9269699,0.8082975,0.8674346,0.8580629,24.2,7.8,0.0,48.8,0.3441884458065033,0.8823529481887817,0.8378378,1.0,0.7,0.91176474,0.765824,0.8556452,0.8487423,28.0,12.0,0.0,62.0
1,0.001,0.4,0.01,506,0.29240464568138125,0.8935802340507507,0.85391724,0.9959184,0.7375,0.9191948,0.7864656,0.88252556,0.88602847,23.6,8.4,0.2,48.6,0.2755827307701111,0.9117646813392639,0.8732394,1.0,0.775,0.9323309,0.82265455,0.87749994,0.86608773,31.0,9.0,0.0,62.0
2,0.01,0.4,0.01,506,0.29830294847488403,0.8935185313224793,0.8523793,1.0,0.73125,0.91966707,0.78907,0.8669497,0.8735835,23.4,8.6,0.0,48.8,0.265395587682724,0.9215686321258545,0.88571435,1.0,0.8,0.9393939,0.84176683,0.882621,0.8668264,32.0,8.0,0.0,62.0
3,0.01,0.2,0.01,506,0.27099800705909727,0.9059876561164856,0.8664626,1.0,0.7625,0.9281562,0.8125782,0.90546477,0.9025459,24.4,7.6,0.0,48.8,0.39288398027420046,0.8588235139846802,0.8232692,0.9774194,0.675,0.89362115,0.7120861,0.797258,0.80402815,27.0,13.0,1.4,60.6
4,0.0001,0.0,0.001,506,0.29892915189266206,0.8961419820785522,0.85432625,1.0,0.7375,0.9211763,0.7935352,0.8641941,0.84692353,23.6,8.4,0.0,48.8,0.27541940808296206,0.9117646813392639,0.8732394,1.0,0.775,0.9323309,0.82265455,0.88689506,0.8792588,31.0,9.0,0.0,62.0
5,0.01,0.2,0.001,506,0.30815240144729616,0.8936111211776734,0.85593045,0.9918367,0.74375,0.91867656,0.7856402,0.8729951,0.87022525,23.8,8.2,0.4,48.4,0.29623262882232665,0.9,0.8628019,0.9935484,0.755,0.92350465,0.79793876,0.8802822,0.8733428,30.2,9.8,0.4,61.6
6,0.0001,0.0,0.001,506,0.29655222296714784,0.8985185146331787,0.8566917,1.0,0.74375,0.92267096,0.79808223,0.8666587,0.8696343,23.8,8.2,0.0,48.8,0.2908173859119415,0.9019607901573181,0.86111104,1.0,0.75,0.9253732,0.8036375,0.86741936,0.85839987,30.0,10.0,0.0,62.0
7,0.0001,0.4,0.1,506,0.2851531982421875,0.9058641910552978,0.86584634,1.0,0.7625,0.92789936,0.8123884,0.8972882,0.89290494,24.4,7.6,0.0,48.8,0.37147530913352966,0.8725489974021912,0.82666665,1.0,0.675,0.9051095,0.74699396,0.8057661,0.79564685,27.0,13.0,0.0,62.0
8,0.001,0.4,0.1,506,0.2916309267282486,0.8985185146331787,0.8568033,1.0,0.74375,0.9227048,0.79811466,0.88799965,0.8903764,23.8,8.2,0.0,48.8,0.3023983657360077,0.9,0.86071986,0.9967742,0.75,0.9237572,0.7987093,0.83052415,0.8071483,30.0,10.0,0.2,61.8
9,0.01,0.4,0.1,506,0.3060101091861725,0.8911110997200012,0.8485702,1.0,0.725,0.9177367,0.78396094,0.867679,0.87854874,23.2,8.8,0.0,48.8,0.24144190549850464,0.9313725233078003,0.8985508,1.0,0.825,0.94656485,0.86099035,0.9082662,0.9000021,33.0,7.0,0.0,62.0
