config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate_normal,config/train_loop_config/dropout_rate_attention,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_inner_es_loss,average_inner_es_accuracy,average_inner_es_precision,average_inner_es_recall,average_inner_es_specificity,average_inner_es_f1_score,average_inner_es_mcc,average_inner_es_auroc,average_inner_es_auprc,average_inner_es_true_positives,average_inner_es_false_negatives,average_inner_es_false_positives,average_inner_es_true_negatives,average_val_loss,average_val_accuracy,average_val_precision,average_val_recall,average_val_specificity,average_val_f1_score,average_val_mcc,average_val_auroc,average_val_auprc,average_val_true_positives,average_val_false_negatives,average_val_false_positives,average_val_true_negatives
0,0.01,0.4,0.4,0.0,506,0.3179274260997772,0.892307698726654,0.8516304,0.9948718,0.73846155,0.91745347,0.7856389,0.88372785,0.88035953,19.2,6.8,0.2,38.8,0.321020644903183,0.8959876537322998,0.8614669,0.9877551,0.75625,0.9199823,0.78970516,0.88468856,0.8913557,24.2,7.8,0.6,48.2
1,0.01,0.0,0.0,0.001,506,0.315258201956749,0.9015384674072265,0.8611299,1.0,0.75384617,0.9248233,0.8052598,0.8601578,0.8466579,19.6,6.4,0.0,39.0,0.3253399282693863,0.8935185313224793,0.8541277,0.9958334,0.7375,0.9191297,0.78723776,0.8787508,0.8761767,23.6,8.4,0.2,48.6
2,0.01,0.0,0.2,0.001,506,0.32101173996925353,0.8892307758331299,0.8451411,1.0,0.72307694,0.91581094,0.7814561,0.8676528,0.8717352,18.8,7.2,0.0,39.0,0.32113355994224546,0.8936728477478028,0.85166883,1.0,0.73125,0.9195452,0.7888578,0.87812364,0.882548,23.4,8.6,0.0,48.8
3,0.001,0.0,0.0,0.001,506,0.2944829106330872,0.9015384674072265,0.859944,1.0,0.75384617,0.92445767,0.80494374,0.8898422,0.8928812,19.6,6.4,0.0,39.0,0.2992988884449005,0.9059876561164856,0.8661111,1.0,0.7625,0.9280518,0.8124612,0.887399,0.888713,24.4,7.6,0.0,48.8
4,0.01,0.0,0.2,0.001,506,0.3089175671339035,0.8953846216201782,0.8550166,1.0,0.73846155,0.9208828,0.79395276,0.8664695,0.8750788,19.2,6.8,0.0,39.0,0.32852997779846194,0.8961111187934876,0.8542646,1.0,0.7375,0.9211413,0.79350483,0.87105924,0.8651282,23.6,8.4,0.0,48.8
5,0.01,0.0,0.0,0.0,506,0.3588091850280762,0.8738461613655091,0.83284694,0.9897436,0.7,0.9043187,0.74739325,0.8238659,0.8199178,18.2,7.8,0.4,38.6,0.3171100914478302,0.8936419725418091,0.8572361,0.9918367,0.74375,0.91912824,0.7857998,0.86312044,0.86074144,23.8,8.2,0.4,48.4
6,0.1,0.2,0.0,0.0001,506,0.3917116284370422,0.8615384697914124,0.82216185,0.9897436,0.66923076,0.89696014,0.72495896,0.8457594,0.83843577,17.4,8.6,0.4,38.6,0.37784150540828704,0.8861111283302308,0.8528968,0.98367345,0.7375,0.9130093,0.7695011,0.88806075,0.8898759,23.6,8.4,0.8,48.0
7,0.1,0.2,0.4,0.0001,506,0.4162144660949707,0.836923086643219,0.8013457,0.9897436,0.6076923,0.88269883,0.6755823,0.8416173,0.8278915,15.8,10.2,0.4,38.6,0.4027903974056244,0.8536728382110595,0.8107988,1.0,0.63125,0.89391917,0.7119471,0.8840402,0.87835014,20.2,11.8,0.0,48.8
8,0.01,0.0,0.4,0.0,506,0.33445675671100616,0.8830769300460816,0.84154147,0.9948718,0.7153846,0.91141796,0.7669858,0.8550296,0.86096257,18.6,7.4,0.2,38.8,0.3124550759792328,0.8985185265541077,0.8585774,1.0,0.74375,0.9232437,0.7986049,0.88892287,0.8899854,23.8,8.2,0.0,48.8
9,0.1,0.0,0.0,0.0,506,0.31249540448188784,0.9046153903007508,0.86722726,0.9948718,0.7692307,0.9263689,0.8091424,0.8817555,0.88172567,20.0,6.0,0.2,38.8,0.33599537014961245,0.883672833442688,0.84878206,0.98367345,0.73125,0.91110706,0.7630235,0.88016975,0.88520956,23.4,8.6,0.8,48.0
