config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_inner_es_loss,average_inner_es_accuracy,average_inner_es_precision,average_inner_es_recall,average_inner_es_specificity,average_inner_es_f1_score,average_inner_es_mcc,average_inner_es_auroc,average_inner_es_auprc,average_inner_es_true_positives,average_inner_es_false_negatives,average_inner_es_false_positives,average_inner_es_true_negatives,average_val_loss,average_val_accuracy,average_val_precision,average_val_recall,average_val_specificity,average_val_f1_score,average_val_mcc,average_val_auroc,average_val_auprc,average_val_true_positives,average_val_false_negatives,average_val_false_positives,average_val_true_negatives
0,0.01,0.4,0.0001,506,0.33023996353149415,0.8953846216201782,0.85223645,1.0,0.73846155,0.92003524,0.79314584,0.8886588,0.8879143,19.2,6.8,0.0,39.0,0.3448567032814026,0.9033950567245483,0.86289406,1.0,0.75625,0.9261732,0.8076587,0.87932336,0.8799917,24.2,7.8,0.0,48.8
1,0.01,0.4,0.0001,506,0.341951584815979,0.8984615445137024,0.857522,1.0,0.7461539,0.92268926,0.7994222,0.8863905,0.8946926,19.4,6.6,0.0,39.0,0.35847267508506775,0.8960185289382935,0.8546916,1.0,0.7375,0.92121774,0.79361427,0.8810042,0.8871824,23.6,8.4,0.0,48.8
2,0.01,0.4,0.0001,506,0.3779326379299164,0.8892307758331299,0.84498084,1.0,0.72307694,0.91576016,0.7814194,0.86114395,0.8588166,18.8,7.2,0.0,39.0,0.36274051666259766,0.8936728477478028,0.8516687,1.0,0.73125,0.9195452,0.7888578,0.8792106,0.8829409,23.4,8.6,0.0,48.8
3,0.001,0.0,0.0001,506,0.3013561308383942,0.8984615445137024,0.8623082,0.9897436,0.7615384,0.9214946,0.7950889,0.8821499,0.8611563,19.8,6.2,0.4,38.6,0.30867268741130827,0.9035185217857361,0.86565655,0.9959184,0.7625,0.9260005,0.8064434,0.8840004,0.87840843,24.4,7.6,0.2,48.6
4,0.01,0.4,0.0001,506,0.3524517327547073,0.8953846216201782,0.8550166,1.0,0.73846155,0.9208828,0.79395276,0.87850094,0.8738581,19.2,6.8,0.0,39.0,0.36583018898963926,0.8911728501319885,0.8509119,0.9959184,0.73125,0.91743404,0.7823163,0.866199,0.85403764,23.4,8.6,0.2,48.6
5,0.01,0.4,0.0001,506,0.36285879611968996,0.8800000071525573,0.8372914,0.9948718,0.7076923,0.9090806,0.76100147,0.8727811,0.8912527,18.4,7.6,0.2,38.8,0.3596450388431549,0.8985802412033081,0.85842544,1.0,0.74375,0.92325133,0.7984567,0.8761147,0.87083805,23.8,8.2,0.0,48.8
6,0.01,0.4,0.0001,506,0.38457525968551637,0.8830769300460816,0.8382472,1.0,0.7076923,0.91164446,0.7698541,0.84556216,0.8290965,18.4,7.6,0.0,39.0,0.36405531167984007,0.8959876537322998,0.85541725,1.0,0.7375,0.92143786,0.7936989,0.8814573,0.8732858,23.6,8.4,0.0,48.8
7,0.01,0.0,0.0,506,0.32621744871139524,0.892307698726654,0.84943503,1.0,0.7307693,0.91815567,0.78748995,0.8593689,0.8558404,19.0,7.0,0.0,39.0,0.30614752173423765,0.9059567928314209,0.8655524,1.0,0.7625,0.92785823,0.8123356,0.88571423,0.8788401,24.4,7.6,0.0,48.8
8,0.01,0.4,0.0001,506,0.36079129576683044,0.8830769300460816,0.8393806,1.0,0.7076923,0.912024,0.76993304,0.8714005,0.8619739,18.4,7.6,0.0,39.0,0.3540508091449738,0.8911111116409302,0.85515153,0.9918367,0.7375,0.91735524,0.78313076,0.8852638,0.88601017,23.6,8.4,0.4,48.4
9,0.01,0.0,0.0001,506,0.2949972301721573,0.9076923131942749,0.86821425,1.0,0.7692307,0.9290458,0.81693715,0.8882643,0.8701452,20.0,6.0,0.0,39.0,0.3318313777446747,0.8910802364349365,0.8485271,1.0,0.725,0.9177066,0.78394395,0.8650603,0.8616193,23.2,8.8,0.0,48.8
