config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_inner_es_loss,average_inner_es_accuracy,average_inner_es_precision,average_inner_es_recall,average_inner_es_specificity,average_inner_es_f1_score,average_inner_es_mcc,average_inner_es_auroc,average_inner_es_auprc,average_inner_es_true_positives,average_inner_es_false_negatives,average_inner_es_false_positives,average_inner_es_true_negatives,average_val_loss,average_val_accuracy,average_val_precision,average_val_recall,average_val_specificity,average_val_f1_score,average_val_mcc,average_val_auroc,average_val_auprc,average_val_true_positives,average_val_false_negatives,average_val_false_positives,average_val_true_negatives
0,0.01,0.0,0.001,506,0.290288519859314,0.8953846216201782,0.85223645,1.0,0.7384615,0.92003524,0.7931458,0.89674556,0.9099013,19.2,6.8,0.0,39.0,0.30103379786014556,0.9033950567245483,0.86289406,1.0,0.75625,0.9261732,0.8076587,0.8587877,0.8522245,24.2,7.8,0.0,48.8
1,0.01,0.0,0.001,506,0.2742466539144516,0.9015384674072265,0.8611299,1.0,0.75384617,0.9248233,0.8052598,0.90374756,0.90626734,19.6,6.4,0.0,39.0,0.3376617044210434,0.8910493850708008,0.8538374,0.9917517,0.7375,0.91707194,0.7816385,0.84972227,0.8475145,23.6,8.4,0.4,48.4
2,0.01,0.0,0.001,506,0.3124035358428955,0.8861538529396057,0.84453505,0.9948718,0.72307694,0.91322917,0.77394927,0.86587775,0.8620266,18.8,7.2,0.2,38.8,0.31048470437526704,0.8936728477478028,0.8516687,1.0,0.73125,0.9195452,0.7888578,0.8722909,0.87978125,23.4,8.6,0.0,48.8
3,0.01,0.0,0.001,506,0.2807644039392471,0.9015384674072265,0.859944,1.0,0.75384617,0.92445767,0.80494374,0.89674556,0.8991906,19.6,6.4,0.0,39.0,0.28495014309883115,0.9059876561164856,0.8661111,1.0,0.7625,0.9280518,0.8124612,0.89184475,0.89558536,24.4,7.6,0.0,48.8
4,0.01,0.0,0.001,506,0.2909226715564728,0.8953846216201782,0.8550166,1.0,0.7384616,0.9208828,0.7939527,0.8660749,0.86888564,19.2,6.8,0.0,39.0,0.32518374621868135,0.8961111187934876,0.85426474,1.0,0.7375,0.92114127,0.79350483,0.8614184,0.84760654,23.6,8.4,0.0,48.8
5,0.01,0.0,0.001,506,0.3217931389808655,0.8830769300460816,0.8381893,1.0,0.70769227,0.91163427,0.769775,0.85325444,0.86658037,18.4,7.6,0.0,39.0,0.316683241724968,0.8961111068725586,0.8579709,0.9959184,0.74375,0.9212,0.7924389,0.8488959,0.8292473,23.8,8.2,0.2,48.6
6,0.01,0.0,0.001,506,0.31441872715950014,0.8830769300460816,0.8382472,1.0,0.70769227,0.9116446,0.7698541,0.87455624,0.87019074,18.4,7.6,0.0,39.0,0.3108496367931366,0.8984567999839783,0.8580085,1.0,0.74375,0.9230431,0.7984056,0.8721514,0.86722964,23.8,8.2,0.0,48.8
7,0.01,0.0,0.001,506,0.2968646645545959,0.892307698726654,0.84943503,1.0,0.7307693,0.91815567,0.78748995,0.8846154,0.87798184,19.0,7.0,0.0,39.0,0.28703446686267853,0.9034567832946777,0.865081,0.9958333,0.7625,0.9257642,0.8062631,0.8793952,0.8668531,24.4,7.6,0.2,48.6
8,0.01,0.0,0.001,506,0.3118810623884201,0.8861538529396057,0.84243935,1.0,0.7153846,0.9139716,0.77575934,0.87021697,0.8720004,18.6,7.4,0.0,39.0,0.30925147533416747,0.8985185265541077,0.8585774,1.0,0.74375,0.9232438,0.7986049,0.88827455,0.8907074,23.8,8.2,0.0,48.8
9,0.01,0.0,0.001,506,0.27117796838283537,0.9076923131942749,0.8682143,1.0,0.7692308,0.9290458,0.81693715,0.8906312,0.8857625,20.0,6.0,0.0,39.0,0.3197884500026703,0.8910802364349365,0.8485271,1.0,0.725,0.9177066,0.78394395,0.84793127,0.842931,23.2,8.8,0.0,48.8
0,0.01,0.2,0.001,506,0.2912499725818634,0.8953846216201782,0.85223645,1.0,0.7384615,0.92003524,0.7931458,0.89753455,0.91404593,19.2,6.8,0.0,39.0,0.29673885703086855,0.9033950567245483,0.86289406,1.0,0.75625,0.9261732,0.8076587,0.8621572,0.8548878,24.2,7.8,0.0,48.8
1,0.01,0.2,0.001,506,0.2755314737558365,0.9015384674072265,0.8611299,1.0,0.75384617,0.9248233,0.8052598,0.9080868,0.90981853,19.6,6.4,0.0,39.0,0.32459143698215487,0.8910493850708008,0.8538374,0.9917517,0.7375,0.91707194,0.7816385,0.85553914,0.85348827,23.6,8.4,0.4,48.4
2,0.01,0.2,0.001,506,0.3104915738105774,0.8892307758331299,0.8451411,1.0,0.72307694,0.91581094,0.7814561,0.869428,0.87253255,18.8,7.2,0.0,39.0,0.30675352811813356,0.8936728477478028,0.8516687,1.0,0.73125,0.9195452,0.7888578,0.8726231,0.8782776,23.4,8.6,0.0,48.8
3,0.01,0.2,0.001,506,0.2818138897418976,0.8984615445137024,0.8592676,0.9948718,0.75384617,0.9218806,0.7972098,0.89852065,0.9060575,19.6,6.4,0.2,38.8,0.28264482915401457,0.9059876561164856,0.8661111,1.0,0.7625,0.9280518,0.8124612,0.8951664,0.9028366,24.4,7.6,0.0,48.8
