config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_inner_es_loss,average_inner_es_accuracy,average_inner_es_precision,average_inner_es_recall,average_inner_es_specificity,average_inner_es_f1_score,average_inner_es_mcc,average_inner_es_auroc,average_inner_es_auprc,average_inner_es_true_positives,average_inner_es_false_negatives,average_inner_es_false_positives,average_inner_es_true_negatives,average_val_loss,average_val_accuracy,average_val_precision,average_val_recall,average_val_specificity,average_val_f1_score,average_val_mcc,average_val_auroc,average_val_auprc,average_val_true_positives,average_val_false_negatives,average_val_false_positives,average_val_true_negatives
0,0.001,0.2,0.01,506,0.2916122913360596,0.8953846216201782,0.85223645,1.0,0.7384615,0.92003524,0.7931458,0.9046351,0.91789234,19.2,6.8,0.0,39.0,0.2936486005783081,0.9033950567245483,0.86289406,1.0,0.75625,0.9261732,0.8076587,0.8694436,0.87495136,24.2,7.8,0.0,48.8
1,0.001,0.4,0.001,506,0.2884367495775223,0.9015384674072265,0.8611299,1.0,0.75384617,0.9248233,0.8052598,0.8706115,0.8614849,19.6,6.4,0.0,39.0,0.30812721252441405,0.8960185289382935,0.8546916,1.0,0.7375,0.9212176,0.79361427,0.87029,0.8686954,23.6,8.4,0.0,48.8
2,0.01,0.4,0.001,506,0.31062087416648865,0.8892307758331299,0.8451411,1.0,0.72307694,0.91581094,0.7814561,0.8656804,0.86564225,18.8,7.2,0.0,39.0,0.30331611931324004,0.8936728477478028,0.8516687,1.0,0.73125,0.9195452,0.7888578,0.8784877,0.88713235,23.4,8.6,0.0,48.8
3,0.01,0.0,0.1,506,0.29288008213043215,0.9015384674072265,0.859944,1.0,0.75384617,0.92445767,0.80494374,0.879783,0.86768275,19.6,6.4,0.0,39.0,0.2925582051277161,0.9059876561164856,0.8661111,1.0,0.7625,0.9280518,0.8124612,0.89625853,0.8949976,24.4,7.6,0.0,48.8
4,0.01,0.0,0.001,506,0.2909226715564728,0.8953846216201782,0.8550166,1.0,0.7384616,0.9208828,0.7939527,0.8660749,0.86888564,19.2,6.8,0.0,39.0,0.32518374621868135,0.8961111187934876,0.85426474,1.0,0.7375,0.92114127,0.79350483,0.8614184,0.84760654,23.6,8.4,0.0,48.8
5,0.01,0.0,0.1,506,0.33151577711105346,0.8830769300460816,0.8381893,1.0,0.70769227,0.91163427,0.769775,0.8508876,0.8577183,18.4,7.6,0.0,39.0,0.3211352676153183,0.8985802412033081,0.8584255,1.0,0.74375,0.9232513,0.7984567,0.86033297,0.85816085,23.8,8.2,0.0,48.8
6,0.0001,0.4,0.001,506,0.32526262700557707,0.8830769300460816,0.8382472,1.0,0.70769227,0.9116446,0.7698541,0.8603551,0.85496044,18.4,7.6,0.0,39.0,0.3026482850313187,0.8984567999839783,0.8580085,1.0,0.74375,0.9230431,0.7984056,0.87663424,0.8827199,23.8,8.2,0.0,48.8
7,0.0001,0.0,0.1,506,0.3147277355194092,0.892307698726654,0.84943503,1.0,0.7307693,0.91815567,0.78748995,0.8753451,0.87815714,19.0,7.0,0.0,39.0,0.287811803817749,0.9059567928314209,0.8655524,1.0,0.7625,0.92785823,0.8123356,0.8843006,0.88514215,24.4,7.6,0.0,48.8
8,0.001,0.2,0.001,506,0.30835776031017303,0.8861538529396057,0.84243935,1.0,0.7153846,0.9139716,0.77575934,0.87140036,0.87819254,18.6,7.4,0.0,39.0,0.30314627289772034,0.8985185265541077,0.8585774,1.0,0.74375,0.9232438,0.7986049,0.8995363,0.90685475,23.8,8.2,0.0,48.8
9,0.01,0.2,0.01,506,0.274172767996788,0.9076923131942749,0.8682143,1.0,0.7692308,0.9290458,0.81693715,0.8892506,0.8701619,20.0,6.0,0.0,39.0,0.31524636745452883,0.8910802364349365,0.8485271,1.0,0.725,0.9177066,0.78394395,0.85186404,0.8462526,23.2,8.8,0.0,48.8
