config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_inner_es_loss,average_inner_es_accuracy,average_inner_es_precision,average_inner_es_recall,average_inner_es_specificity,average_inner_es_f1_score,average_inner_es_mcc,average_inner_es_auroc,average_inner_es_auprc,average_inner_es_true_positives,average_inner_es_false_negatives,average_inner_es_false_positives,average_inner_es_true_negatives,average_val_loss,average_val_accuracy,average_val_precision,average_val_recall,average_val_specificity,average_val_f1_score,average_val_mcc,average_val_auroc,average_val_auprc,average_val_true_positives,average_val_false_negatives,average_val_false_positives,average_val_true_negatives
0,0.0001,0.0,0.01,506,0.29414657056331633,0.8953846216201782,0.85223645,1.0,0.7384615,0.92003524,0.7931458,0.89122283,0.89807624,19.2,6.8,0.0,39.0,0.288149493932724,0.9033950567245483,0.86289406,1.0,0.75625,0.9261732,0.8076587,0.8788185,0.89285505,24.2,7.8,0.0,48.8
1,0.001,0.0,0.001,506,0.2785423547029495,0.9015384674072265,0.8611299,1.0,0.75384617,0.9248233,0.8052598,0.88500977,0.8810357,19.6,6.4,0.0,39.0,0.31075129806995394,0.8935185313224793,0.8541277,0.9958333,0.7375,0.9191297,0.78723776,0.86586016,0.8660663,23.6,8.4,0.2,48.6
2,0.01,0.4,0.001,506,0.3033659398555756,0.8892307758331299,0.8451411,1.0,0.72307694,0.91581094,0.7814561,0.8812624,0.8870863,18.8,7.2,0.0,39.0,0.305839815735817,0.8936728477478028,0.8516687,1.0,0.73125,0.9195452,0.7888578,0.87255925,0.8677985,23.4,8.6,0.0,48.8
3,0.0001,0.4,0.1,506,0.2873730421066284,0.9015384674072265,0.859944,1.0,0.75384617,0.92445767,0.80494374,0.8965484,0.8954476,19.6,6.4,0.0,39.0,0.2837490051984787,0.9059876561164856,0.8661111,1.0,0.7625,0.9280518,0.8124612,0.89861286,0.89942086,24.4,7.6,0.0,48.8
4,0.001,0.2,0.01,506,0.29084340035915374,0.8953846216201782,0.8550166,1.0,0.7384616,0.9208828,0.7939527,0.8727811,0.8674766,19.2,6.8,0.0,39.0,0.30974018573760986,0.8961111187934876,0.85426474,1.0,0.7375,0.92114127,0.79350483,0.863066,0.85765696,23.6,8.4,0.0,48.8
5,0.001,0.4,0.001,506,0.3192655920982361,0.8830769300460816,0.8381893,1.0,0.70769227,0.91163427,0.769775,0.8508876,0.8557601,18.4,7.6,0.0,39.0,0.2966795265674591,0.8985802412033081,0.8584255,1.0,0.74375,0.9232513,0.7984567,0.8668965,0.86923283,23.8,8.2,0.0,48.8
6,0.0001,0.0,0.01,506,0.32378774881362915,0.8830769300460816,0.8382472,1.0,0.70769227,0.9116446,0.7698541,0.8605523,0.8520709,18.4,7.6,0.0,39.0,0.30067776143550873,0.8984567999839783,0.8580085,1.0,0.74375,0.9230431,0.7984056,0.8781622,0.87662804,23.8,8.2,0.0,48.8
7,0.01,0.0,0.1,506,0.29933576583862304,0.892307698726654,0.84943503,1.0,0.7307693,0.91815567,0.78748995,0.87159765,0.8719738,19.0,7.0,0.0,39.0,0.28278464674949644,0.9059567928314209,0.8655524,1.0,0.7625,0.92785823,0.8123356,0.88035184,0.88035357,24.4,7.6,0.0,48.8
8,0.0001,0.0,0.001,506,0.31881227195262907,0.8861538529396057,0.84243935,1.0,0.7153846,0.9139716,0.77575934,0.8581854,0.85528356,18.6,7.4,0.0,39.0,0.2958978295326233,0.8985185265541077,0.8585774,1.0,0.74375,0.9232438,0.7986049,0.89743966,0.8996557,23.8,8.2,0.0,48.8
9,0.0001,0.2,0.001,506,0.2758030086755753,0.9076923131942749,0.8682143,1.0,0.7692308,0.9290458,0.81693715,0.8947733,0.8941436,20.0,6.0,0.0,39.0,0.3145638704299927,0.8910802364349365,0.8485271,1.0,0.725,0.9177066,0.78394395,0.85904676,0.84964263,23.2,8.8,0.0,48.8
