config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_outer_es_loss,average_outer_es_accuracy,average_outer_es_precision,average_outer_es_recall,average_outer_es_specificity,average_outer_es_f1_score,average_outer_es_mcc,average_outer_es_auroc,average_outer_es_auprc,average_outer_es_true_positives,average_outer_es_false_negatives,average_outer_es_false_positives,average_outer_es_true_negatives,average_test_loss,average_test_accuracy,average_test_precision,average_test_recall,average_test_specificity,average_test_f1_score,average_test_mcc,average_test_auroc,average_test_auprc,average_test_true_positives,average_test_false_negatives,average_test_false_positives,average_test_true_negatives
0,0.0001,0.0,0.01,506,0.2916280895471573,0.9036111116409302,0.8651044,1.0,0.75625,0.9269699,0.8082975,0.85849285,0.84721804,24.2,7.8,0.0,48.8,0.328947639465332,0.8823529481887817,0.8378378,1.0,0.7,0.91176474,0.7658241,0.85104847,0.8446344,28.0,12.0,0.0,62.0
1,0.001,0.0,0.001,506,0.29478479325771334,0.8960493683815003,0.8546047,1.0,0.7375,0.92122585,0.7934718,0.8718271,0.86576986,23.6,8.4,0.0,48.8,0.27280641794204713,0.9117646813392639,0.8732394,1.0,0.775,0.9323309,0.82265455,0.88411283,0.86615515,31.0,9.0,0.0,62.0
2,0.01,0.4,0.001,506,0.3761803686618805,0.8219135880470276,0.78490543,1.0,0.55,0.8763769,0.6137898,0.887132,0.88880956,17.6,14.4,0.0,48.8,0.3230040788650513,0.8588235378265381,0.8301401,1.0,0.64,0.90273464,0.6821618,0.8875807,0.8746939,25.6,14.4,0.0,62.0
3,0.0001,0.4,0.1,506,0.276555472612381,0.9059876561164856,0.8664626,1.0,0.7625,0.9281562,0.8125782,0.9085393,0.91004086,24.4,7.6,0.0,48.8,0.3605078995227814,0.8725489974021912,0.82666665,1.0,0.675,0.9051095,0.74699396,0.7870968,0.78731924,27.0,13.0,0.0,62.0
4,0.001,0.2,0.01,506,0.29524916410446167,0.8961419820785522,0.85432625,1.0,0.7375,0.9211763,0.79353523,0.88230896,0.884291,23.6,8.4,0.0,48.8,0.27494969964027405,0.9117646813392639,0.8732394,1.0,0.775,0.9323309,0.82265455,0.8929435,0.89250153,31.0,9.0,0.0,62.0
5,0.001,0.4,0.001,506,0.2901588439941406,0.8985493898391723,0.8569559,1.0,0.74375,0.92276907,0.7981601,0.879423,0.88349676,23.8,8.2,0.0,48.8,0.29103924036026,0.9019607901573181,0.86111104,1.0,0.75,0.9253732,0.8036376,0.8680242,0.8609662,30.0,10.0,0.0,62.0
6,0.0001,0.0,0.01,506,0.297383064031601,0.8985185146331787,0.8566917,1.0,0.74375,0.92267096,0.79808223,0.8693532,0.8714554,23.8,8.2,0.0,48.8,0.289885675907135,0.9019607901573181,0.86111104,1.0,0.75,0.9253732,0.8036376,0.8754839,0.8732521,30.0,10.0,0.0,62.0
7,0.01,0.0,0.1,506,0.2769144982099533,0.9058641910552978,0.86584634,1.0,0.7625,0.92789936,0.8123884,0.88704956,0.8954671,24.4,7.6,0.0,48.8,0.35746325850486754,0.8725489974021912,0.82666665,1.0,0.675,0.9051095,0.74699396,0.7929435,0.7689196,27.0,13.0,0.0,62.0
8,0.0001,0.0,0.001,506,0.2906337082386017,0.8985185146331787,0.8568033,1.0,0.74375,0.9227048,0.79811466,0.8905665,0.8956601,23.8,8.2,0.0,48.8,0.30619652271270753,0.9019607901573181,0.86111104,1.0,0.75,0.9253732,0.8036376,0.84108865,0.80675286,30.0,10.0,0.0,62.0
9,0.0001,0.2,0.001,506,0.3091520696878433,0.8911110997200012,0.8485702,1.0,0.725,0.9177367,0.78396094,0.8645541,0.87448615,23.2,8.8,0.0,48.8,0.2322140783071518,0.9313725233078003,0.8985508,1.0,0.825,0.94656485,0.86099035,0.9141532,0.91789234,33.0,7.0,0.0,62.0
