inner_es_loss,inner_es_accuracy,val_loss,val_accuracy,number_epochs,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/train_loop_config/batch_size,config/train_loop_config/dataset_test_round,config/train_loop_config/dataset_fold_round,config/train_loop_config/learning_rate,config/train_loop_config/weight_decay,config/train_loop_config/dropout_rate,logdir
0.29997894167900085,0.9230769276618958,0.3950512707233429,0.8641975522041321,4766,1754731995,,False,1,57bfd_01317,2025-08-09_11-33-15,4449.968989610672,4449.968989610672,877536,ggpu132,10.241.148.32,4449.968989610672,1,506,3,2,0.0001,0.001,0.4,57bfd_01317
0.329973429441452,0.892307698726654,0.33110547065734863,0.9135802388191223,4653,1754730958,,False,1,57bfd_01316,2025-08-09_11-15-58,4376.605895519257,4376.605895519257,875687,ggpu132,10.241.148.32,4376.605895519257,1,506,3,1,0.0001,0.001,0.4,57bfd_01316
0.31037089228630066,0.9076923131942749,0.27054303884506226,0.9135802388191223,5056,1754730068,,False,1,57bfd_01315,2025-08-09_11-01-08,4729.898097753525,4729.898097753525,873350,ggpu132,10.241.148.32,4729.898097753525,1,506,3,0,0.0001,0.001,0.4,57bfd_01315
0.3240872919559479,0.9076923131942749,0.34796684980392456,0.8765432238578796,7428,1754729655,,False,1,57bfd_01313,2025-08-09_10-54-15,6881.832745790482,6881.832745790482,868428,ggpu132,10.241.148.32,6881.832745790482,1,506,2,3,0.0001,0.001,0.4,57bfd_01313
0.42461758852005005,0.8461538553237915,0.2998441457748413,0.9375,3863,1754727536,,False,1,57bfd_01314,2025-08-09_10-18-56,3699.9337544441223,3699.9337544441223,870586,ggpu132,10.241.148.32,3699.9337544441223,1,506,2,4,0.0001,0.001,0.4,57bfd_01314
0.2876356244087219,0.9076923131942749,0.30991607904434204,0.9135802388191223,6226,1754726562,,False,1,57bfd_01311,2025-08-09_10-02-42,5843.705110549927,5843.705110549927,864573,ggpu132,10.241.148.32,5843.705110549927,1,506,2,1,0.0001,0.001,0.4,57bfd_01311
0.3161773085594177,0.9076923131942749,0.37680017948150635,0.8765432238578796,4924,1754725330,,False,1,57bfd_01312,2025-08-09_09-42-10,4609.768888950348,4609.768888950348,864726,ggpu132,10.241.148.32,4609.768888950348,1,506,2,2,0.0001,0.001,0.4,57bfd_01312
0.3370823264122009,0.9076923131942749,0.2548421621322632,0.9506173133850098,7182,1754723827,,False,1,57bfd_01308,2025-08-09_09-17-07,6622.938412427902,6622.938412427902,857545,ggpu132,10.241.148.32,6622.938412427902,1,506,1,3,0.0001,0.001,0.4,57bfd_01308
0.36015233397483826,0.8769230842590332,0.38681939244270325,0.8641975522041321,3642,1754722763,,False,1,57bfd_01310,2025-08-09_08-59-23,3422.4356033802032,3422.4356033802032,861901,ggpu132,10.241.148.32,3422.4356033802032,1,506,2,0,0.0001,0.001,0.4,57bfd_01310
0.4301450848579407,0.8461538553237915,0.37698036432266235,0.887499988079071,2764,1754720713,,False,1,57bfd_01309,2025-08-09_08-25-13,2689.1134622097015,2689.1134622097015,859406,ggpu132,10.241.148.32,2689.1134622097015,1,506,1,4,0.0001,0.001,0.4,57bfd_01309
0.3202466666698456,0.9076923131942749,0.33111804723739624,0.9012345671653748,5153,1754720709,,False,1,57bfd_01307,2025-08-09_08-25-09,4845.722865819931,4845.722865819931,855078,ggpu132,10.241.148.32,4845.722865819931,1,506,1,2,0.0001,0.001,0.4,57bfd_01307
0.3438783586025238,0.9076923131942749,0.379646897315979,0.8641975522041321,4679,1754719332,,False,1,57bfd_01306,2025-08-09_08-02-12,4395.503821372986,4395.503821372986,853069,ggpu132,10.241.148.32,4395.503821372986,1,506,1,1,0.0001,0.001,0.4,57bfd_01306
0.25286465883255005,0.9538461565971375,0.3859032690525055,0.8641975522041321,4391,1754718015,,False,1,57bfd_01305,2025-08-09_07-40-15,4137.265613794327,4137.265613794327,850978,ggpu132,10.241.148.32,4137.265613794327,1,506,1,0,0.0001,0.001,0.4,57bfd_01305
0.3484412431716919,0.892307698726654,0.3768845498561859,0.875,4584,1754717196,,False,1,57bfd_01304,2025-08-09_07-26-36,4274.267364740372,4274.267364740372,849081,ggpu132,10.241.148.32,4274.267364740372,1,506,0,4,0.0001,0.001,0.4,57bfd_01304
0.4192788600921631,0.8615384697914124,0.2850368022918701,0.9382715821266174,3215,1754715855,,False,1,57bfd_01303,2025-08-09_07-04-15,3063.8785123825073,3063.8785123825073,848313,ggpu132,10.241.148.32,3063.8785123825073,1,506,0,3,0.0001,0.001,0.4,57bfd_01303
0.31823766231536865,0.9076923131942749,0.30635055899620056,0.9135802388191223,5124,1754714924,,False,1,57bfd_01302,2025-08-09_06-48-44,4794.085401058197,4794.085401058197,843804,ggpu132,10.241.148.32,4794.085401058197,1,506,0,2,0.0001,0.001,0.4,57bfd_01302
0.3077348470687866,0.9076923131942749,0.3286510407924652,0.887499988079071,6274,1754713860,,False,1,57bfd_01299,2025-08-09_06-31-00,5848.850501298904,5848.850501298904,839050,ggpu132,10.241.148.32,5848.850501298904,1,506,9,4,0.0001,0.001,0.2,57bfd_01299
0.29494935274124146,0.9230769276618958,0.37512725591659546,0.8888888955116272,4944,1754712913,,False,1,57bfd_01301,2025-08-09_06-15-13,4584.338367462158,4584.338367462158,840665,ggpu132,10.241.148.32,4584.338367462158,1,506,0,1,0.0001,0.001,0.4,57bfd_01301
0.3356979489326477,0.892307698726654,0.3298020660877228,0.9012345671653748,4839,1754712782,,False,1,57bfd_01300,2025-08-09_06-13-02,4591.319507360458,4591.319507360458,839893,ggpu132,10.241.148.32,4591.319507360458,1,506,0,0,0.0001,0.001,0.4,57bfd_01300
0.3214837908744812,0.9076923131942749,0.32674017548561096,0.9012345671653748,4282,1754710121,,False,1,57bfd_01298,2025-08-09_05-28-41,4022.098658800125,4022.098658800125,835682,ggpu132,10.241.148.32,4022.098658800125,1,506,9,3,0.0001,0.001,0.2,57bfd_01298
0.3530293405056,0.8615384697914124,0.33547329902648926,0.9012345671653748,4187,1754708319,,False,1,57bfd_01296,2025-08-09_04-58-39,3954.332194328308,3954.332194328308,832033,ggpu132,10.241.148.32,3954.332194328308,1,506,9,1,0.0001,0.001,0.2,57bfd_01296
0.26146623492240906,0.9538461565971375,0.3044913709163666,0.9259259104728699,3459,1754708181,,False,1,57bfd_01297,2025-08-09_04-56-21,3308.374242544174,3308.374242544174,833297,ggpu132,10.241.148.32,3308.374242544174,1,506,9,2,0.0001,0.001,0.2,57bfd_01297
0.31949326395988464,0.9076923131942749,0.411901593208313,0.8395061492919922,4035,1754708002,,False,1,57bfd_01295,2025-08-09_04-53-22,3805.8607997894287,3805.8607997894287,831191,ggpu132,10.241.148.32,3805.8607997894287,1,506,9,0,0.0001,0.001,0.2,57bfd_01295
0.2645898759365082,0.9230769276618958,0.42518988251686096,0.8518518805503845,5209,1754706090,,False,1,57bfd_01293,2025-08-09_04-21-30,4862.420991420746,4862.420991420746,825706,ggpu132,10.241.148.32,4862.420991420746,1,506,8,3,0.0001,0.001,0.2,57bfd_01293
0.3174411356449127,0.9076923131942749,0.34077128767967224,0.8765432238578796,5511,1754704850,,False,1,57bfd_01291,2025-08-09_04-00-50,5152.543532133102,5152.543532133102,822296,ggpu132,10.241.148.32,5152.543532133102,1,506,8,1,0.0001,0.001,0.2,57bfd_01291
0.4038896858692169,0.8615384697914124,0.336809903383255,0.8999999761581421,2531,1754704356,,False,1,57bfd_01294,2025-08-09_03-52-36,2419.959971189499,2419.959971189499,827392,ggpu132,10.241.148.32,2419.959971189499,1,506,8,4,0.0001,0.001,0.2,57bfd_01294
0.27536386251449585,0.9076923131942749,0.3333878815174103,0.9012345671653748,4468,1754704182,,False,1,57bfd_01292,2025-08-09_03-49-42,4227.133643388748,4227.133643388748,823297,ggpu132,10.241.148.32,4227.133643388748,1,506,8,2,0.0001,0.001,0.2,57bfd_01292
0.48060378432273865,0.8307692408561707,0.2706260085105896,0.9629629850387573,2696,1754701926,,False,1,57bfd_01290,2025-08-09_03-12-06,2567.6222932338715,2567.6222932338715,821275,ggpu132,10.241.148.32,2567.6222932338715,1,506,8,0,0.0001,0.001,0.2,57bfd_01290
0.3016343116760254,0.9076923131942749,0.3057584762573242,0.9012345671653748,5375,1754701210,,False,1,57bfd_01287,2025-08-09_03-00-10,5040.822381734848,5040.822381734848,814770,ggpu132,10.241.148.32,5040.822381734848,1,506,7,2,0.0001,0.001,0.2,57bfd_01287
0.369147926568985,0.8769230842590332,0.3021126389503479,0.9012345671653748,3023,1754699943,,False,1,57bfd_01288,2025-08-09_02-39-03,2903.329594373703,2903.329594373703,816692,ggpu132,10.241.148.32,2903.329594373703,1,506,7,3,0.0001,0.001,0.2,57bfd_01288
0.4124496579170227,0.8461538553237915,0.31780335307121277,0.9125000238418579,2582,1754699689,,False,1,57bfd_01289,2025-08-09_02-34-49,2493.2001230716705,2493.2001230716705,817539,ggpu132,10.241.148.32,2493.2001230716705,1,506,7,4,0.0001,0.001,0.2,57bfd_01289
0.3256244361400604,0.892307698726654,0.3711128234863281,0.8888888955116272,4729,1754699350,,False,1,57bfd_01286,2025-08-09_02-29-10,4435.270964622498,4435.270964622498,812375,ggpu132,10.241.148.32,4435.270964622498,1,506,7,1,0.0001,0.001,0.2,57bfd_01286
0.24996742606163025,0.9384615421295166,0.30284345149993896,0.9259259104728699,3779,1754697186,,False,1,57bfd_01285,2025-08-09_01-53-06,3609.6358165740967,3609.6358165740967,809854,ggpu132,10.241.148.32,3609.6358165740967,1,506,7,0,0.0001,0.001,0.2,57bfd_01285
0.3555721938610077,0.8769230842590332,0.3471481502056122,0.875,3837,1754697031,,False,1,57bfd_01284,2025-08-09_01-50-31,3607.670782327652,3607.670782327652,809069,ggpu132,10.241.148.32,3607.670782327652,1,506,6,4,0.0001,0.001,0.2,57bfd_01284
0.27709391713142395,0.9230769276618958,0.4460950195789337,0.8518518805503845,3014,1754696156,,False,1,57bfd_01283,2025-08-09_01-35-56,2871.2429308891296,2871.2429308891296,808231,ggpu132,10.241.148.32,2871.2429308891296,1,506,6,3,0.0001,0.001,0.2,57bfd_01283
0.33334454894065857,0.9076923131942749,0.308387815952301,0.9135802388191223,4283,1754694890,,False,1,57bfd_01281,2025-08-09_01-14-50,4020.8427636623383,4020.8427636623383,803600,ggpu132,10.241.148.32,4020.8427636623383,1,506,6,1,0.0001,0.001,0.2,57bfd_01281
0.4057958722114563,0.8461538553237915,0.31662577390670776,0.9012345671653748,2704,1754693568,,False,1,57bfd_01282,2025-08-09_00-52-48,2578.077649116516,2578.077649116516,804373,ggpu132,10.241.148.32,2578.077649116516,1,506,6,2,0.0001,0.001,0.2,57bfd_01282
0.4099090099334717,0.8615384697914124,0.2639688551425934,0.9506173133850098,3457,1754693415,,False,1,57bfd_01280,2025-08-09_00-50-15,3287.5735790729523,3287.5735790729523,801898,ggpu132,10.241.148.32,3287.5735790729523,1,506,6,0,0.0001,0.001,0.2,57bfd_01280
0.36632758378982544,0.8769230842590332,0.2950972616672516,0.925000011920929,3721,1754693276,,False,1,57bfd_01279,2025-08-09_00-47-56,3563.230579137802,3563.230579137802,800707,ggpu132,10.241.148.32,3563.230579137802,1,506,5,4,0.0001,0.001,0.2,57bfd_01279
0.3489578366279602,0.892307698726654,0.4499872326850891,0.8395061492919922,3187,1754690981,,False,1,57bfd_01278,2025-08-09_00-09-41,3016.6543996334076,3016.6543996334076,797674,ggpu132,10.241.148.32,3016.6543996334076,1,506,5,3,0.0001,0.001,0.2,57bfd_01278
0.29551079869270325,0.9076923131942749,0.39508575201034546,0.8765432238578796,4624,1754690861,,False,1,57bfd_01276,2025-08-09_00-07-41,4310.016385793686,4310.016385793686,794317,ggpu132,10.241.148.32,4310.016385793686,1,506,5,1,0.0001,0.001,0.2,57bfd_01276
0.2999423146247864,0.9076923131942749,0.25439882278442383,0.9382715821266174,4384,1754690118,,False,1,57bfd_01275,2025-08-08_23-55-18,4130.542954683304,4130.542954683304,792970,ggpu132,10.241.148.32,4130.542954683304,1,506,5,0,0.0001,0.001,0.2,57bfd_01275
0.45150652527809143,0.8307692408561707,0.3146667182445526,0.9135802388191223,2873,1754689704,,False,1,57bfd_01277,2025-08-08_23-48-24,2749.299775838852,2749.299775838852,795590,ggpu132,10.241.148.32,2749.299775838852,1,506,5,2,0.0001,0.001,0.2,57bfd_01277
0.3902397155761719,0.8615384697914124,0.3013908565044403,0.925000011920929,3837,1754687956,,False,1,57bfd_01274,2025-08-08_23-19-16,3683.4666635990143,3683.4666635990143,789691,ggpu132,10.241.148.32,3683.4666635990143,1,506,4,4,0.0001,0.001,0.2,57bfd_01274
0.4156230688095093,0.8615384697914124,0.37148794531822205,0.8765432238578796,2770,1754686945,,False,1,57bfd_01273,2025-08-08_23-02-25,2678.1009471416473,2678.1009471416473,789341,ggpu132,10.241.148.32,2678.1009471416473,1,506,4,3,0.0001,0.001,0.2,57bfd_01273
0.3738352954387665,0.8615384697914124,0.3151104748249054,0.9259259104728699,2781,1754686541,,False,1,57bfd_01272,2025-08-08_22-55-41,2645.4689989089966,2645.4689989089966,788135,ggpu132,10.241.148.32,2645.4689989089966,1,506,4,2,0.0001,0.001,0.2,57bfd_01272
0.20614859461784363,0.9692307710647583,0.38814201951026917,0.8765432238578796,4039,1754685980,,False,1,57bfd_01270,2025-08-08_22-46-20,3795.2908408641815,3795.2908408641815,784711,ggpu132,10.241.148.32,3795.2908408641815,1,506,4,0,0.0001,0.001,0.2,57bfd_01270
0.29268786311149597,0.9230769276618958,0.391930490732193,0.8641975522041321,4873,1754684265,,False,1,57bfd_01267,2025-08-08_22-17-45,4571.752986907959,4571.752986907959,779379,ggpu132,10.241.148.32,4571.752986907959,1,506,3,2,0.0001,0.001,0.2,57bfd_01267
0.3684024512767792,0.8615384697914124,0.3381451666355133,0.925000011920929,2754,1754684258,,False,1,57bfd_01269,2025-08-08_22-17-38,2647.0782046318054,2647.0782046318054,783350,ggpu132,10.241.148.32,2647.0782046318054,1,506,3,4,0.0001,0.001,0.2,57bfd_01269
0.27882814407348633,0.9230769276618958,0.2898205816745758,0.9135802388191223,3944,1754683763,,False,1,57bfd_01268,2025-08-08_22-09-23,3716.108987092972,3716.108987092972,780482,ggpu132,10.241.148.32,3716.108987092972,1,506,3,3,0.0001,0.001,0.2,57bfd_01268
0.3236764371395111,0.892307698726654,0.3259299397468567,0.9135802388191223,4182,1754682176,,False,1,57bfd_01266,2025-08-08_21-42-56,3933.0682923793793,3933.0682923793793,776711,ggpu132,10.241.148.32,3933.0682923793793,1,506,3,1,0.0001,0.001,0.2,57bfd_01266
0.3051636815071106,0.9076923131942749,0.2624334990978241,0.9135802388191223,5072,1754681602,,False,1,57bfd_01265,2025-08-08_21-33-22,4785.613909244537,4785.613909244537,774115,ggpu132,10.241.148.32,4785.613909244537,1,506,3,0,0.0001,0.001,0.2,57bfd_01265
0.4148012697696686,0.8461538553237915,0.2771490812301636,0.9375,4040,1754680039,,False,1,57bfd_01264,2025-08-08_21-07-19,3844.806195497513,3844.806195497513,772593,ggpu132,10.241.148.32,3844.806195497513,1,506,2,4,0.0001,0.001,0.2,57bfd_01264
0.32764869928359985,0.9076923131942749,0.3486909866333008,0.8765432238578796,5810,1754679678,,False,1,57bfd_01263,2025-08-08_21-01-18,5448.941677331924,5448.941677331924,769226,ggpu132,10.241.148.32,5448.941677331924,1,506,2,3,0.0001,0.001,0.2,57bfd_01263
0.30608585476875305,0.9076923131942749,0.3708486557006836,0.8765432238578796,4920,1754678233,,False,1,57bfd_01262,2025-08-08_20-37-13,4597.991949796677,4597.991949796677,767722,ggpu132,10.241.148.32,4597.991949796677,1,506,2,2,0.0001,0.001,0.2,57bfd_01262
0.29156047105789185,0.9076923131942749,0.3162139058113098,0.9135802388191223,4108,1754676808,,False,1,57bfd_01261,2025-08-08_20-13-28,3859.066226243973,3859.066226243973,766168,ggpu132,10.241.148.32,3859.066226243973,1,506,2,1,0.0001,0.001,0.2,57bfd_01261
0.34831902384757996,0.8769230842590332,0.3779839873313904,0.8641975522041321,4072,1754676181,,False,1,57bfd_01260,2025-08-08_20-03-01,3805.300977706909,3805.300977706909,764699,ggpu132,10.241.148.32,3805.300977706909,1,506,2,0,0.0001,0.001,0.2,57bfd_01260
0.34906721115112305,0.9076923131942749,0.26610174775123596,0.9506173133850098,4120,1754674203,,False,1,57bfd_01258,2025-08-08_19-30-03,3927.928409099579,3927.928409099579,760583,ggpu132,10.241.148.32,3927.928409099579,1,506,1,3,0.0001,0.001,0.2,57bfd_01258
0.3145577609539032,0.9076923131942749,0.32330456376075745,0.9012345671653748,5162,1754673625,,False,1,57bfd_01257,2025-08-08_19-20-25,4861.944040060043,4861.944040060043,757758,ggpu132,10.241.148.32,4861.944040060043,1,506,1,2,0.0001,0.001,0.2,57bfd_01257
0.4224381744861603,0.8461538553237915,0.36901673674583435,0.887499988079071,2246,1754672929,,False,1,57bfd_01259,2025-08-08_19-08-49,2173.0203025341034,2173.0203025341034,761838,ggpu132,10.241.148.32,2173.0203025341034,1,506,1,4,0.0001,0.001,0.2,57bfd_01259
0.3339376747608185,0.9076923131942749,0.3752377927303314,0.8641975522041321,5163,1754672366,,False,1,57bfd_01256,2025-08-08_18-59-26,4848.612781763077,4848.612781763077,755354,ggpu132,10.241.148.32,4848.612781763077,1,506,1,1,0.0001,0.001,0.2,57bfd_01256
0.24547229707241058,0.9538461565971375,0.38070985674858093,0.8641975522041321,3807,1754670742,,False,1,57bfd_01255,2025-08-08_18-32-22,3604.1911737918854,3604.1911737918854,754270,ggpu132,10.241.148.32,3604.1911737918854,1,506,1,0,0.0001,0.001,0.2,57bfd_01255
0.3457759618759155,0.892307698726654,0.3789033591747284,0.862500011920929,3762,1754670265,,False,1,57bfd_01254,2025-08-08_18-24-25,3567.5472283363342,3567.5472283363342,753048,ggpu132,10.241.148.32,3567.5472283363342,1,506,0,4,0.0001,0.001,0.2,57bfd_01254
0.2907954156398773,0.9076923131942749,0.3159872889518738,0.887499988079071,8925,1754668754,,False,1,57bfd_01249,2025-08-08_17-59-14,8352.450233221054,8352.450233221054,741144,ggpu132,10.241.148.32,8352.450233221054,1,506,9,4,0.0001,0.001,0.0,57bfd_01249
0.4097786545753479,0.8615384697914124,0.2590219974517822,0.9382715821266174,3327,1754667506,,False,1,57bfd_01253,2025-08-08_17-38-26,3132.5079538822174,3132.5079538822174,749166,ggpu132,10.241.148.32,3132.5079538822174,1,506,0,3,0.0001,0.001,0.2,57bfd_01253
0.3112674951553345,0.9076923131942749,0.30176103115081787,0.9135802388191223,4667,1754667123,,False,1,57bfd_01252,2025-08-08_17-32-03,4389.799223661423,4389.799223661423,746290,ggpu132,10.241.148.32,4389.799223661423,1,506,0,2,0.0001,0.001,0.2,57bfd_01252
0.28757235407829285,0.9230769276618958,0.36630725860595703,0.8888888955116272,5258,1754666689,,False,1,57bfd_01251,2025-08-08_17-24-49,4926.521177768707,4926.521177768707,744315,ggpu132,10.241.148.32,4926.521177768707,1,506,0,1,0.0001,0.001,0.2,57bfd_01251
0.33443301916122437,0.892307698726654,0.3291260600090027,0.9012345671653748,3979,1754664363,,False,1,57bfd_01250,2025-08-08_16-46-03,3736.530611038208,3736.530611038208,742072,ggpu132,10.241.148.32,3736.530611038208,1,506,0,0,0.0001,0.001,0.2,57bfd_01250
0.3433551490306854,0.8615384697914124,0.32386186718940735,0.9012345671653748,4916,1754662722,,False,1,57bfd_01246,2025-08-08_16-18-42,4596.803113698959,4596.803113698959,736103,ggpu132,10.241.148.32,4596.803113698959,1,506,9,1,0.0001,0.001,0.0,57bfd_01246
0.31221142411231995,0.9076923131942749,0.3179502487182617,0.9012345671653748,2939,1754661750,,False,1,57bfd_01248,2025-08-08_16-02-30,2838.2437913417816,2838.2437913417816,738414,ggpu132,10.241.148.32,2838.2437913417816,1,506,9,3,0.0001,0.001,0.0,57bfd_01248
0.24258047342300415,0.9538461565971375,0.2839318513870239,0.9259259104728699,2425,1754660617,,False,1,57bfd_01247,2025-08-08_15-43-37,2335.8224301338196,2335.8224301338196,736946,ggpu132,10.241.148.32,2335.8224301338196,1,506,9,2,0.0001,0.001,0.0,57bfd_01247
0.307221919298172,0.9076923131942749,0.4100468158721924,0.8518518805503845,4019,1754660389,,False,1,57bfd_01245,2025-08-08_15-39-49,3796.482199192047,3796.482199192047,733387,ggpu132,10.241.148.32,3796.482199192047,1,506,9,0,0.0001,0.001,0.0,57bfd_01245
0.3941744267940521,0.8615384697914124,0.3045012950897217,0.8999999761581421,2590,1754658902,,False,1,57bfd_01244,2025-08-08_15-15-02,2495.3176743984222,2495.3176743984222,732450,ggpu132,10.241.148.32,2495.3176743984222,1,506,8,4,0.0001,0.001,0.0,57bfd_01244
0.25796011090278625,0.9076923131942749,0.31877535581588745,0.9012345671653748,4615,1754658267,,False,1,57bfd_01242,2025-08-08_15-04-27,4322.042474746704,4322.042474746704,727720,ggpu132,10.241.148.32,4322.042474746704,1,506,8,2,0.0001,0.001,0.0,57bfd_01242
0.2584177255630493,0.9230769276618958,0.42263057827949524,0.8518518805503845,3358,1754658117,,False,1,57bfd_01243,2025-08-08_15-01-57,3179.0761535167694,3179.0761535167694,729732,ggpu132,10.241.148.32,3179.0761535167694,1,506,8,3,0.0001,0.001,0.0,57bfd_01243
