config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_inner_es_loss,average_inner_es_accuracy,average_inner_es_precision,average_inner_es_recall,average_inner_es_specificity,average_inner_es_f1_score,average_inner_es_mcc,average_inner_es_auroc,average_inner_es_auprc,average_inner_es_true_positives,average_inner_es_false_negatives,average_inner_es_false_positives,average_inner_es_true_negatives,average_val_loss,average_val_accuracy,average_val_precision,average_val_recall,average_val_specificity,average_val_f1_score,average_val_mcc,average_val_auroc,average_val_auprc,average_val_true_positives,average_val_false_negatives,average_val_false_positives,average_val_true_negatives
8,0.0001,0.4,0.001,506,0.41323181986808777,0.8246153950691223,0.7886241,1.0,0.5615385,0.8781048,0.6224775,0.7911243,0.800101,14.6,11.4,0.0,39.0,0.3746237963438034,0.8441975235939025,0.81844777,0.9918367,0.61875,0.8916708,0.65570265,0.83274734,0.83531916,19.8,12.2,0.4,48.4
9,0.0001,0.4,0.001,506,0.3692945122718811,0.8492307782173156,0.8194106,1.0,0.6230769,0.8957389,0.66990834,0.8283037,0.8370048,16.2,9.8,0.0,39.0,0.40304643511772154,0.8318209767341613,0.7975849,1.0,0.575,0.8835702,0.63289326,0.79152185,0.8039401,18.4,13.6,0.0,48.8
7,0.0001,0.4,0.001,506,0.3052790820598602,0.892307698726654,0.84943503,1.0,0.7307693,0.91815567,0.78748995,0.87692297,0.8776541,19.0,7.0,0.0,39.0,0.29309467077255247,0.9084259271621704,0.8686226,1.0,0.76875,0.9296192,0.81710404,0.88940793,0.8791126,24.6,7.4,0.0,48.8
6,0.0001,0.4,0.001,506,0.3456250727176666,0.8800000071525573,0.8376411,0.9948718,0.7076923,0.90906274,0.7623472,0.85562134,0.85639745,18.4,7.6,0.2,38.8,0.32022964656353,0.8959876537322998,0.85735273,0.9959184,0.74375,0.9210081,0.7915848,0.88300383,0.87619275,23.8,8.2,0.2,48.6
5,0.0001,0.4,0.001,506,0.332213693857193,0.8800000071525573,0.8372914,0.9948718,0.7076923,0.9090806,0.76100147,0.8601578,0.8734937,18.4,7.6,0.2,38.8,0.3187667429447174,0.8985802412033081,0.85842544,1.0,0.74375,0.9232513,0.7984567,0.86440134,0.8570894,23.8,8.2,0.0,48.8
4,0.0001,0.4,0.001,506,0.3898808866739273,0.8307692408561707,0.7977439,1.0,0.5769231,0.88293105,0.6348573,0.83116376,0.8484195,15.0,11.0,0.0,39.0,0.38597009181976316,0.8417901277542115,0.8091506,1.0,0.6,0.890429,0.6519194,0.8346567,0.8402518,19.2,12.8,0.0,48.8
3,0.0001,0.4,0.001,506,0.28410040140151976,0.9015384674072265,0.86266136,0.9948718,0.76153845,0.9239708,0.8027856,0.89536494,0.8758459,19.8,6.2,0.2,38.8,0.29930648803710935,0.9034876585006714,0.8656918,0.9958334,0.7625,0.9259551,0.8065332,0.8861208,0.8780721,24.4,7.6,0.2,48.6
2,0.0001,0.4,0.001,506,0.48181475400924684,0.7692307829856873,0.74208224,1.0,0.42307693,0.84651643,0.48094988,0.6934911,0.72208875,11.0,15.0,0.0,39.0,0.4594013214111328,0.7801234602928162,0.7560257,1.0,0.44375,0.85483646,0.49636525,0.71179974,0.7526271,14.2,17.8,0.0,48.8
1,0.0001,0.4,0.001,506,0.30265253186225893,0.9046153903007508,0.8648979,1.0,0.7615385,0.92700815,0.81113416,0.8717949,0.86193866,19.8,6.2,0.0,39.0,0.31942252814769745,0.8935493946075439,0.8541071,0.9959184,0.7375,0.91917545,0.7871359,0.8683527,0.86079514,23.6,8.4,0.2,48.6
0,0.0001,0.4,0.001,506,0.4644161105155945,0.7753846287727356,0.74933785,1.0,0.43846154,0.8507916,0.49267635,0.746647,0.7580916,11.4,14.6,0.0,39.0,0.4554601788520813,0.7799074053764343,0.7573346,0.9958334,0.45,0.8540549,0.49425143,0.79017323,0.80348206,14.4,17.6,0.2,48.6
9,0.0001,0.2,0.001,506,0.2947782725095749,0.910769236087799,0.8727439,1.0,0.77692306,0.9314531,0.82308024,0.89339256,0.8744667,20.2,5.8,0.0,39.0,0.3309215784072876,0.8910802364349365,0.8485271,1.0,0.725,0.9177066,0.78394395,0.8589991,0.854607,23.2,8.8,0.0,48.8
8,0.0001,0.2,0.001,506,0.3285494834184647,0.8892307758331299,0.8458969,1.0,0.72307694,0.91605663,0.7815728,0.86331356,0.8471532,18.8,7.2,0.0,39.0,0.32992257475852965,0.8960493922233581,0.8583511,0.9959184,0.74375,0.92118436,0.79313934,0.8711376,0.8648759,23.8,8.2,0.2,48.6
7,0.0001,0.2,0.001,506,0.3079633295536041,0.8953846216201782,0.8532031,1.0,0.7384616,0.92034054,0.79336435,0.8786982,0.8783394,19.2,6.8,0.0,39.0,0.29649701714515686,0.9059567928314209,0.8680781,0.9959184,0.76875,0.9275738,0.8107853,0.88941324,0.8791849,24.6,7.4,0.2,48.6
6,0.0001,0.2,0.001,506,0.33966248035430907,0.8830769300460816,0.8382472,1.0,0.7076923,0.91164446,0.7698541,0.8550296,0.8547557,18.4,7.6,0.0,39.0,0.31607080101966856,0.8959876537322998,0.85735273,0.9959184,0.74375,0.921008,0.7915848,0.8784997,0.87531865,23.8,8.2,0.2,48.6
