config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_inner_es_loss,average_inner_es_accuracy,average_inner_es_precision,average_inner_es_recall,average_inner_es_specificity,average_inner_es_f1_score,average_inner_es_mcc,average_inner_es_auroc,average_inner_es_auprc,average_inner_es_true_positives,average_inner_es_false_negatives,average_inner_es_false_positives,average_inner_es_true_negatives,average_val_loss,average_val_accuracy,average_val_precision,average_val_recall,average_val_specificity,average_val_f1_score,average_val_mcc,average_val_auroc,average_val_auprc,average_val_true_positives,average_val_false_negatives,average_val_false_positives,average_val_true_negatives
0,0.001,0.4,0.01,506,0.2917600989341736,0.8953846216201782,0.85223645,1.0,0.7384615,0.92003524,0.7931458,0.901282,0.9152359,19.2,6.8,0.0,39.0,0.2964320212602615,0.9033950567245483,0.86289406,1.0,0.75625,0.9261732,0.8076587,0.8756908,0.88018465,24.2,7.8,0.0,48.8
1,0.0001,0.2,0.0001,506,0.28357000946998595,0.9015384674072265,0.8611299,1.0,0.75384617,0.9248233,0.8052598,0.8777121,0.8743585,19.6,6.4,0.0,39.0,0.30539379715919496,0.8960185289382935,0.8546916,1.0,0.7375,0.9212176,0.79361427,0.88091916,0.8878118,23.6,8.4,0.0,48.8
1,0.0001,0.2,0.001,506,0.28358756601810453,0.9015384674072265,0.8611299,1.0,0.75384617,0.9248233,0.8052598,0.8781065,0.87469625,19.6,6.4,0.0,39.0,0.3054252743721008,0.8960185289382935,0.8546916,1.0,0.7375,0.9212176,0.79361427,0.88091916,0.8878118,23.6,8.4,0.0,48.8
2,0.01,0.0,0.001,506,0.32842225432395933,0.8800000071525573,0.84329474,0.98461545,0.72307694,0.9080027,0.75931084,0.87159765,0.86741817,18.8,7.2,0.6,38.4,0.3198510974645615,0.8837963104248047,0.8492899,0.98367345,0.73125,0.9112991,0.76354396,0.8793461,0.8852992,23.4,8.6,0.8,48.0
3,0.01,0.0,0.0001,506,0.27713694870471955,0.9015384674072265,0.8690084,0.98461545,0.77692306,0.92304915,0.80054224,0.9137081,0.9117106,20.2,5.8,0.6,38.4,0.2934515357017517,0.8861111044883728,0.8621599,0.9670068,0.7625,0.9111902,0.765062,0.9122688,0.9132546,24.4,7.6,1.6,47.2
4,0.001,0.4,0.001,506,0.29374580681324003,0.8953846216201782,0.8550166,1.0,0.7384616,0.9208828,0.7939527,0.8731755,0.8725748,19.2,6.8,0.0,39.0,0.3304159164428711,0.8936111211776734,0.8538454,0.9958333,0.7375,0.9190446,0.78757685,0.86736023,0.86499023,23.6,8.4,0.2,48.6
5,0.0001,0.4,0.0001,506,0.3261478662490845,0.8830769300460816,0.8381893,1.0,0.70769227,0.91163427,0.769775,0.842998,0.8473336,18.4,7.6,0.0,39.0,0.30869952738285067,0.8985802412033081,0.8584255,1.0,0.74375,0.9232513,0.7984567,0.88736045,0.8726953,23.8,8.2,0.0,48.8
5,0.0001,0.4,0.001,506,0.326160603761673,0.8830769300460816,0.8381893,1.0,0.70769227,0.91163427,0.769775,0.842998,0.8473336,18.4,7.6,0.0,39.0,0.3087217450141907,0.8985802412033081,0.8584255,1.0,0.74375,0.9232513,0.7984567,0.88736045,0.8726953,23.8,8.2,0.0,48.8
6,0.001,0.0,0.0001,506,0.3169004797935486,0.8769230842590332,0.8367092,0.9897436,0.70769227,0.90650654,0.7536602,0.87751484,0.8822171,18.4,7.6,0.4,38.6,0.324296647310257,0.8884567975997925,0.85545427,0.9833333,0.74375,0.91446006,0.773932,0.8925436,0.89840716,23.8,8.2,0.8,48.0
7,0.01,0.4,0.01,506,0.30057830810546876,0.892307698726654,0.84943503,1.0,0.7307693,0.91815567,0.78748995,0.8769231,0.88569725,19.0,7.0,0.0,39.0,0.2925626814365387,0.9059567928314209,0.8655524,1.0,0.7625,0.92785823,0.8123356,0.8937899,0.9013484,24.4,7.6,0.0,48.8
8,0.01,0.4,0.0001,506,0.32634509205818174,0.8769230842590332,0.8429697,0.97948724,0.72307694,0.90557355,0.7514103,0.8564102,0.87226963,18.8,7.2,0.8,38.2,0.3226428896188736,0.8812037110328674,0.85505736,0.9713435,0.74375,0.9086231,0.7569103,0.8943864,0.9088284,23.8,8.2,1.4,47.4
9,0.0001,0.4,0.0001,506,0.275298535823822,0.9076923131942749,0.8682143,1.0,0.7692308,0.9290458,0.81693715,0.8772189,0.8690402,20.0,6.0,0.0,39.0,0.31205891966819765,0.8910802364349365,0.8485271,1.0,0.725,0.9177066,0.78394395,0.8530227,0.85359573,23.2,8.8,0.0,48.8
9,0.0001,0.4,0.001,506,0.27530833780765535,0.9076923131942749,0.8682143,1.0,0.7692308,0.9290458,0.81693715,0.8770216,0.8689181,20.0,6.0,0.0,39.0,0.3120855540037155,0.8910802364349365,0.8485271,1.0,0.725,0.9177066,0.78394395,0.8530227,0.8535975,23.2,8.8,0.0,48.8
