config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate_normal,config/train_loop_config/dropout_rate_attention,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_inner_es_loss,average_inner_es_accuracy,average_inner_es_precision,average_inner_es_recall,average_inner_es_specificity,average_inner_es_f1_score,average_inner_es_mcc,average_inner_es_auroc,average_inner_es_auprc,average_inner_es_true_positives,average_inner_es_false_negatives,average_inner_es_false_positives,average_inner_es_true_negatives,average_val_loss,average_val_accuracy,average_val_precision,average_val_recall,average_val_specificity,average_val_f1_score,average_val_mcc,average_val_auroc,average_val_auprc,average_val_true_positives,average_val_false_negatives,average_val_false_positives,average_val_true_negatives
0,0.1,0.4,0.4,0.0001,506,0.3207832098007202,0.8953846216201782,0.85223645,1.0,0.73846155,0.92003524,0.7931458,0.8665681,0.8714552,19.2,6.8,0.0,39.0,0.3089675009250641,0.9009259223937989,0.86254466,0.9959184,0.75625,0.92411727,0.8019234,0.8873645,0.89378756,24.2,7.8,0.2,48.6
1,0.1,0.2,0.0,0.001,506,0.3356605410575867,0.8984615445137024,0.8604535,0.9948718,0.75384617,0.9222463,0.7975259,0.85404336,0.83937037,19.6,6.4,0.2,38.8,0.34243201911449433,0.8910802483558655,0.850918,0.9959184,0.73125,0.91729605,0.78299415,0.8787242,0.8840542,23.4,8.6,0.2,48.6
1,0.001,0.4,0.2,0.001,506,0.42603727877140046,0.8400000095367431,0.8077965,1.0,0.6,0.889109,0.65208787,0.869428,0.86756676,15.6,10.4,0.0,39.0,0.4328097939491272,0.8342901229858398,0.8003252,1.0,0.58125,0.88521564,0.63767886,0.8787242,0.8811879,18.6,13.4,0.0,48.8
2,0.001,0.0,0.4,0.001,506,0.3657211363315582,0.8861538529396057,0.84195745,1.0,0.71538466,0.91381913,0.77564937,0.8583826,0.85843295,18.6,7.4,0.0,39.0,0.34997806549072263,0.8912037134170532,0.8489912,1.0,0.725,0.91791046,0.78415316,0.8872117,0.9025819,23.2,8.8,0.0,48.8
3,0.1,0.4,0.4,0.0001,506,0.296835595369339,0.9015384674072265,0.859944,1.0,0.7538461,0.92445767,0.80494374,0.903649,0.9135315,19.6,6.4,0.0,39.0,0.31374930739402773,0.9059876561164856,0.8661111,1.0,0.7625,0.9280518,0.8124612,0.8832855,0.8880564,24.4,7.6,0.0,48.8
4,0.1,0.2,0.4,0.0001,506,0.31224345564842226,0.8953846216201782,0.8550166,1.0,0.73846155,0.9208829,0.79395276,0.8571992,0.8559351,19.2,6.8,0.0,39.0,0.3334463000297546,0.8911728501319885,0.85327625,0.9918367,0.7375,0.91704524,0.7811519,0.8724569,0.8617712,23.6,8.4,0.4,48.4
5,0.01,0.0,0.4,0.0001,506,0.342091703414917,0.8830769300460816,0.8381893,1.0,0.7076923,0.91163427,0.76977503,0.83708084,0.8482707,18.4,7.6,0.0,39.0,0.3176816821098328,0.8985802412033081,0.8584255,1.0,0.74375,0.92325133,0.7984567,0.8682359,0.87018234,23.8,8.2,0.0,48.8
6,0.001,0.0,0.0,0.001,506,0.3410742938518524,0.8830769300460816,0.8382472,1.0,0.70769227,0.9116446,0.7698541,0.85700196,0.85350144,18.4,7.6,0.0,39.0,0.3114072859287262,0.8959876537322998,0.85735273,0.9959184,0.74375,0.9210081,0.79158485,0.8931309,0.90476817,23.8,8.2,0.2,48.6
7,0.001,0.0,0.2,0.0,506,0.3399070143699646,0.892307698726654,0.84943503,1.0,0.7307693,0.91815567,0.78748995,0.8564103,0.8513632,19.0,7.0,0.0,39.0,0.31027835607528687,0.9059567928314209,0.8655524,1.0,0.7625,0.9278582,0.8123356,0.8929634,0.8893765,24.4,7.6,0.0,48.8
8,0.001,0.0,0.2,0.0001,506,0.3459330081939697,0.8861538529396057,0.8424395,1.0,0.7153846,0.9139716,0.77575934,0.8550296,0.8561492,18.6,7.4,0.0,39.0,0.3192839056253433,0.8960493922233581,0.8550215,1.0,0.7375,0.92134124,0.793669,0.88653934,0.8974773,23.6,8.4,0.0,48.8
9,0.1,0.0,0.2,0.001,506,0.2914840817451477,0.9076923131942749,0.8682143,1.0,0.7692307,0.9290458,0.8169371,0.9008876,0.9017855,20.0,6.0,0.0,39.0,0.3357573807239532,0.888611102104187,0.8480258,0.9959184,0.725,0.9156581,0.7777784,0.87043077,0.8722216,23.2,8.8,0.2,48.6
