config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate_normal,config/train_loop_config/dropout_rate_attention,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_inner_es_loss,average_inner_es_accuracy,average_inner_es_precision,average_inner_es_recall,average_inner_es_specificity,average_inner_es_f1_score,average_inner_es_mcc,average_inner_es_auroc,average_inner_es_auprc,average_inner_es_true_positives,average_inner_es_false_negatives,average_inner_es_false_positives,average_inner_es_true_negatives,average_val_loss,average_val_accuracy,average_val_precision,average_val_recall,average_val_specificity,average_val_f1_score,average_val_mcc,average_val_auroc,average_val_auprc,average_val_true_positives,average_val_false_negatives,average_val_false_positives,average_val_true_negatives
0,0.01,0.0,0.0,0.001,506,0.2933547019958496,0.8892307758331299,0.8566667,0.97948724,0.7538461,0.9139415,0.77408826,0.90187377,0.9173795,19.6,6.4,0.8,38.2,0.32089686393737793,0.8885493874549866,0.8671158,0.9672619,0.76875,0.9129885,0.7736581,0.8913903,0.8993384,24.6,7.4,1.6,47.2
1,0.01,0.0,0.0,0.001,506,0.29711300432682036,0.8892307758331299,0.86274606,0.9743589,0.76153845,0.9142176,0.77416426,0.90059173,0.9027365,19.8,6.2,1.0,38.0,0.3386239767074585,0.8736419916152954,0.8516747,0.95875853,0.74375,0.9016377,0.73858464,0.8744911,0.8827221,23.8,8.2,2.0,46.8
2,0.01,0.0,0.0,0.001,506,0.30997018814086913,0.8830769300460816,0.8434042,0.9897436,0.72307694,0.9106313,0.76500094,0.88500994,0.8830404,18.8,7.2,0.4,38.6,0.3220789968967438,0.888703715801239,0.8539522,0.98758507,0.7375,0.91515905,0.776203,0.8827341,0.884874,23.6,8.4,0.6,48.2
3,0.01,0.0,0.0,0.001,506,0.30278282761573794,0.8953846216201782,0.86194324,0.9846153,0.7615384,0.9188301,0.7888911,0.89319533,0.88804275,19.8,6.2,0.6,38.4,0.2929626166820526,0.9010493874549865,0.868015,0.9877551,0.76875,0.9236476,0.7997286,0.9119047,0.919059,24.6,7.4,0.6,48.2
4,0.01,0.0,0.0,0.001,506,0.3001671671867371,0.8892307758331299,0.8618348,0.9743589,0.7615384,0.91406935,0.77369887,0.88678503,0.8936819,19.8,6.2,1.0,38.0,0.3870293080806732,0.8589506268501281,0.84703237,0.9384354,0.7375,0.8874771,0.7163647,0.868083,0.8635715,23.6,8.4,3.0,45.8
5,0.01,0.0,0.0,0.001,506,0.35951727628707886,0.8707692384719848,0.8351723,0.97948724,0.70769227,0.90129393,0.73799,0.8441814,0.85771835,18.4,7.6,0.8,38.2,0.3248344391584396,0.8862037062644958,0.85610455,0.9795068,0.74375,0.912879,0.7686221,0.8778845,0.8751089,23.8,8.2,1.0,47.8
6,0.01,0.0,0.0,0.001,506,0.3288608014583588,0.8769230842590332,0.8365103,0.9897436,0.70769227,0.90646476,0.7533989,0.87593687,0.89145136,18.4,7.6,0.4,38.6,0.3584612309932709,0.8687654376029968,0.85754395,0.94268715,0.75625,0.8961493,0.73176676,0.87240916,0.8821823,24.2,7.8,2.8,46.0
7,0.01,0.0,0.0,0.001,506,0.3126136720180511,0.892307698726654,0.84943503,1.0,0.7307693,0.91815567,0.78748995,0.875148,0.8822287,19.0,7.0,0.0,39.0,0.29223362505435946,0.8936111092567444,0.8628534,0.97959185,0.7625,0.91721,0.7838894,0.9017724,0.9076975,24.4,7.6,1.0,47.8
8,0.01,0.0,0.0,0.001,506,0.31304444670677184,0.8769230842590332,0.84271735,0.9794871,0.72307694,0.9057371,0.749121,0.8887574,0.9074389,18.8,7.2,0.8,38.2,0.34782133996486664,0.8910802602767944,0.85733044,0.98767006,0.74375,0.91704476,0.780752,0.8846739,0.87656844,23.8,8.2,0.6,48.2
9,0.01,0.0,0.0,0.001,506,0.27004850208759307,0.9046153903007508,0.881477,0.9743589,0.8,0.9249608,0.80490476,0.90857995,0.90415555,20.8,5.2,1.0,38.0,0.3554284632205963,0.8736111044883728,0.84695166,0.9667517,0.73125,0.9018731,0.7436887,0.8655917,0.8765122,23.4,8.6,1.6,47.2
