config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate_normal,config/train_loop_config/dropout_rate_attention,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_inner_es_loss,average_inner_es_accuracy,average_inner_es_precision,average_inner_es_recall,average_inner_es_specificity,average_inner_es_f1_score,average_inner_es_mcc,average_inner_es_auroc,average_inner_es_auprc,average_inner_es_true_positives,average_inner_es_false_negatives,average_inner_es_false_positives,average_inner_es_true_negatives,average_val_loss,average_val_accuracy,average_val_precision,average_val_recall,average_val_specificity,average_val_f1_score,average_val_mcc,average_val_auroc,average_val_auprc,average_val_true_positives,average_val_false_negatives,average_val_false_positives,average_val_true_negatives
0,0.01,0.0,0.0,0.001,506,0.2933547019958496,0.8892307758331299,0.8566667,0.97948724,0.7538461,0.9139415,0.77408826,0.90187377,0.9173795,19.6,6.4,0.8,38.2,0.32089686393737793,0.8885493874549866,0.8671158,0.9672619,0.76875,0.9129885,0.7736581,0.8913903,0.8993384,24.6,7.4,1.6,47.2
1,0.01,0.2,0.0,0.01,506,0.2870542973279953,0.8984615445137024,0.86027944,0.9948718,0.75384617,0.92226326,0.7967712,0.89447725,0.8930143,19.6,6.4,0.2,38.8,0.3219600021839142,0.8810802578926087,0.8512875,0.97517,0.7375,0.9084816,0.7576121,0.8780573,0.88647336,23.6,8.4,1.2,47.6
2,0.01,0.0,0.0,0.001,506,0.30997018814086913,0.8830769300460816,0.8434042,0.9897436,0.72307694,0.9106313,0.76500094,0.88500994,0.8830404,18.8,7.2,0.4,38.6,0.3220789968967438,0.888703715801239,0.8539522,0.98758507,0.7375,0.91515905,0.776203,0.8827341,0.884874,23.6,8.4,0.6,48.2
3,0.01,0.4,0.0,0.001,506,0.3004709780216217,0.892307698726654,0.86368096,0.97435904,0.7692307,0.9155941,0.779535,0.89753455,0.8917049,20.0,6.0,1.0,38.0,0.29277207255363463,0.8861111164093017,0.86246365,0.9670068,0.7625,0.91108257,0.7667142,0.9143389,0.9208412,24.4,7.6,1.6,47.2
4,0.01,0.2,0.2,0.1,506,0.292038793861866,0.8953846216201782,0.8550166,1.0,0.7384616,0.9208828,0.7939527,0.86410254,0.863797,19.2,6.8,0.0,39.0,0.3192257761955261,0.8961111187934876,0.85426474,1.0,0.7375,0.92114127,0.79350483,0.87509835,0.8714306,23.6,8.4,0.0,48.8
5,0.01,0.2,0.4,0.1,506,0.32329277992248534,0.8830769300460816,0.8381893,1.0,0.70769227,0.91163427,0.769775,0.85266274,0.8565928,18.4,7.6,0.0,39.0,0.2966010123491287,0.8985802412033081,0.8584255,1.0,0.74375,0.9232513,0.7984567,0.8833373,0.8865077,23.8,8.2,0.0,48.8
6,0.001,0.0,0.0,0.001,506,0.31394789218902586,0.8830769300460816,0.8382472,1.0,0.70769227,0.9116446,0.7698541,0.87001973,0.87902343,18.4,7.6,0.0,39.0,0.3027025282382965,0.8984567999839783,0.8580085,1.0,0.74375,0.9230431,0.7984056,0.8842262,0.89646465,23.8,8.2,0.0,48.8
7,0.01,0.0,0.4,0.001,506,0.3156151741743088,0.892307698726654,0.84943503,1.0,0.7307693,0.91815567,0.78748995,0.8682445,0.87594926,19.0,7.0,0.0,39.0,0.28784686625003814,0.8936111092567444,0.8628534,0.97959185,0.7625,0.91721,0.7838894,0.9027848,0.90981495,24.4,7.6,1.0,47.8
8,0.0001,0.2,0.0,0.001,506,0.31154914796352384,0.8861538529396057,0.84243935,1.0,0.7153846,0.9139716,0.77575934,0.86627215,0.87204945,18.6,7.4,0.0,39.0,0.29555714726448057,0.8985185265541077,0.8585774,1.0,0.74375,0.9232438,0.7986049,0.8988082,0.9067913,23.8,8.2,0.0,48.8
9,0.01,0.4,0.4,0.1,506,0.2658810555934906,0.9046153903007508,0.86786586,0.9948718,0.7692308,0.92645323,0.81006575,0.90562135,0.9036781,20.0,6.0,0.2,38.8,0.3157616376876831,0.8910802364349365,0.8485271,1.0,0.725,0.9177066,0.78394395,0.8787508,0.87416476,23.2,8.8,0.0,48.8
