config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate_normal,config/train_loop_config/dropout_rate_attention,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_outer_es_loss,average_outer_es_accuracy,average_outer_es_precision,average_outer_es_recall,average_outer_es_specificity,average_outer_es_f1_score,average_outer_es_mcc,average_outer_es_auroc,average_outer_es_auprc,average_outer_es_true_positives,average_outer_es_false_negatives,average_outer_es_false_positives,average_outer_es_true_negatives,average_test_loss,average_test_accuracy,average_test_precision,average_test_recall,average_test_specificity,average_test_f1_score,average_test_mcc,average_test_auroc,average_test_auprc,average_test_true_positives,average_test_false_negatives,average_test_false_positives,average_test_true_negatives
0,0.01,0.0,0.0,0.001,506,0.2947100579738617,0.8912654280662536,0.8647143,0.97551024,0.7625,0.9162742,0.7760152,0.89239484,0.8989908,24.4,7.6,1.2,47.6,0.3985822439193726,0.8686274409294128,0.8384596,0.97096777,0.71000004,0.8998025,0.7287106,0.8443548,0.8429265,28.4,11.6,1.8,60.2
1,0.01,0.2,0.0,0.01,506,0.2905891686677933,0.8935802340507507,0.85391724,0.9959184,0.7375,0.9191948,0.7864656,0.89454716,0.90071404,23.6,8.4,0.2,48.6,0.2909572124481201,0.9098039031028747,0.8728773,0.9967742,0.775,0.9307132,0.8178217,0.88072574,0.8848134,31.0,9.0,0.2,61.8
2,0.01,0.0,0.0,0.001,506,0.30029554963111876,0.8861111283302308,0.855548,0.97959185,0.74375,0.9126688,0.76857454,0.88728076,0.89484483,23.8,8.2,1.0,47.8,0.29179759621620177,0.9098039150238038,0.88366735,0.9806452,0.8,0.9295279,0.8142382,0.8997177,0.90761006,32.0,8.0,1.2,60.8
3,0.01,0.4,0.0,0.001,506,0.26978389322757723,0.8985493898391723,0.8650044,0.98767006,0.7625,0.92196596,0.79415417,0.9152516,0.91851413,24.4,7.6,0.6,48.2,0.43827139139175414,0.8431372523307801,0.8192856,0.95161295,0.675,0.8803175,0.6731501,0.81266135,0.83159906,27.0,13.0,3.0,59.0
4,0.01,0.2,0.2,0.1,506,0.30067406594753265,0.8961419820785522,0.85432625,1.0,0.7375,0.9211763,0.7935352,0.86530745,0.8648947,23.6,8.4,0.0,48.8,0.27497453093528745,0.9117646813392639,0.8732394,1.0,0.775,0.9323309,0.82265455,0.88923377,0.88102007,31.0,9.0,0.0,62.0
5,0.01,0.2,0.4,0.1,506,0.29527534246444703,0.8985493898391723,0.8569559,1.0,0.74375,0.92276907,0.79816014,0.8886174,0.8972659,23.8,8.2,0.0,48.8,0.2927832305431366,0.9019607901573181,0.86111104,1.0,0.75,0.9253732,0.8036375,0.88471776,0.8882505,30.0,10.0,0.0,62.0
6,0.001,0.0,0.0,0.001,506,0.2910674810409546,0.8985185146331787,0.8566917,1.0,0.74375,0.92267096,0.79808223,0.8775484,0.8757076,23.8,8.2,0.0,48.8,0.2886186480522156,0.9019607901573181,0.86111104,1.0,0.75,0.9253732,0.8036375,0.8672581,0.8545518,30.0,10.0,0.0,62.0
7,0.01,0.0,0.4,0.001,506,0.2732779711484909,0.8983641862869263,0.8639655,0.9875,0.7625,0.92152464,0.7936444,0.9070406,0.9157876,24.4,7.6,0.6,48.2,0.3731468260288239,0.8666666507720947,0.8252484,0.9903226,0.675,0.9002552,0.7314955,0.82834685,0.843676,27.0,13.0,0.6,61.4
8,0.0001,0.2,0.0,0.001,506,0.28797159194946287,0.8985185146331787,0.8568033,1.0,0.74375,0.9227048,0.79811466,0.8978316,0.90869904,23.8,8.2,0.0,48.8,0.29619802832603453,0.9019607901573181,0.86111104,1.0,0.75,0.9253732,0.8036375,0.82979834,0.81291044,30.0,10.0,0.0,62.0
9,0.01,0.4,0.4,0.1,506,0.3068570286035538,0.8911110997200012,0.8505057,0.9959184,0.73125,0.917307,0.7818469,0.8694223,0.8728302,23.4,8.6,0.2,48.6,0.23453584909439087,0.9294117450714111,0.89825237,0.9967742,0.825,0.9449442,0.856341,0.9314114,0.9418977,33.0,7.0,0.2,61.8
